GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P78330	PSPH	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G18640|MGI:MGI:97788|PANTHER:PTN000000002|UniProtKB:P0AGB0|UniProtKB:P78330	9606	Homo sapiens	GO_Central	Phosphoserine phosphatase	20260530
UniProtKB	P78330	PSPH	involved_in	GO:0006564	L-serine biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0023129|MGI:MGI:97788|PANTHER:PTN000000002|SGD:S000003440|UniProtKB:P0AGB0|UniProtKB:P78330	9606	Homo sapiens	GO_Central	Phosphoserine phosphatase	20260530
UniProtKB	P78330	PSPH	enables	GO:0036424	L-phosphoserine phosphatase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G18640|MGI:MGI:97788|PANTHER:PTN000000002|SGD:S000003440|UniProtKB:O53289|UniProtKB:P0AGB0|UniProtKB:P78330|UniProtKB:Q58989|UniProtKB:Q9I2Y2|UniProtKB:Q9KPM2|UniProtKB:Q9S281	9606	Homo sapiens	GO_Central	Phosphoserine phosphatase	20260530
UniProtKB	P78330	PSPH	enables	GO:0000287	magnesium ion binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000000002|UniProtKB:P0AGB0|UniProtKB:P78330|UniProtKB:Q9I2Y2	9606	Homo sapiens	GO_Central	Phosphoserine phosphatase	20250904
UniProtKB	P78330	PSPH	located_in	GO:0005829	cytosol	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0091	9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20260706
UniProtKB	P78330	PSPH	involved_in	GO:0006564	L-serine biosynthetic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004469	9606	Homo sapiens	InterPro	Phosphoserine phosphatase	20260706
UniProtKB	P78330	PSPH	enables	GO:0036424	L-phosphoserine phosphatase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004469|RHEA:21208	9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20260706
UniProtKB	P78330	PSPH	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P78330	9606	Homo sapiens	IntAct	Phosphoserine phosphatase	20260704
UniProtKB	P78330	PSPH	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:25502805	UniProtKB:P78330	9606	Homo sapiens	IntAct	Phosphoserine phosphatase	20260704
UniProtKB	P78330	PSPH	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:31515488	UniProtKB:P78330	9606	Homo sapiens	IntAct	Phosphoserine phosphatase	20260704
UniProtKB	P78330	PSPH	involved_in	GO:0009612	response to mechanical stimulus	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5M819|ensembl:ENSRNOP00000001228	9606	Homo sapiens	Ensembl	Phosphoserine phosphatase	20260629
UniProtKB	P78330	PSPH	involved_in	GO:0031667	response to nutrient levels	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5M819|ensembl:ENSRNOP00000001228	9606	Homo sapiens	Ensembl	Phosphoserine phosphatase	20260629
UniProtKB	P78330	PSPH	involved_in	GO:0033574	response to testosterone	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5M819|ensembl:ENSRNOP00000001228	9606	Homo sapiens	Ensembl	Phosphoserine phosphatase	20260629
UniProtKB	P78330	PSPH	enables	GO:0036424	L-phosphoserine phosphatase activity	molecular_function	ECO:0000304	TAS	PMID:9188776		9606	Homo sapiens	GO_Central	Phosphoserine phosphatase	20260408
UniProtKB	P78330	PSPH	enables	GO:0036424	L-phosphoserine phosphatase activity	molecular_function	ECO:0000269	EXP	PMID:12213811		9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20251027
UniProtKB	P78330	PSPH	enables	GO:0036424	L-phosphoserine phosphatase activity	molecular_function	ECO:0000269	EXP	PMID:25080166		9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20251027
UniProtKB	P78330	PSPH	enables	GO:0036424	L-phosphoserine phosphatase activity	molecular_function	ECO:0000269	EXP	PMID:9222972		9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20251027
UniProtKB	P78330	PSPH	located_in	GO:0005829	cytosol	cellular_component	ECO:0000314	IDA	PMID:1965857		9606	Homo sapiens	FlyBase	Phosphoserine phosphatase	20250821
UniProtKB	P78330	PSPH	enables	GO:0036424	L-phosphoserine phosphatase activity	molecular_function	ECO:0000315	IMP	PMID:14673469		9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20210803
UniProtKB	P78330	PSPH	involved_in	GO:0006564	L-serine biosynthetic process	biological_process	ECO:0000315	IMP	PMID:14673469		9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20210218
UniProtKB	P78330	PSPH	enables	GO:0036424	L-phosphoserine phosphatase activity	molecular_function	ECO:0000314	IDA	PMID:15291819		9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20210217
UniProtKB	P78330	PSPH	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-977324		9606	Homo sapiens	Reactome	Phosphoserine phosphatase	20101018
UniProtKB	P78330	PSPH	enables	GO:0000287	magnesium ion binding	molecular_function	ECO:0000314	IDA	PMID:15291819		9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20101011
UniProtKB	P78330	PSPH	involved_in	GO:0006563	L-serine metabolic process	biological_process	ECO:0000314	IDA	PMID:15291819		9606	Homo sapiens	UniProt	Phosphoserine phosphatase	20101011
