GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q03393	PTS	enables	GO:0003874	6-pyruvoyltetrahydropterin synthase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1338783|PANTHER:PTN000287347|RGD:68367|WB:WBGene00015010|dictyBase:DDB_G0279095	9606	Homo sapiens	GO_Central	6-pyruvoyl tetrahydrobiopterin synthase	20250819
UniProtKB	Q03393	PTS	involved_in	GO:0006729	tetrahydrobiopterin biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1338783|PANTHER:PTN000287347|WB:WBGene00015010	9606	Homo sapiens	GO_Central	6-pyruvoyl tetrahydrobiopterin synthase	20250819
UniProtKB	Q03393	PTS	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000287347|UniProtKB:Q03393	9606	Homo sapiens	GO_Central	6-pyruvoyl tetrahydrobiopterin synthase	20170420
UniProtKB	Q03393	PTS	enables	GO:0003874	6-pyruvoyltetrahydropterin synthase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00088954|UniProtKB:Q9R1Z7|ensembl:ENSMUSP00000034570|InterPro:IPR022469|InterPro:IPR022470|RHEA:22048|EC:4.2.3.12	9606	Homo sapiens	UniProt	6-pyruvoyl tetrahydrobiopterin synthase	20251201
UniProtKB	Q03393	PTS	involved_in	GO:0006729	tetrahydrobiopterin biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR022469|InterPro:IPR022470|UniProtKB-KW:KW-0783|UniPathway:UPA00849	9606	Homo sapiens	UniProt	6-pyruvoyl tetrahydrobiopterin synthase	20251201
UniProtKB	Q03393	PTS	enables	GO:0016829	lyase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0456	9606	Homo sapiens	UniProt	6-pyruvoyl tetrahydrobiopterin synthase	20251201
UniProtKB	Q03393	PTS	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	9606	Homo sapiens	UniProt	6-pyruvoyl tetrahydrobiopterin synthase	20251201
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19060904	UniProtKB:P51116	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19060904	UniProtKB:Q96HA8	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:O00560	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P38432	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q8TBB1	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9P2Z0	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27107014	UniProtKB:P32502	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27107014	UniProtKB:P38340	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
UniProtKB	Q03393	PTS	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27107014	UniProtKB:Q7LHD1	9606	Homo sapiens	IntAct	6-pyruvoyl tetrahydrobiopterin synthase	20251129
