GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P49247	RPIA	enables	GO:0004751	ribose-5-phosphate isomerase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0050410|MGI:MGI:103254|PANTHER:PTN000232507|PomBase:SPAC144.12|RGD:1311377|SGD:S000005621|UniProtKB:P0A7Z0|UniProtKB:P49247	9606	Homo sapiens	GO_Central	Ribose-5-phosphate isomerase	20241120
UniProtKB	P49247	RPIA	involved_in	GO:0009052	pentose-phosphate shunt, non-oxidative branch	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0050410|PANTHER:PTN000232507|PomBase:SPAC144.12|RGD:1311377|UniProtKB:Q58998	9606	Homo sapiens	GO_Central	Ribose-5-phosphate isomerase	20241120
UniProtKB	P49247	RPIA	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000232507|PANTHER:PTN000232509	9606	Homo sapiens	GO_Central	Ribose-5-phosphate isomerase	20230706
UniProtKB	P49247	RPIA	involved_in	GO:0006014	D-ribose metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000232507|UniProtKB:P0A7Z0	9606	Homo sapiens	GO_Central	Ribose-5-phosphate isomerase	20170228
UniProtKB	P49247	RPIA	enables	GO:0004751	ribose-5-phosphate isomerase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00088098|UniProtKB:D4A7L6|ensembl:ENSRNOP00000007927|UniProtKB:P47968|ensembl:ENSMUSP00000064158|InterPro:IPR004788|InterPro:IPR020672|RHEA:14657|EC:5.3.1.6	9606	Homo sapiens	UniProt	Ribose-5-phosphate isomerase	20260616
UniProtKB	P49247	RPIA	involved_in	GO:0009052	pentose-phosphate shunt, non-oxidative branch	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:D4A7L6|ensembl:ENSRNOP00000007927|InterPro:IPR004788|InterPro:IPR020672	9606	Homo sapiens	UniProt	Ribose-5-phosphate isomerase	20260616
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:O75716	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q8TBB1	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q96HA8	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21516116	UniProtKB:Q06124	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21516116	UniProtKB:Q9H8Y8	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:24722188	UniProtKB:Q75MZ5	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:O75716	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P22061	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q06124	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q6IPU0	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q75MZ5	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q8N5M1	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q96HA8	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q99757	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9H0X6	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9H8Y8	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25910212	UniProtKB:Q8N5M1	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:P22061-2	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:29892012	UniProtKB:Q8TBB1	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:29892012	UniProtKB:Q9H8Y8	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:31515488	UniProtKB:Q96HA8	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O00560	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P22061-2	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q6IPU0	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8N5M1	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8TBB1	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96D03	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96HA8	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q99757	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9H8Y8	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9NRD5	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9NWQ9	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9UJY1	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:P22061	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:P49247	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P49247	9606	Homo sapiens	IntAct	Ribose-5-phosphate isomerase	20260613
UniProtKB	P49247	RPIA	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00029243|UniProtKB:P47968|ensembl:ENSMUSP00000064158	9606	Homo sapiens	UniProt	Ribose-5-phosphate isomerase	20260609
UniProtKB	P49247	RPIA	involved_in	GO:0006098	pentose-phosphate shunt	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027507|UniProtKB:D4A7L6|ensembl:ENSRNOP00000007927|UniProtKB:P47968|ensembl:ENSMUSP00000064158|UniPathway:UPA00115	9606	Homo sapiens	UniProt	Ribose-5-phosphate isomerase	20260609
UniProtKB	P49247	RPIA	enables	GO:0030246	carbohydrate binding	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D4A7L6|ensembl:ENSRNOP00000007927	9606	Homo sapiens	Ensembl	Ribose-5-phosphate isomerase	20260609
UniProtKB	P49247	RPIA	enables	GO:0048029	monosaccharide binding	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D4A7L6|ensembl:ENSRNOP00000007927	9606	Homo sapiens	Ensembl	Ribose-5-phosphate isomerase	20260609
UniProtKB	P49247	RPIA	involved_in	GO:0006098	pentose-phosphate shunt	biological_process	ECO:0000304	TAS	Reactome:R-HSA-71336		9606	Homo sapiens	Reactome	Ribose-5-phosphate isomerase	20260316
