GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q96DW6	SLC25A38	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2384782|PANTHER:PTN000639904|SGD:S000002277|UniProtKB:Q57XQ1	9606	Homo sapiens	GO_Central	Mitochondrial glycine transporter	20241121
UniProtKB	Q96DW6	SLC25A38	enables	GO:0015187	glycine transmembrane transporter activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000639904|SGD:S000002277|UniProtKB:Q96DW6	9606	Homo sapiens	GO_Central	Mitochondrial glycine transporter	20220925
UniProtKB	Q96DW6	SLC25A38	involved_in	GO:1904983	glycine import into mitochondrion	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000639904|SGD:S000002277|UniProtKB:Q96DW6	9606	Homo sapiens	GO_Central	Mitochondrial glycine transporter	20220925
UniProtKB	Q96DW6	SLC25A38	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q91XD8|ensembl:ENSMUSP00000035106|InterPro:IPR030847|UniProtKB-SubCell:SL-0168|UniRule:UR000117462	9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20260706
UniProtKB	Q96DW6	SLC25A38	enables	GO:0015187	glycine transmembrane transporter activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR030847|UniRule:UR000117462	9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20260706
UniProtKB	Q96DW6	SLC25A38	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000117462	9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20260706
UniProtKB	Q96DW6	SLC25A38	involved_in	GO:0030218	erythrocyte differentiation	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000117462	9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20260706
UniProtKB	Q96DW6	SLC25A38	involved_in	GO:1904983	glycine import into mitochondrion	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR030847|UniRule:UR000117462	9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20260706
UniProtKB	Q96DW6	SLC25A38	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0006056	HTP	PMID:34800366		9606	Homo sapiens	FlyBase	Mitochondrial glycine transporter	20240711
UniProtKB	Q96DW6	SLC25A38	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q91XD8	9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20220304
UniProtKB	Q96DW6	SLC25A38	enables	GO:0015187	glycine transmembrane transporter activity	molecular_function	ECO:0000315	IMP	PMID:27476175		9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20220304
UniProtKB	Q96DW6	SLC25A38	involved_in	GO:1904983	glycine import into mitochondrion	biological_process	ECO:0000315	IMP	PMID:27476175		9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20220304
UniProtKB	Q96DW6	SLC25A38	involved_in	GO:0006783	heme biosynthetic process	biological_process	ECO:0000304	TAS	PMID:19412178		9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20090508
UniProtKB	Q96DW6	SLC25A38	involved_in	GO:0030218	erythrocyte differentiation	biological_process	ECO:0000315	IMP	PMID:19412178		9606	Homo sapiens	UniProt	Mitochondrial glycine transporter	20090508
