GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P31213	SRD5A2	enables	GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2150380|MGI:MGI:98400|PANTHER:PTN000059275|RGD:3757|RGD:621480|UniProtKB:P18405|UniProtKB:P31213	9606	Homo sapiens	GO_Central	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260528
UniProtKB	P31213	SRD5A2	involved_in	GO:0006702	androgen biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2150380|MGI:MGI:98400|PANTHER:PTN004168622|RGD:3757|RGD:621480	9606	Homo sapiens	GO_Central	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20250403
UniProtKB	P31213	SRD5A2	involved_in	GO:0008584	male gonad development	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN004168622|RGD:3757|RGD:621480|UniProtKB:P31213	9606	Homo sapiens	GO_Central	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20250403
UniProtKB	P31213	SRD5A2	is_active_in	GO:0043025	neuronal cell body	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN004168622|RGD:3757|RGD:621480	9606	Homo sapiens	GO_Central	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20250403
UniProtKB	P31213	SRD5A2	enables	GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00044840|UniProtKB:P31214|ensembl:ENSRNOP00000009254|InterPro:IPR016636	9606	Homo sapiens	UniProt	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260706
UniProtKB	P31213	SRD5A2	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	9606	Homo sapiens	UniProt	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260706
UniProtKB	P31213	SRD5A2	involved_in	GO:0006629	lipid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001104	9606	Homo sapiens	InterPro	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260706
UniProtKB	P31213	SRD5A2	involved_in	GO:0008202	steroid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016636	9606	Homo sapiens	InterPro	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260706
UniProtKB	P31213	SRD5A2	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016636	9606	Homo sapiens	InterPro	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260706
UniProtKB	P31213	SRD5A2	enables	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001104	9606	Homo sapiens	InterPro	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260706
UniProtKB	P31213	SRD5A2	enables	GO:0047751	3-oxo-5-alpha-steroid 4-dehydrogenase (NADP+) activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:21952|RHEA:50820|RHEA:54384|EC:1.3.1.22	9606	Homo sapiens	UniProt	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260706
UniProtKB	P31213	SRD5A2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:A8MQ03	9606	Homo sapiens	IntAct	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260704
UniProtKB	P31213	SRD5A2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q14749	9606	Homo sapiens	IntAct	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260704
UniProtKB	P31213	SRD5A2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:O96005	9606	Homo sapiens	IntAct	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260704
UniProtKB	P31213	SRD5A2	involved_in	GO:0006694	steroid biosynthetic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0006702	androgen biosynthetic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0006706	steroid catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0008209	androgen metabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0008584	male gonad development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0009410	response to xenobiotic stimulus	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0018894	dibenzo-p-dioxin metabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0018963	phthalate metabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0021766	hippocampus development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0021854	hypothalamus development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0030539	male genitalia development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0030540	female genitalia development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0031667	response to nutrient levels	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0032354	response to follicle-stimulating hormone	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0033574	response to testosterone	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	located_in	GO:0043025	neuronal cell body	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0043434	response to peptide hormone	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
UniProtKB	P31213	SRD5A2	involved_in	GO:0048545	response to steroid hormone	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P31214|ensembl:ENSRNOP00000009254	9606	Homo sapiens	Ensembl	3-oxo-5-alpha-steroid 4-dehydrogenase 2	20260629
