GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8TBG9	SYNPR	is_active_in	GO:0030672	synaptic vesicle membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:98467|PANTHER:PTN000033897|RGD:1359569|RGD:3802|RGD:708366	9606	Homo sapiens	GO_Central	Synaptoporin	20260528
UniProtKB	Q8TBG9	SYNPR	located_in	GO:0008021	synaptic vesicle	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001285	9606	Homo sapiens	InterPro	Synaptoporin	20260706
UniProtKB	Q8TBG9	SYNPR	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001285|InterPro:IPR008253	9606	Homo sapiens	InterPro	Synaptoporin	20260706
UniProtKB	Q8TBG9	SYNPR	located_in	GO:0030672	synaptic vesicle membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0260	9606	Homo sapiens	UniProt	Synaptoporin	20260706
UniProtKB	Q8TBG9	SYNPR	located_in	GO:0045202	synapse	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0258	9606	Homo sapiens	UniProt	Synaptoporin	20260706
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q969F0	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:A5PKU2	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O60883	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P43005	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q86UP2-3	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8IY26	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8N3T1	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8WVX3-2	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9NRQ5	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9UPQ8	9606	Homo sapiens	IntAct	Synaptoporin	20260704
UniProtKB	Q8TBG9	SYNPR	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q9C0E8	9606	Homo sapiens	IntAct	Synaptoporin	20260704
