GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9BXJ8	TMEM120A	is_active_in	GO:0005637	nuclear inner membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2686991|MGI:MGI:3603158|PANTHER:PTN000484625	9606	Homo sapiens	GO_Central	Transmembrane protein 120A	20260225
UniProtKB	Q9BXJ8	TMEM120A	involved_in	GO:0045444	fat cell differentiation	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2686991|MGI:MGI:3603158|PANTHER:PTN000484629|UniProtKB:Q9BXJ8	9606	Homo sapiens	GO_Central	Transmembrane protein 120A	20170228
UniProtKB	Q9BXJ8	TMEM120A	located_in	GO:0005637	nuclear inner membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q8C1E7|ensembl:ENSMUSP00000045252|UniProtKB-SubCell:SL-0179	9606	Homo sapiens	UniProt	Transmembrane protein 120A	20260727
UniProtKB	Q9BXJ8	TMEM120A	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0095	9606	Homo sapiens	UniProt	Transmembrane protein 120A	20260727
UniProtKB	Q9BXJ8	TMEM120A	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q8C1E7|ensembl:ENSMUSP00000045252|UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Transmembrane protein 120A	20260727
UniProtKB	Q9BXJ8	TMEM120A	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012926	9606	Homo sapiens	InterPro	Transmembrane protein 120A	20260727
UniProtKB	Q9BXJ8	TMEM120A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O15243	9606	Homo sapiens	IntAct	Transmembrane protein 120A	20260725
UniProtKB	Q9BXJ8	TMEM120A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P32856-2	9606	Homo sapiens	IntAct	Transmembrane protein 120A	20260725
UniProtKB	Q9BXJ8	TMEM120A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q13323	9606	Homo sapiens	IntAct	Transmembrane protein 120A	20260725
UniProtKB	Q9BXJ8	TMEM120A	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q13520	9606	Homo sapiens	IntAct	Transmembrane protein 120A	20260725
