GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P07919	UQCRH	part_of	GO:0045275	respiratory chain complex III	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1913826|PANTHER:PTN000393767|RGD:1305987|SGD:S000001929|UniProtKB:P07919	9606	Homo sapiens	GO_Central	Cytochrome b-c1 complex subunit 6, mitochondrial	20251219
UniProtKB	P07919	UQCRH	involved_in	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000393767|SGD:S000001929	9606	Homo sapiens	GO_Central	Cytochrome b-c1 complex subunit 6, mitochondrial	20170228
UniProtKB	P07919	UQCRH	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0168	9606	Homo sapiens	UniProt	Cytochrome b-c1 complex subunit 6, mitochondrial	20260706
UniProtKB	P07919	UQCRH	involved_in	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003422	9606	Homo sapiens	InterPro	Cytochrome b-c1 complex subunit 6, mitochondrial	20260706
UniProtKB	P07919	UQCRH	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028763	9606	Homo sapiens	UniProt	Cytochrome b-c1 complex subunit 6, mitochondrial	20260706
UniProtKB	P07919	UQCRH	part_of	GO:0098803	respiratory chain complex	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029130	9606	Homo sapiens	UniProt	Cytochrome b-c1 complex subunit 6, mitochondrial	20260706
UniProtKB	P07919	UQCRH	involved_in	GO:1902600	proton transmembrane transport	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0008121	9606	Homo sapiens	GOC	Cytochrome b-c1 complex subunit 6, mitochondrial	20260706
UniProtKB	P07919	UQCRH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q96BM9	9606	Homo sapiens	IntAct	Cytochrome b-c1 complex subunit 6, mitochondrial	20260704
UniProtKB	P07919	UQCRH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q96H71	9606	Homo sapiens	IntAct	Cytochrome b-c1 complex subunit 6, mitochondrial	20260704
UniProtKB	P07919	UQCRH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9Y225	9606	Homo sapiens	IntAct	Cytochrome b-c1 complex subunit 6, mitochondrial	20260704
UniProtKB	P07919	UQCRH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O14668	9606	Homo sapiens	IntAct	Cytochrome b-c1 complex subunit 6, mitochondrial	20260704
UniProtKB	P07919	UQCRH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96BM9	9606	Homo sapiens	IntAct	Cytochrome b-c1 complex subunit 6, mitochondrial	20260704
