GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P61758	VBP1	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0264694|PANTHER:PTN000274575|SGD:S000003310|TAIR:locus:2157819|UniProtKB:P61758|WB:WBGene00006889	9606	Homo sapiens	GO_Central	Prefoldin subunit 3	20220922
UniProtKB	P61758	VBP1	involved_in	GO:0007017	microtubule-based process	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0264694|PANTHER:PTN000274575|TAIR:locus:2157819	9606	Homo sapiens	GO_Central	Prefoldin subunit 3	20220922
UniProtKB	P61758	VBP1	part_of	GO:0016272	prefoldin complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0264694|PANTHER:PTN000274575|SGD:S000003310|UniProtKB:P61758	9606	Homo sapiens	GO_Central	Prefoldin subunit 3	20210101
UniProtKB	P61758	VBP1	involved_in	GO:0007021	tubulin complex assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000274575|SGD:S000003310	9606	Homo sapiens	GO_Central	Prefoldin subunit 3	20170228
UniProtKB	P61758	VBP1	enables	GO:0015631	tubulin binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0264694|PANTHER:PTN000274575|SGD:S000003310	9606	Homo sapiens	GO_Central	Prefoldin subunit 3	20170228
UniProtKB	P61758	VBP1	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Prefoldin subunit 3	20260105
UniProtKB	P61758	VBP1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026971|UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Prefoldin subunit 3	20260105
UniProtKB	P61758	VBP1	involved_in	GO:0006457	protein folding	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016655	9606	Homo sapiens	InterPro	Prefoldin subunit 3	20260105
UniProtKB	P61758	VBP1	part_of	GO:0016272	prefoldin complex	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016655	9606	Homo sapiens	InterPro	Prefoldin subunit 3	20260105
UniProtKB	P61758	VBP1	part_of	GO:0032991	protein-containing complex	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028902	9606	Homo sapiens	UniProt	Prefoldin subunit 3	20260105
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17698809	UniProtKB:P35963	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22190034	UniProtKB:Q9Q2G4	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q8ND90	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q96S82	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9NQP4	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q96S82	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q99471	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q9NQP4	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q9UHV9	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O43741	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O95872	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P05230	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P25791-3	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P25800	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P51687	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q14119	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q5JVL4	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q6FHY5	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q86VK4-3	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8IVT2	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8N8B7-2	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8TAP4-4	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96D03	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96S82	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q99471	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9BZE0	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9H0I2	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9H609	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9NP98	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9NQP4	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9NX04	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9UHV9	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9UKT9	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
UniProtKB	P61758	VBP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9Y3Q8	9606	Homo sapiens	IntAct	Prefoldin subunit 3	20260103
