GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O95876	WDPCP	involved_in	GO:0044782	cilium organization	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2144467|PANTHER:PTN001007408|UniProtKB:Q32NR9	9606	Homo sapiens	GO_Central	WD repeat-containing and planar cell polarity effector protein fritz homolog	20250903
UniProtKB	O95876	WDPCP	involved_in	GO:0007399	nervous system development	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0086698|MGI:MGI:2144467|PANTHER:PTN001007408	9606	Homo sapiens	GO_Central	WD repeat-containing and planar cell polarity effector protein fritz homolog	20200807
UniProtKB	O95876	WDPCP	is_active_in	GO:0097541	axonemal basal plate	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2144467|PANTHER:PTN001007408	9606	Homo sapiens	GO_Central	WD repeat-containing and planar cell polarity effector protein fritz homolog	20200807
UniProtKB	O95876	WDPCP	involved_in	GO:0045184	establishment of protein localization	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2144467|PANTHER:PTN001007408	9606	Homo sapiens	GO_Central	WD repeat-containing and planar cell polarity effector protein fritz homolog	20170228
UniProtKB	O95876	WDPCP	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	WD repeat-containing and planar cell polarity effector protein fritz homolog	20260727
UniProtKB	O95876	WDPCP	located_in	GO:0005930	axoneme	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0304	9606	Homo sapiens	UniProt	WD repeat-containing and planar cell polarity effector protein fritz homolog	20260727
UniProtKB	O95876	WDPCP	enables	GO:0035091	phosphatidylinositol binding	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C456|ensembl:ENSMUSP00000020568	9606	Homo sapiens	Ensembl	WD repeat-containing and planar cell polarity effector protein fritz homolog	20260724
UniProtKB	O95876	WDPCP	located_in	GO:0097541	axonemal basal plate	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C456|ensembl:ENSMUSP00000020568	9606	Homo sapiens	Ensembl	WD repeat-containing and planar cell polarity effector protein fritz homolog	20260724
UniProtKB	O95876	WDPCP	involved_in	GO:0001736	establishment of planar polarity	biological_process	ECO:0005547	NAS	PMID:27158779		9606	Homo sapiens	ComplexPortal	WD repeat-containing and planar cell polarity effector protein fritz homolog	20250805
UniProtKB	O95876	WDPCP	located_in	GO:0005929	cilium	cellular_component	ECO:0005547	NAS	PMID:27158779		9606	Homo sapiens	ComplexPortal	WD repeat-containing and planar cell polarity effector protein fritz homolog	20250805
