GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P61809	Cdk5r1	enables	GO:0061575	cyclin-dependent protein serine/threonine kinase activator activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0027491|MGI:MGI:101764|MGI:MGI:1330828|PANTHER:PTN002764373|RGD:629472|UniProtKB:Q15078	10090	Mus musculus	GO_Central	Cyclin-dependent kinase 5 activator 1	20240731
UniProtKB	P61809	Cdk5r1	involved_in	GO:0007420	brain development	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:101764|MGI:MGI:1330828|PANTHER:PTN000600570	10090	Mus musculus	GO_Central	Cyclin-dependent kinase 5 activator 1	20230603
UniProtKB	P61809	Cdk5r1	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:101764|MGI:MGI:1330828|PANTHER:PTN002764373|RGD:1562530|RGD:629472|UniProtKB:Q15078	10090	Mus musculus	GO_Central	Cyclin-dependent kinase 5 activator 1	20211011
UniProtKB	P61809	Cdk5r1	involved_in	GO:0007411	axon guidance	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0027491|MGI:MGI:101764|PANTHER:PTN000600567	10090	Mus musculus	GO_Central	Cyclin-dependent kinase 5 activator 1	20211011
UniProtKB	P61809	Cdk5r1	enables	GO:0019901	protein kinase binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:101764|PANTHER:PTN002764373|RGD:629472|UniProtKB:Q15078	10090	Mus musculus	GO_Central	Cyclin-dependent kinase 5 activator 1	20211011
UniProtKB	P61809	Cdk5r1	is_active_in	GO:0030426	growth cone	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0027491|PANTHER:PTN000600567|RGD:1562530|RGD:629472|UniProtKB:Q28199	10090	Mus musculus	GO_Central	Cyclin-dependent kinase 5 activator 1	20211011
UniProtKB	P61809	Cdk5r1	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	10090	Mus musculus	UniProt	Cyclin-dependent kinase 5 activator 1	20260105
UniProtKB	P61809	Cdk5r1	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	10090	Mus musculus	UniProt	Cyclin-dependent kinase 5 activator 1	20260105
UniProtKB	P61809	Cdk5r1	part_of	GO:0016533	protein kinase 5 complex	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004944	10090	Mus musculus	InterPro	Cyclin-dependent kinase 5 activator 1	20260105
UniProtKB	P61809	Cdk5r1	involved_in	GO:0021722	superior olivary nucleus maturation	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00084175	10090	Mus musculus	UniProt	Cyclin-dependent kinase 5 activator 1	20260105
