GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q01705	Notch1	involved_in	GO:0007219	Notch signaling pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97363|MGI:MGI:99460|PANTHER:PTN001933897|RGD:620761|UniProtKB:P46531|UniProtKB:Q04721|UniProtKB:Q9UM47|Xenbase:XB-GENE-479318	10090	Mus musculus	GO_Central	Neurogenic locus notch homolog protein 1	20251220
UniProtKB	Q01705	Notch1	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97363|MGI:MGI:99460|PANTHER:PTN001933897|UniProtKB:Q04721|UniProtKB:Q9UM47	10090	Mus musculus	GO_Central	Neurogenic locus notch homolog protein 1	20240801
UniProtKB	Q01705	Notch1	involved_in	GO:0007411	axon guidance	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0264089|MGI:MGI:1315202|MGI:MGI:1315203|MGI:MGI:1315205|PANTHER:PTN002911625|UniProtKB:O75093|UniProtKB:O75094|UniProtKB:O94813|WB:WBGene00004854|ZFIN:ZDB-GENE-010306-3|ZFIN:ZDB-GENE-040310-1	10090	Mus musculus	GO_Central	Neurogenic locus notch homolog protein 1	20200401
UniProtKB	Q01705	Notch1	is_active_in	GO:0009986	cell surface	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97363|PANTHER:PTN001933897|UniProtKB:Q04721	10090	Mus musculus	GO_Central	Neurogenic locus notch homolog protein 1	20190207
UniProtKB	Q01705	Notch1	part_of	GO:0043235	signaling receptor complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001933897|UniProtKB:P46531|UniProtKB:Q04721|UniProtKB:Q9UM47	10090	Mus musculus	GO_Central	Neurogenic locus notch homolog protein 1	20190207
UniProtKB	Q01705	Notch1	involved_in	GO:0001525	angiogenesis	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00090097	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	involved_in	GO:0001701	in utero embryonic development	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00089616	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	involved_in	GO:0001947	heart looping	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00091286	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	involved_in	GO:0002011	morphogenesis of an epithelial sheet	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00087846	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	involved_in	GO:0002064	epithelial cell development	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027130	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	involved_in	GO:0002437	inflammatory response to antigenic stimulus	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00089205	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	enables	GO:0005509	calcium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001881|InterPro:IPR018097	10090	Mus musculus	InterPro	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	located_in	GO:0005634	nucleus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P46531|ensembl:ENSP00000498587|UniProtKB:Q07008|ensembl:ENSRNOP00000026212|UniProtKB-SubCell:SL-0191	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	located_in	GO:0005829	cytosol	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029243	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q07008|ensembl:ENSRNOP00000026212|UniProtKB-SubCell:SL-0039	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR022362	10090	Mus musculus	InterPro	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	involved_in	GO:0006959	humoral immune response	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026316	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
UniProtKB	Q01705	Notch1	involved_in	GO:0007219	Notch signaling pathway	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P46531|ensembl:ENSP00000498587|UniProtKB:Q07008|ensembl:ENSRNOP00000026212|InterPro:IPR008297|InterPro:IPR011656|InterPro:IPR022362	10090	Mus musculus	UniProt	Neurogenic locus notch homolog protein 1	20260302
