GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	G3V667	Itga6	involved_in	GO:0007229	integrin-mediated signaling pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96608|PANTHER:PTN001144284|RGD:71022|UniProtKB:O75578|UniProtKB:P06756|UniProtKB:P08648|UniProtKB:P17301|UniProtKB:Q9UKX5	10116	Rattus norvegicus	GO_Central	Integrin alpha-6	20251220
UniProtKB	G3V667	Itga6	enables	GO:0038023	signaling receptor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96604|PANTHER:PTN001144284|UniProtKB:P08514|UniProtKB:P11215|UniProtKB:P17301|UniProtKB:P20701|UniProtKB:Q13349|UniProtKB:Q9UKX5|WB:WBGene00002081|WB:WBGene00003929	10116	Rattus norvegicus	GO_Central	Integrin alpha-6	20251220
UniProtKB	G3V667	Itga6	involved_in	GO:0098609	cell-cell adhesion	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96602|MGI:MGI:96603|MGI:MGI:96604|MGI:MGI:96606|MGI:MGI:96607|PANTHER:PTN001144284|RGD:621633|RGD:631424|UniProtKB:P06756|UniProtKB:P08514|UniProtKB:P08648|UniProtKB:P11215|UniProtKB:P13612|UniProtKB:P20701|UniProtKB:P20702|UniProtKB:Q13349|UniProtKB:Q13683|WB:WBGene00002081	10116	Rattus norvegicus	GO_Central	Integrin alpha-6	20251220
UniProtKB	G3V667	Itga6	is_active_in	GO:0009986	cell surface	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1298377|MGI:MGI:96599|MGI:MGI:96600|MGI:MGI:96601|MGI:MGI:96602|MGI:MGI:96603|MGI:MGI:96604|MGI:MGI:96605|MGI:MGI:96606|MGI:MGI:96607|MGI:MGI:96608|MGI:MGI:96609|PANTHER:PTN001144284|RGD:1310333|RGD:1593249|RGD:1596428|RGD:2923|RGD:621632|RGD:621644|RGD:631424|RGD:71022|UniProtKB:P06756|UniProtKB:P08648|UniProtKB:P11215|UniProtKB:P13612|UniProtKB:P17301|UniProtKB:P20701|UniProtKB:P20702|UniProtKB:P23229|UniProtKB:P26006|UniProtKB:P26007|UniProtKB:P53708|UniProtKB:P56199|WB:WBGene00003929	10116	Rattus norvegicus	GO_Central	Integrin alpha-6	20250319
UniProtKB	G3V667	Itga6	part_of	GO:0034675	integrin alpha6-beta1 complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002755298|UniProtKB:P23229	10116	Rattus norvegicus	GO_Central	Integrin alpha-6	20250319
UniProtKB	G3V667	Itga6	part_of	GO:0034676	integrin alpha6-beta4 complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002755298|RGD:621633	10116	Rattus norvegicus	GO_Central	Integrin alpha-6	20250319
UniProtKB	G3V667	Itga6	involved_in	GO:0050900	leukocyte migration	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96605|PANTHER:PTN001506889	10116	Rattus norvegicus	GO_Central	Integrin alpha-6	20211108
UniProtKB	G3V667	Itga6	involved_in	GO:0007155	cell adhesion	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000413	10116	Rattus norvegicus	InterPro	Integrin alpha-6	20260302
UniProtKB	G3V667	Itga6	involved_in	GO:0007160	cell-matrix adhesion	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00085356	10116	Rattus norvegicus	UniProt	Integrin alpha-6	20260302
UniProtKB	G3V667	Itga6	part_of	GO:0008305	integrin complex	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026671|InterPro:IPR000413	10116	Rattus norvegicus	UniProt	Integrin alpha-6	20260302
UniProtKB	G3V667	Itga6	located_in	GO:0009986	cell surface	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027349	10116	Rattus norvegicus	UniProt	Integrin alpha-6	20260302
UniProtKB	G3V667	Itga6	located_in	GO:0016020	membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	10116	Rattus norvegicus	UniProt	Integrin alpha-6	20260302
