GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O16305	cmd-1	enables	GO:0005509	calcium ion binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0000253|FB:FBgn0004910|MGI:MGI:1931464|MGI:MGI:2677454|PANTHER:PTN000549682|PomBase:SPAC3A12.14|RGD:2257|RGD:2258|RGD:2259|SGD:S000000313|TAIR:locus:2027488|TAIR:locus:2063230|TAIR:locus:2063245|TAIR:locus:2074780|TAIR:locus:2102340|TAIR:locus:2162326|UniProtKB:P04464|UniProtKB:P0DP23|UniProtKB:P0DP24|UniProtKB:P0DP25|UniProtKB:P60204|UniProtKB:P62149|UniProtKB:P62157|UniProtKB:Q382E7|dictyBase:DDB_G0277917|dictyBase:DDB_G0279407	6239	Caenorhabditis elegans	GO_Central	Calmodulin	20250903
UniProtKB	O16305	cmd-1	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0000253|FB:FBgn0004910|FB:FBgn0011273|PANTHER:PTN000549861|PomBase:SPAC29A4.05|PomBase:SPAC3A12.14|SGD:S000000313|TAIR:locus:2034635|TAIR:locus:2063224|TAIR:locus:2063245|TAIR:locus:2075427|TAIR:locus:2083700|TAIR:locus:2103600|TAIR:locus:2131458|TAIR:locus:2162326|UniProtKB:P04464|UniProtKB:Q384M5|UniProtKB:Q386E4|UniProtKB:Q38EV6|UniProtKB:Q57YH4|dictyBase:DDB_G0269104|dictyBase:DDB_G0277917|dictyBase:DDB_G0279407	6239	Caenorhabditis elegans	GO_Central	Calmodulin	20250903
UniProtKB	O16305	cmd-1	enables	GO:0030234	enzyme regulator activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000549861|PomBase:SPAC29A4.05|UniProtKB:P62203|dictyBase:DDB_G0279407	6239	Caenorhabditis elegans	GO_Central	Calmodulin	20250903
UniProtKB	O16305	cmd-1	involved_in	GO:0000226	microtubule cytoskeleton organization	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0000253|PANTHER:PTN000549862|PomBase:SPAC3A12.14|SGD:S000000313|WB:WBGene00000552	6239	Caenorhabditis elegans	GO_Central	Calmodulin	20240507
UniProtKB	O16305	cmd-1	enables	GO:0005509	calcium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002048	6239	Caenorhabditis elegans	InterPro	Calmodulin	20260302
UniProtKB	O16305	cmd-1	located_in	GO:0072686	mitotic spindle	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00033940	6239	Caenorhabditis elegans	UniProt	Calmodulin	20260302
UniProtKB	O16305	cmd-1	involved_in	GO:0010629	negative regulation of gene expression	biological_process	ECO:0000315	IMP	PMID:34499028		6239	Caenorhabditis elegans	UniProt	Calmodulin	20220304
UniProtKB	O16305	cmd-1	involved_in	GO:0050918	positive chemotaxis	biological_process	ECO:0000315	IMP	PMID:34499028		6239	Caenorhabditis elegans	UniProt	Calmodulin	20220304
UniProtKB	O16305	cmd-1	involved_in	GO:0009792	embryo development ending in birth or egg hatching	biological_process	ECO:0000315	IMP	PMID:14703012		6239	Caenorhabditis elegans	WB	Calmodulin	20150416
UniProtKB	O16305	cmd-1	located_in	GO:0005813	centrosome	cellular_component	ECO:0000314	IDA	PMID:17716666		6239	Caenorhabditis elegans	WB	Calmodulin	20130829
UniProtKB	O16305	cmd-1	located_in	GO:0031965	nuclear membrane	cellular_component	ECO:0000314	IDA	PMID:17716666		6239	Caenorhabditis elegans	WB	Calmodulin	20130829
UniProtKB	O16305	cmd-1	located_in	GO:0071944	cell periphery	cellular_component	ECO:0000314	IDA	PMID:17716666		6239	Caenorhabditis elegans	WB	Calmodulin	20130829
UniProtKB	O16305	cmd-1	located_in	GO:0072686	mitotic spindle	cellular_component	ECO:0000314	IDA	PMID:17716666		6239	Caenorhabditis elegans	WB	Calmodulin	20130829
