GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	G5EDI0	dcar-1	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0037100|FB:FBgn0038139|FB:FBgn0038140|FB:FBgn0038201|PANTHER:PTN002797649|RGD:1306076|RGD:621397|UniProtKB:O43193|UniProtKB:P30989|UniProtKB:P32239|UniProtKB:Q15760|UniProtKB:Q92847|UniProtKB:Q9GZQ4|WB:WBGene00007395|ZFIN:ZDB-GENE-070912-238|ZFIN:ZDB-GENE-090327-1	6239	Caenorhabditis elegans	GO_Central	G-protein coupled receptors family 1 profile domain-containing protein	20260529
UniProtKB	G5EDI0	dcar-1	involved_in	GO:0007218	neuropeptide signaling pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0037100|FB:FBgn0038139|FB:FBgn0038140|FB:FBgn0038201|PANTHER:PTN002797693|WB:WBGene00019616	6239	Caenorhabditis elegans	GO_Central	G-protein coupled receptors family 1 profile domain-containing protein	20210407
UniProtKB	G5EDI0	dcar-1	enables	GO:0008188	neuropeptide receptor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0037100|FB:FBgn0038139|FB:FBgn0038140|FB:FBgn0038201|PANTHER:PTN002797693|WB:WBGene00019616	6239	Caenorhabditis elegans	GO_Central	G-protein coupled receptors family 1 profile domain-containing protein	20210407
UniProtKB	G5EDI0	dcar-1	enables	GO:0004930	G protein-coupled receptor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000413778	6239	Caenorhabditis elegans	UniProt	G-protein coupled receptors family 1 profile domain-containing protein	20260616
UniProtKB	G5EDI0	dcar-1	involved_in	GO:0007165	signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000413778	6239	Caenorhabditis elegans	UniProt	G-protein coupled receptors family 1 profile domain-containing protein	20260616
UniProtKB	G5EDI0	dcar-1	involved_in	GO:0007186	G protein-coupled receptor signaling pathway	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000413778	6239	Caenorhabditis elegans	UniProt	G-protein coupled receptors family 1 profile domain-containing protein	20260616
UniProtKB	G5EDI0	dcar-1	located_in	GO:0016020	membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR017452|UniProtKB-SubCell:SL-0162	6239	Caenorhabditis elegans	UniProt	G-protein coupled receptors family 1 profile domain-containing protein	20260616
UniProtKB	G5EDI0	dcar-1	involved_in	GO:0009611	response to wounding	biological_process	ECO:0000315	IMP	PMID:25086774		6239	Caenorhabditis elegans	WB	G-protein coupled receptors family 1 profile domain-containing protein	20151117
UniProtKB	G5EDI0	dcar-1	located_in	GO:0016324	apical plasma membrane	cellular_component	ECO:0000314	IDA	PMID:25086774		6239	Caenorhabditis elegans	WB	G-protein coupled receptors family 1 profile domain-containing protein	20151117
UniProtKB	G5EDI0	dcar-1	involved_in	GO:0050832	defense response to fungus	biological_process	ECO:0000315	IMP	PMID:25086774		6239	Caenorhabditis elegans	WB	G-protein coupled receptors family 1 profile domain-containing protein	20151117
UniProtKB	G5EDI0	dcar-1	located_in	GO:0097730	non-motile cilium	cellular_component	ECO:0000314	IDA	PMID:22090488		6239	Caenorhabditis elegans	WB	G-protein coupled receptors family 1 profile domain-containing protein	20141126
