GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9XWK6	sup-35	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000411873|UniProtKB:Q387R8|UniProtKB:Q96LZ7|UniProtKB:Q96TC7|WB:WBGene00012976|dictyBase:DDB_G0278793	6239	Caenorhabditis elegans	GO_Central	Regulator of microtubule dynamics protein 1	20251219
UniProtKB	Q9XWK6	sup-35	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN007656505|UniProtKB:Q96TC7	6239	Caenorhabditis elegans	GO_Central	Regulator of microtubule dynamics protein 1	20241120
UniProtKB	Q9XWK6	sup-35	enables	GO:0008017	microtubule binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000411873|UniProtKB:Q96DB5|UniProtKB:Q96LZ7|UniProtKB:Q96TC7|WB:WBGene00012976	6239	Caenorhabditis elegans	GO_Central	Regulator of microtubule dynamics protein 1	20240730
UniProtKB	Q9XWK6	sup-35	is_active_in	GO:0005876	spindle microtubule	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000411873|UniProtKB:Q96DB5|UniProtKB:Q96LZ7|UniProtKB:Q96TC7|WB:WBGene00011501	6239	Caenorhabditis elegans	GO_Central	Regulator of microtubule dynamics protein 1	20210120
UniProtKB	Q9XWK6	sup-35	is_active_in	GO:0097431	mitotic spindle pole	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000411873|UniProtKB:Q96DB5|UniProtKB:Q96LZ7|UniProtKB:Q96TC7|WB:WBGene00011501	6239	Caenorhabditis elegans	GO_Central	Regulator of microtubule dynamics protein 1	20210120
UniProtKB	Q9XWK6	sup-35	located_in	GO:0000922	spindle pole	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0448	6239	Caenorhabditis elegans	UniProt	Regulator of microtubule dynamics protein 1	20260302
UniProtKB	Q9XWK6	sup-35	located_in	GO:0005876	spindle microtubule	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00033575	6239	Caenorhabditis elegans	UniProt	Regulator of microtubule dynamics protein 1	20260302
UniProtKB	Q9XWK6	sup-35	located_in	GO:0097431	mitotic spindle pole	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00091523	6239	Caenorhabditis elegans	UniProt	Regulator of microtubule dynamics protein 1	20260302
UniProtKB	Q9XWK6	sup-35	enables	GO:0008017	microtubule binding	molecular_function	ECO:0000314	IDA	PMID:24214340		6239	Caenorhabditis elegans	WB	Regulator of microtubule dynamics protein 1	20230913
UniProtKB	Q9XWK6	sup-35	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:19521497		6239	Caenorhabditis elegans	WB	Regulator of microtubule dynamics protein 1	20130927
UniProtKB	Q9XWK6	sup-35	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000314	IDA	PMID:19521497		6239	Caenorhabditis elegans	WB	Regulator of microtubule dynamics protein 1	20130927
