GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q03771	ACL4	is_active_in	GO:0005741	mitochondrial outer membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002340064|RGD:1303049|SGD:S000001159|SGD:S000005065	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Assembly chaperone of RPL4	20240213
UniProtKB	Q03771	ACL4	contributes_to	GO:0008320	protein transmembrane transporter activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002340064|SGD:S000005065	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Assembly chaperone of RPL4	20220331
UniProtKB	Q03771	ACL4	involved_in	GO:0030150	protein import into mitochondrial matrix	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002340064|SGD:S000005065	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Assembly chaperone of RPL4	20220331
UniProtKB	Q03771	ACL4	enables	GO:0030943	mitochondrion targeting sequence binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002340064|SGD:S000005065	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Assembly chaperone of RPL4	20220331
UniProtKB	Q03771	ACL4	involved_in	GO:0045039	protein insertion into mitochondrial inner membrane	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002340064|SGD:S000005065	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Assembly chaperone of RPL4	20220331
UniProtKB	Q03771	ACL4	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Assembly chaperone of RPL4	20260105
UniProtKB	Q03771	ACL4	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026971|UniProtKB-SubCell:SL-0086	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Assembly chaperone of RPL4	20260105
UniProtKB	Q03771	ACL4	involved_in	GO:0042254	ribosome biogenesis	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0690	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Assembly chaperone of RPL4	20260105
UniProtKB	Q03771	ACL4	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:25936803		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20200312
UniProtKB	Q03771	ACL4	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:26447800		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20200312
UniProtKB	Q03771	ACL4	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000314	IDA	PMID:26447800		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20200312
UniProtKB	Q03771	ACL4	involved_in	GO:0042273	ribosomal large subunit biogenesis	biological_process	ECO:0000315	IMP	PMID:25936803		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20200312
UniProtKB	Q03771	ACL4	involved_in	GO:0042273	ribosomal large subunit biogenesis	biological_process	ECO:0000315	IMP	PMID:26447800		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20200312
UniProtKB	Q03771	ACL4	enables	GO:0051082	unfolded protein binding	molecular_function	ECO:0000314	IDA	PMID:25936803		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20200312
UniProtKB	Q03771	ACL4	enables	GO:0140318	protein transporter activity	molecular_function	ECO:0000314	IDA	PMID:26447800		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20200312
UniProtKB	Q03771	ACL4	involved_in	GO:0051083	'de novo' cotranslational protein folding	biological_process	ECO:0007003	HGI	PMID:19325107	SGD:S000001236|SGD:S000005958	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20190404
UniProtKB	Q03771	ACL4	located_in	GO:0005634	nucleus	cellular_component	ECO:0007005	HDA	PMID:14562095		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20181119
UniProtKB	Q03771	ACL4	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007005	HDA	PMID:14562095		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Assembly chaperone of RPL4	20181119
