GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q05809	COA4	involved_in	GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN004427774|SGD:S000004208	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Cytochrome oxidase assembly factor 4	20260206
UniProtKB	Q05809	COA4	is_active_in	GO:0005758	mitochondrial intermembrane space	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000341932|SGD:S000004208	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Cytochrome oxidase assembly factor 4	20170228
UniProtKB	Q05809	COA4	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0168	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Cytochrome oxidase assembly factor 4	20260727
UniProtKB	Q05809	COA4	located_in	GO:0005758	mitochondrial intermembrane space	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR039870|UniProtKB-SubCell:SL-0169	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Cytochrome oxidase assembly factor 4	20260727
UniProtKB	Q05809	COA4	involved_in	GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039870	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	InterPro	Cytochrome oxidase assembly factor 4	20260727
UniProtKB	Q05809	COA4	located_in	GO:0005758	mitochondrial intermembrane space	cellular_component	ECO:0000269	EXP	PMID:22984289		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Cytochrome oxidase assembly factor 4	20190911
UniProtKB	Q05809	COA4	located_in	GO:0005634	nucleus	cellular_component	ECO:0007005	HDA	PMID:14562095		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20181119
UniProtKB	Q05809	COA4	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007005	HDA	PMID:14562095		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20181119
UniProtKB	Q05809	COA4	located_in	GO:0005758	mitochondrial intermembrane space	cellular_component	ECO:0000304	TAS	Reactome:R-SCE-1252260		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Reactome	Cytochrome oxidase assembly factor 4	20160716
UniProtKB	Q05809	COA4	enables	GO:0003674	molecular_function	molecular_function	ECO:0000307	ND	GO_REF:0000015		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
UniProtKB	Q05809	COA4	located_in	GO:0005758	mitochondrial intermembrane space	cellular_component	ECO:0000314	IDA	PMID:19703468		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
UniProtKB	Q05809	COA4	located_in	GO:0005758	mitochondrial intermembrane space	cellular_component	ECO:0000314	IDA	PMID:20624914		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
UniProtKB	Q05809	COA4	involved_in	GO:0033108	mitochondrial respiratory chain complex assembly	biological_process	ECO:0000315	IMP	PMID:19703468		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
UniProtKB	Q05809	COA4	involved_in	GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	ECO:0000315	IMP	PMID:20624914		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
UniProtKB	Q05809	COA4	involved_in	GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	ECO:0000316	IGI	PMID:20624914	SGD:S000003344	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
UniProtKB	Q05809	COA4	involved_in	GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	ECO:0000316	IGI	PMID:20624914	SGD:S000003809	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
UniProtKB	Q05809	COA4	involved_in	GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	ECO:0000315	IMP	PMID:23198688		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
UniProtKB	Q05809	COA4	involved_in	GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	ECO:0000316	IGI	PMID:23198688	SGD:S000001620	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Cytochrome oxidase assembly factor 4	20130807
