family	node	go_id	aspect	evidence	negated	seeds	taxon	date
PTHR15493	PTN001036144	GO:0005634	C	IBD	false	UniProtKB:Q90Z80|UniProtKB:Q9UKT4|FB:FBgn0017551|MGI:MGI:1926053	taxon:6072	20260218
PTHR15493	PTN001036144	GO:1990948	F	IBD	false	UniProtKB:Q9UKT4|FB:FBgn0017551	taxon:6072	20260218
PTHR15493	PTN001036144	GO:0000082	P	IBD	false	FB:FBgn0017551	taxon:6072	20260218
PTHR15493	PTN001036144	GO:0007088	P	IBD	false	ZFIN:ZDB-GENE-030131-4027|UniProtKB:Q90Z80|UniProtKB:Q9UKT4	taxon:6072	20260218
PTHR15493	PTN001036144	GO:0045835	P	IBD	false	MGI:MGI:1926053|MGI:MGI:1914391	taxon:6072	20260218
PTHR15493	PTN002693890	GO:0005737	C	IBD	false	MGI:MGI:1914391|UniProtKB:Q9UKT4|UniProtKB:Q90Z80	taxon:117571	20260218
PTHR15493	PTN002693890	GO:0005819	C	IBD	false	MGI:MGI:1914391|UniProtKB:Q90Z80|UniProtKB:Q9UKT4	taxon:117571	20260218
PTHR15493	PTN002693890	GO:0000082	P	IRD	true	PANTHER:PTN001036144	taxon:117571	20260218
PTHR15493	PTN002693890	GO:0010971	P	IBD	false	UniProtKB:Q9UKT4	taxon:117571	20260218
PTHR15493	PTN002693890	GO:0045841	P	IBD	false	UniProtKB:Q90Z80|UniProtKB:Q9UKT4	taxon:117571	20260218
