map	kegg_reaction	model_reaction	model_gene	review_dir	reviewed
rn00010	R01068	FBA	PP_4960	fba	yes
rn00010	R00710	ALDD2x	PP_0545	aldB-I	yes
rn00010	R00710	ALDD2x	PP_2589	PP_2589	yes
rn00010	R00710	ALDD2x	PP_2694		no
rn00010	R00711	ALDD2y	PP_2492		no
rn00010	R00754	ALCD2x	PP_1616	frmA	yes
rn00010	R00754	ALCD2x	PP_3839	adhP	yes
rn00010	R00200	PYK	PP_1362	pykA	yes
rn00010	R00200	PYK	PP_4301	pyk	yes
rn00010	R00658	ENO	PP_1612	eno	yes
rn00010	R01518	PGM	PP_5056	gpmI	yes
rn00010	R01061	GAPD	PP_1009	gapA	yes
rn00010	R01061	GAPD	PP_2149	gapB	yes
rn00010	R01015	TPI	PP_4715	tpiA	yes
rn00010	R00762	FBP	PP_5040	fbp	yes
rn00010	R01512	PGK	PP_4963	pgk	yes
rn00010	R00341	PPCK	PP_0253		no
rn00010	R01063	GAPDi_nadp	PP_0665		no
rn00010	R01063	GAPDi_nadp	PP_3443	PP_3443	yes
rn00010	R00235	ACS	PP_3071		no
rn00010	R00235	ACS	PP_4487	acsA1	yes
rn00010	R00235	ACS	PP_4702	acsA2	yes
rn00010	R00199	PPS	PP_2082	ppsA	yes
rn00020	R00405	SUCOAS	PP_4185	sucD	yes
rn00020	R00405	SUCOAS	PP_4186	sucC	yes
rn00020	R01082	FUM	PP_0897	PP_0897	yes
rn00020	R01082	FUM	PP_0944	fumC-I	yes
rn00020	R01082	FUM	PP_1755	fumC	yes
rn00020	R01900	ACONTb	PP_2112	acnA-I	yes
rn00020	R01900	ACONTb	PP_2339	acnB	yes
rn00020	R01325	ACONTa	PP_2112	acnA-I	yes
rn00020	R01325	ACONTa	PP_2339	acnB	yes
rn00020	R00351	CS	PP_4194	gltA	yes
rn00020	R00342	MDH	PP_0654	mdh	yes
rn00020	R00344	PC	PP_5346	pycB	yes
rn00020	R00344	PC	PP_5347	pycA	yes
rn00020	R00341	PPCK	PP_0253		no
rn00030	R06836	R15BPK	PP_4469		no
rn00030	R05605	EDA	PP_1024	eda	yes
rn00030	R01049	PRPPS	PP_0722	prs	yes
rn00030	R01057	PPM	PP_1777	cpsG	yes
rn00030	R01057	PPM	PP_5288	algC	yes
rn00030	R01051	RBK	PP_2458		no
rn00030	R01056	RPI	PP_5150	rpiA	yes
rn00030	R01529	RPE	PP_0415	rpe	yes
rn00030	R01068	FBA	PP_4960	fba	yes
rn00030	R00762	FBP	PP_5040	fbp	yes
rn00030	R02034	PGLCNDH	PP_3376	ptxD	yes
rn00030	R02658	2DHGLCK	PP_3378	kguK	yes
rn00030	R01528	GND	PP_4043	gntZ	yes
rn00030	R02035	PGL	PP_1023	pgl	yes
rn00030	R02736	G6PBDH	PP_1022	zwfA	yes
rn00030	R02736	G6PBDH	PP_4042	zwfB	yes
rn00030	R02736	G6PBDH	PP_5351	zwf	yes
rn00030	R01541	DDGLK	PP_3378	kguK	yes
rn00030	R02036	EDD	PP_1010	edd	yes
rn00030	R01737	GNK	PP_3416		no
rn00220	R00256	GLUNpp	PP_2453		no
rn00220	R00150	CBMKr	PP_0999		no
rn00220	R01398	OCBT2i	PP_1000		no
rn00220	R01954	ARGSS	PP_1088	argG	yes
rn00220	R01086	ARGSL	PP_0184	argH	yes
rn00220	R00259	ACGS	PP_5185	argA	yes
rn00220	R02649	ACGK	PP_5289	argB	yes
rn00220	R03443	AGPR	PP_0432	argC1	yes
rn00220	R03443	AGPR	PP_3633	argC2	yes
rn00220	R02283	ACOTA	PP_4481	argD	yes
rn00220	R00669	ACODA	PP_1346	argJ	yes
rn00220	R00669	ACODA	PP_5186	argE	yes
rn00220	R00552	ARGDr	PP_1001		no
rn00220	R00243	GLUDxi	PP_2080		no
rn00220	R00248	GLUDy	PP_0675	gdhA	yes
rn00220	R00355	ASPTA	PP_1972	tyrB	yes
rn00220	R00355	ASPTA	PP_3721		no
rn00220	R00258	ALATA_L	PP_0817		no
rn00220	R00258	ALATA_L	PP_1872		no
rn00220	R00575	CBPS	PP_4723		no
rn00220	R00575	CBPS	PP_4724		no
rn00250	R00578	ASNS1	PP_1750		no
rn00250	R00485	ASNN	PP_0495		no
rn00250	R00485	ASNN	PP_1160		no
rn00250	R00357	ASPO1	PP_1426	nadB	yes
rn00250	R00355	ASPTA	PP_1972	tyrB	yes
rn00250	R00355	ASPTA	PP_3721		no
rn00250	R01954	ARGSS	PP_1088	argG	yes
rn00250	R01135	ADSS	PP_4889		no
rn00250	R00490	ASPT	PP_5338		no
