suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	deep_research_status	deep_research_file
aceF	PP_0338	Q88QZ6	Q88QZ6_PSEPK	aceF	aceF PP_0338	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	unreviewed	2.0	2.3.1.12	GO:0004742; GO:0005737; GO:0006086; GO:0016491; GO:0031405; GO:0045254	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/aceF	PRESENT	genes/PSEPK/aceF/aceF-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/aceF/aceF-deep-research-asta.md
aceE	PP_0339	Q88QZ5	Q88QZ5_PSEPK	aceE	aceE PP_0339	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	unreviewed	2.0	1.2.4.1	GO:0004739; GO:0046872	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/aceE	PRESENT	genes/PSEPK/aceE/aceE-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/aceE/aceE-deep-research-asta.md
acoC	PP_0553	Q88QE1	Q88QE1_PSEPK	acoC	acoC PP_0553	Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system (EC 2.3.1.12)	unreviewed	1.0	2.3.1.12	GO:0004742	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/acoC	PRESENT	genes/PSEPK/acoC/acoC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/acoC/acoC-deep-research-asta.md
gcvT-I	PP_0986	Q88P67	Q88P67_PSEPK	gcvT-I	gcvT-I PP_0986	aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	unreviewed	2.0	2.1.2.10	GO:0004047; GO:0005960; GO:0006546; GO:0008483	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/gcvT-I	MISSING		MISSING	MISSING	-
gcvP1	PP_0988	Q88P65	GCSP1_PSEPK	gcvP1	gcvP1 gcvP-1 PP_0988	Glycine dehydrogenase (decarboxylating) 1 (EC 1.4.4.2) (Glycine cleavage system P-protein 1) (Glycine decarboxylase 1) (Glycine dehydrogenase (aminomethyl-transferring) 1)	reviewed	3.0	1.4.4.2	GO:0004375; GO:0005829; GO:0005960; GO:0016594; GO:0019464; GO:0030170	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/gcvP1	MISSING		MISSING	MISSING	-
gcvH1	PP_0989	Q88P64	GCSH1_PSEPK	gcvH1	gcvH1 gcvH-1 PP_0989	Glycine cleavage system H protein 1	reviewed	2.0		GO:0005829; GO:0005960; GO:0009249; GO:0019464	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/gcvH1	MISSING		MISSING	MISSING	-
lpdG	PP_4187	Q88FB1	Q88FB1_PSEPK	lpdG	lpdG PP_4187	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	unreviewed	3.0	1.8.1.4	GO:0004148; GO:0005737; GO:0006103; GO:0050660	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/lpdG	PRESENT	genes/PSEPK/lpdG/lpdG-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/lpdG/lpdG-deep-research-asta.md
sucB	PP_4188	Q88FB0	Q88FB0_PSEPK	sucB	sucB PP_4188	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2)	unreviewed	2.0	2.3.1.61	GO:0004149; GO:0005829; GO:0006099; GO:0033512; GO:0045252	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/sucB	PRESENT	genes/PSEPK/sucB/sucB-ai-review.yaml	CURATED	MISSING	-
sucA	PP_4189	Q88FA9	Q88FA9_PSEPK	sucA	sucA PP_4189	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	unreviewed	2.0	1.2.4.2	GO:0004591; GO:0005829; GO:0006099; GO:0030976; GO:0045252	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/sucA	PRESENT	genes/PSEPK/sucA/sucA-ai-review.yaml	CURATED	MISSING	-
bkdAA	PP_4401	Q88EQ2	Q88EQ2_PSEPK	bkdAA	bkdAA PP_4401	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain)	unreviewed	2.0	1.2.4.4	GO:0003863; GO:0009083	kegg:ppu00785	Lipoic acid metabolism	true	KEGG	ppu00785	Lipoic acid metabolism	genes/PSEPK/bkdAA	MISSING		MISSING	MISSING	-
