gene	term_id	term_label	aspect	evidence_code	qualifier	original_reference_ids	support_reference_ids	justifying_fact	fact_in_abstract	fact_in_review	fact_in_deep_research	section_of_fact	minimal_sufficient_tier	labeler	confidence	notes
RGS20	GO:0005096	GTPase activator activity	MF	IBA		GO_REF:0000033	PMID:9748279									
RGS20	GO:0005096	GTPase activator activity	MF	TAS		PMID:9748279	PMID:9748279									
RGS20	GO:0045744	negative regulation of G protein-coupled receptor signaling pathway	BP	IBA		GO_REF:0000033	PMID:20859254									
RGS20	GO:0007186	G protein-coupled receptor signaling pathway	BP	IEA		GO_REF:0000117										
RGS20	GO:0009968	negative regulation of signal transduction	BP	IEA		GO_REF:0000043										
RGS20	GO:0007186	G protein-coupled receptor signaling pathway	BP	TAS		Reactome:R-HSA-388396										
RGS20	GO:0008277	regulation of G protein-coupled receptor signaling pathway	BP	TAS		PMID:9748279	PMID:9748279									
RGS20	GO:0005802	trans-Golgi network	CC	IMP		PMID:10791963	PMID:10791963									
RGS20	GO:0016020	membrane	CC	IEA		GO_REF:0000044										
RGS20	GO:0005886	plasma membrane	CC	TAS		Reactome:R-HSA-8982021										
RGS20	GO:0009898	cytoplasmic side of plasma membrane	CC	IBA		GO_REF:0000033	PMID:10791963									
RGS20	GO:0005737	cytoplasm	CC	IEA		GO_REF:0000044	PMID:10791963									
RGS20	GO:0005886	plasma membrane	CC	TAS		Reactome:R-HSA-8982018										
RGS20	GO:0005737	cytoplasm	CC	IMP		PMID:10791963	PMID:10791963									
RGS20	GO:0005886	plasma membrane	CC	TAS		Reactome:R-HSA-8982019										
RGS20	GO:0005634	nucleus	CC	IEA		GO_REF:0000044	PMID:10791963									
RGS20	GO:0005886	plasma membrane	CC	TAS		Reactome:R-HSA-8982020										
HSPA13	GO:0016887	ATP hydrolysis activity	MF	IBA	enables	GO_REF:0000033	PMID:8131751									
HSPA13	GO:0005524	ATP binding	MF	IEA	enables	GO_REF:0000002	PMID:8131751									
HSPA13	GO:0016887	ATP hydrolysis activity	MF	IEA	enables	GO_REF:0000002	PMID:8131751									
HSPA13	GO:0005783	endoplasmic reticulum	CC	IEA	located_in	GO_REF:0000044	file:human/HSPA13/HSPA13-uniprot.txt									
LRRK2	GO:0000166	nucleotide binding	MF	IEA		GO_REF:0000043										
LRRK2	GO:0003924	GTPase activity	MF	IEA		GO_REF:0000116										
LRRK2	GO:0004672	protein kinase activity	MF	IEA		GO_REF:0000120										
LRRK2	GO:0004674	protein serine/threonine kinase activity	MF	IEA		GO_REF:0000120										
LRRK2	GO:0005524	ATP binding	MF	IEA		GO_REF:0000120										
LRRK2	GO:0005525	GTP binding	MF	IEA		GO_REF:0000120										
LRRK2	GO:0016301	kinase activity	MF	IEA		GO_REF:0000043										
LRRK2	GO:0016740	transferase activity	MF	IEA		GO_REF:0000043										
LRRK2	GO:0016787	hydrolase activity	MF	IEA		GO_REF:0000043										
LRRK2	GO:0106310	protein serine kinase activity	MF	IEA		GO_REF:0000116										
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:16321986	PMID:16321986									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:18230735	PMID:18230735									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:18397888	PMID:18397888									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:19712061	PMID:19712061									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:19733152	PMID:19733152									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:20515039	PMID:20515039									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:21073465	PMID:21073465									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:22363216	PMID:22363216									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:22952686	PMID:22952686									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:23220480	PMID:23220480									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:23241358	PMID:23241358									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:24275654	PMID:24275654									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:24591621	PMID:24591621									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:24904275	PMID:24904275									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:26824392	PMID:26824392									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:27013965	PMID:27013965									
LRRK2	GO:0042802	identical protein binding	MF	IPI		PMID:27357661	PMID:27357661									
LRRK2	GO:0031267	small GTPase binding	MF	IEA		GO_REF:0000120										
