gene,category,family
cle-1,Core matrisome,Collagens
C36B1.1,Core matrisome,Collagens
WBGene00000527,Core matrisome,Collagens
G5EDQ4,Core matrisome,Collagens
G5EF89,Core matrisome,Collagens
G5EDV5,Core matrisome,Collagens
G5EGA4,Core matrisome,Collagens
col-99,Core matrisome,Collagens
F29C4.8,Core matrisome,Collagens
WBGene00000674,Core matrisome,Collagens
A0A131MBQ9,Core matrisome,Collagens
A0A131MBJ4,Core matrisome,Collagens
U4PC95,Core matrisome,Collagens
U4PRZ7,Core matrisome,Collagens
A0A0F6YQF6,Core matrisome,Collagens
A0A131MAZ6,Core matrisome,Collagens
O76368,Core matrisome,Collagens
A0A131MCG3,Core matrisome,Collagens
A0A131MBK4,Core matrisome,Collagens
A0A131MD72,Core matrisome,Collagens
A0A131MB32,Core matrisome,Collagens
A0A131MCS7,Core matrisome,Collagens
U4PMN6,Core matrisome,Collagens
A0A131MCY1,Core matrisome,Collagens
A0A131MBL6,Core matrisome,Collagens
A0A131MBJ3,Core matrisome,Collagens
emb-9,Core matrisome,Collagens
K04H4.1,Core matrisome,Collagens
WBGene00001263,Core matrisome,Collagens
P17139,Core matrisome,Collagens
let-2,Core matrisome,Collagens
F01G12.5,Core matrisome,Collagens
WBGene00002280,Core matrisome,Collagens
P17140,Core matrisome,Collagens
agr-1,Core matrisome,ECM Glycoproteins
F41G3.12,Core matrisome,ECM Glycoproteins
WBGene00018304,Core matrisome,ECM Glycoproteins
G5EG68,Core matrisome,ECM Glycoproteins
B0393.5,Core matrisome,ECM Glycoproteins
WBGene00007170,Core matrisome,ECM Glycoproteins
Q17494,Core matrisome,ECM Glycoproteins
C16C8.2,Core matrisome,ECM Glycoproteins
WBGene00015841,Core matrisome,ECM Glycoproteins
C16E9.1,Core matrisome,ECM Glycoproteins
WBGene00015865,Core matrisome,ECM Glycoproteins
Q18048,Core matrisome,ECM Glycoproteins
C18H7.1,Core matrisome,ECM Glycoproteins
WBGene00015993,Core matrisome,ECM Glycoproteins
U4PB74,Core matrisome,ECM Glycoproteins
Q9GZF5,Core matrisome,ECM Glycoproteins
dig-1,Core matrisome,ECM Glycoproteins
K07E12.1,Core matrisome,ECM Glycoproteins
WBGene00000998,Core matrisome,ECM Glycoproteins
epi-1,Core matrisome,ECM Glycoproteins
K08C7.3,Core matrisome,ECM Glycoproteins
WBGene00001328,Core matrisome,ECM Glycoproteins
A0A061AJI9,Core matrisome,ECM Glycoproteins
Q21313,Core matrisome,ECM Glycoproteins
A0A061AD21,Core matrisome,ECM Glycoproteins
C1P641,Core matrisome,ECM Glycoproteins
C1P640,Core matrisome,ECM Glycoproteins
G5EEV6,Core matrisome,ECM Glycoproteins
F26E4.3,Core matrisome,ECM Glycoproteins
WBGene00009158,Core matrisome,ECM Glycoproteins
P90850,Core matrisome,ECM Glycoproteins
F26E4.7,Core matrisome,ECM Glycoproteins
WBGene00009162,Core matrisome,ECM Glycoproteins
P90848,Core matrisome,ECM Glycoproteins
Q8T3E1,Core matrisome,ECM Glycoproteins
F29G6.1,Core matrisome,ECM Glycoproteins
WBGene00009257,Core matrisome,ECM Glycoproteins
Q95011,Core matrisome,ECM Glycoproteins
skpo-3,Core matrisome,ECM Glycoproteins
F32A5.2,Core matrisome,ECM Glycoproteins
WBGene00017968,Core matrisome,ECM Glycoproteins
H2KZ53,Core matrisome,ECM Glycoproteins
Q95QH5,Core matrisome,ECM Glycoproteins
clec-78,Core matrisome,ECM Glycoproteins
F47C12.2,Core matrisome,ECM Glycoproteins
WBGene00018547,Core matrisome,ECM Glycoproteins
Q20531,Core matrisome,ECM Glycoproteins
F49E12.1,Core matrisome,ECM Glycoproteins
WBGene00009897,Core matrisome,ECM Glycoproteins
ketn-1,Core matrisome,ECM Glycoproteins
F54E2.3,Core matrisome,ECM Glycoproteins
WBGene00004130,Core matrisome,ECM Glycoproteins
V6CJB8,Core matrisome,ECM Glycoproteins
A0A0M7RDU5,Core matrisome,ECM Glycoproteins
A0A0M9JJ85,Core matrisome,ECM Glycoproteins
V6CLP5,Core matrisome,ECM Glycoproteins
V6CLU0,Core matrisome,ECM Glycoproteins
V6CLT3,Core matrisome,ECM Glycoproteins
fbl-1,Core matrisome,ECM Glycoproteins
F56H11.1,Core matrisome,ECM Glycoproteins
WBGene00001403,Core matrisome,ECM Glycoproteins
O77469,Core matrisome,ECM Glycoproteins
A0A061ACF5,Core matrisome,ECM Glycoproteins
A0A061ACI3,Core matrisome,ECM Glycoproteins
A0A061ADQ1,Core matrisome,ECM Glycoproteins
A0A061AKL1,Core matrisome,ECM Glycoproteins
A0A061AIV4,Core matrisome,ECM Glycoproteins
him-4,Core matrisome,ECM Glycoproteins
F15G9.4,Core matrisome,ECM Glycoproteins
WBGene00001863,Core matrisome,ECM Glycoproteins
A4UVK0,Core matrisome,ECM Glycoproteins
G5ED27,Core matrisome,ECM Glycoproteins
G5EG33,Core matrisome,ECM Glycoproteins
lam-1,Core matrisome,ECM Glycoproteins
W03F8.5,Core matrisome,ECM Glycoproteins
WBGene00002247,Core matrisome,ECM Glycoproteins
O44565,Core matrisome,ECM Glycoproteins
lam-2,Core matrisome,ECM Glycoproteins
C54D1.5,Core matrisome,ECM Glycoproteins
WBGene00016913,Core matrisome,ECM Glycoproteins
Q18823,Core matrisome,ECM Glycoproteins
lam-3,Core matrisome,ECM Glycoproteins
T22A3.8,Core matrisome,ECM Glycoproteins
WBGene00002248,Core matrisome,ECM Glycoproteins
G5ECE3,Core matrisome,ECM Glycoproteins
mfap-1,Core matrisome,ECM Glycoproteins
F43G9.10,Core matrisome,ECM Glycoproteins
WBGene00009671,Core matrisome,ECM Glycoproteins
Q93712,Core matrisome,ECM Glycoproteins
mig-6,Core matrisome,ECM Glycoproteins
C37C3.6,Core matrisome,ECM Glycoproteins
WBGene00003242,Core matrisome,ECM Glycoproteins
O76840,Core matrisome,ECM Glycoproteins
mua-3,Core matrisome,ECM Glycoproteins
K08E5.3,Core matrisome,ECM Glycoproteins
WBGene00003482,Core matrisome,ECM Glycoproteins
P34576,Core matrisome,ECM Glycoproteins
nid-1,Core matrisome,ECM Glycoproteins
F54F3.1,Core matrisome,ECM Glycoproteins
WBGene00003738,Core matrisome,ECM Glycoproteins
C7FZU3,Core matrisome,ECM Glycoproteins
C7FZU4,Core matrisome,ECM Glycoproteins
Q93791,Core matrisome,ECM Glycoproteins
ost-1,Core matrisome,ECM Glycoproteins
C44B12.2,Core matrisome,ECM Glycoproteins
WBGene00003893,Core matrisome,ECM Glycoproteins
P34714,Core matrisome,ECM Glycoproteins
pxn-1,Core matrisome,ECM Glycoproteins
ZK994.3,Core matrisome,ECM Glycoproteins
WBGene00004256,Core matrisome,ECM Glycoproteins
Q1ENI8,Core matrisome,ECM Glycoproteins
pxn-2,Core matrisome,ECM Glycoproteins
K09C8.5,Core matrisome,ECM Glycoproteins
WBGene00004257,Core matrisome,ECM Glycoproteins
G5EG78,Core matrisome,ECM Glycoproteins
scl-19,Core matrisome,ECM Glycoproteins
ZK384.1,Core matrisome,ECM Glycoproteins
WBGene00013971,Core matrisome,ECM Glycoproteins
O62507,Core matrisome,ECM Glycoproteins
slt-1,Core matrisome,ECM Glycoproteins
F40E10.4,Core matrisome,ECM Glycoproteins
WBGene00004854,Core matrisome,ECM Glycoproteins
G5EFX6,Core matrisome,ECM Glycoproteins
spon-1,Core matrisome,ECM Glycoproteins
F10E7.4,Core matrisome,ECM Glycoproteins
WBGene00006893,Core matrisome,ECM Glycoproteins
Q19305,Core matrisome,ECM Glycoproteins
T01D3.6,Core matrisome,ECM Glycoproteins
WBGene00011330,Core matrisome,ECM Glycoproteins
G5EEP7,Core matrisome,ECM Glycoproteins
G5EDT4,Core matrisome,ECM Glycoproteins
T04F3.2,Core matrisome,ECM Glycoproteins
WBGene00011437,Core matrisome,ECM Glycoproteins
T19D12.6,Core matrisome,ECM Glycoproteins
WBGene00020581,Core matrisome,ECM Glycoproteins
Q22574,Core matrisome,ECM Glycoproteins
unc-122,Core matrisome,ECM Glycoproteins
F11C3.2,Core matrisome,ECM Glycoproteins
WBGene00006845,Core matrisome,ECM Glycoproteins
G5EGP1,Core matrisome,ECM Glycoproteins
unc-6,Core matrisome,ECM Glycoproteins
F41C6.1,Core matrisome,ECM Glycoproteins
WBGene00006746,Core matrisome,ECM Glycoproteins
P34710,Core matrisome,ECM Glycoproteins
W02G9.4,Core matrisome,ECM Glycoproteins
WBGene00020954,Core matrisome,ECM Glycoproteins
A0A0M7RE06,Core matrisome,ECM Glycoproteins
O61901,Core matrisome,ECM Glycoproteins
lron-8,Core matrisome,Proteoglycans
T22E7.1,Core matrisome,Proteoglycans
WBGene00020693,Core matrisome,Proteoglycans
Q9N5D7,Core matrisome,Proteoglycans
Q86S81,Core matrisome,Proteoglycans
test-1,Core matrisome,Proteoglycans
C54E4.2,Core matrisome,Proteoglycans
WBGene00016918,Core matrisome,Proteoglycans
O44466,Core matrisome,Proteoglycans
unc-52,Core matrisome,Proteoglycans
