suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	openscientist_research_status	openscientist_research_file
nuoA	PP_4119	Q88FH7	NUOA_PSEPK	nuoA	nuoA PP_4119	NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	reviewed	3.0	7.1.1.-	GO:0005886; GO:0008137; GO:0030964; GO:0048038; GO:0050136	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoA	MISSING	DRAFT	genes/PSEPK/nuoA/nuoA-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoA/nuoA-deep-research-openscientist.md
nuoB	PP_4120	Q88FH6	NUOB_PSEPK	nuoB	nuoB PP_4120 PP4120	NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	reviewed	3.0	7.1.1.-	GO:0005506; GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0045271; GO:0048038; GO:0050136; GO:0051539	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoB	MISSING	DRAFT	genes/PSEPK/nuoB/nuoB-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoB/nuoB-deep-research-openscientist.md
nuoC	PP_4121	Q88FH5	NUOCD_PSEPK	nuoC	nuoC nuoCD nuoD PP_4121	NADH-quinone oxidoreductase subunit C/D (EC 7.1.1.-) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D)	reviewed	3.0	7.1.1.-	GO:0005886; GO:0008137; GO:0022904; GO:0030964; GO:0048038; GO:0050136; GO:0051287	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoC	MISSING	DRAFT	genes/PSEPK/nuoC/nuoC-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoC/nuoC-deep-research-openscientist.md
nuoE	PP_4122	Q88FH4	Q88FH4_PSEPK	nuoE	nuoE PP_4122	NADH-quinone oxidoreductase subunit E (NADH dehydrogenase I subunit E) (NDH-1 subunit E)	unreviewed	2.0		GO:0003954; GO:0046872; GO:0051537	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoE	MISSING	DRAFT	genes/PSEPK/nuoE/nuoE-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoE/nuoE-deep-research-openscientist.md
nuoF	PP_4123	Q88FH3	Q88FH3_PSEPK	nuoF	nuoF PP_4123	NADH-quinone oxidoreductase subunit F (EC 7.1.1.-)	unreviewed	3.0	7.1.1.-	GO:0008137; GO:0010181; GO:0016491; GO:0046872; GO:0048038; GO:0051287; GO:0051539	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoF	MISSING	DRAFT	genes/PSEPK/nuoF/nuoF-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoF/nuoF-deep-research-openscientist.md
nuoG	PP_4124	Q88FH2	NUOG_PSEPK	nuoG	nuoG PP_4124	NADH-quinone oxidoreductase subunit G (EC 7.1.1.-) (NADH dehydrogenase I subunit G) (NDH-1 subunit G)	reviewed	3.0	7.1.1.-	GO:0003954; GO:0008137; GO:0016020; GO:0042773; GO:0046872; GO:0048038; GO:0051537; GO:0051539	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoG	MISSING	DRAFT	genes/PSEPK/nuoG/nuoG-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoG/nuoG-deep-research-openscientist.md
nuoH	PP_4125	Q88FH1	NUOH_PSEPK	nuoH	nuoH PP_4125	NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	reviewed	3.0	7.1.1.-	GO:0003954; GO:0005886; GO:0009060; GO:0016655; GO:0048038	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoH	MISSING	DRAFT	genes/PSEPK/nuoH/nuoH-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoH/nuoH-deep-research-openscientist.md
nuoI	PP_4126	Q88FH0	NUOI_PSEPK	nuoI	nuoI PP_4126	NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	reviewed	3.0	7.1.1.-	GO:0005506; GO:0005886; GO:0009060; GO:0048038; GO:0050136; GO:0051539	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoI	MISSING	DRAFT	genes/PSEPK/nuoI/nuoI-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoI/nuoI-deep-research-openscientist.md
nuoJ	PP_4127	Q88FG9	Q88FG9_PSEPK	nuoJ	nuoJ PP_4127	NADH-quinone oxidoreductase subunit J (EC 7.1.1.-)	unreviewed	2.0	7.1.1.-	GO:0005886; GO:0008137; GO:0016491; GO:0048038	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoJ	MISSING	DRAFT	genes/PSEPK/nuoJ/nuoJ-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoJ/nuoJ-deep-research-openscientist.md
nuoK	PP_4128	Q88FG8	NUOK_PSEPK	nuoK	nuoK PP_4128	NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	reviewed	3.0	7.1.1.-	GO:0005886; GO:0030964; GO:0042773; GO:0048038; GO:0050136	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/nuoK	MISSING	DRAFT	genes/PSEPK/nuoK/nuoK-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/nuoK/nuoK-deep-research-openscientist.md
