suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
hisC	PP_0967	Q88P86	HIS8_PSEPK	hisC	hisC PP_0967	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	reviewed	2.0	2.6.1.9	GO:0000105; GO:0004400; GO:0030170	kegg:ppu00401	Novobiocin biosynthesis	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/hisC	PRESENT	genes/PSEPK/hisC/hisC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hisC/hisC-deep-research-asta.md
PP_1791	PP_1791	Q88LY5	Q88LY5_PSEPK	PP_1791	PP_1791	Aldolase/synthase	unreviewed	1.0		GO:0003852; GO:0009098	kegg:ppu00621	Dioxin degradation	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/PP_1791	PRESENT	genes/PSEPK/PP_1791/PP_1791-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_1791/PP_1791-deep-research-asta.md
tyrB	PP_1972	Q88LG1	Q88LG1_PSEPK	tyrB	tyrB PP_1972	Aminotransferase (EC 2.6.1.-)	unreviewed	2.0	2.6.1.-	GO:0004838; GO:0005829; GO:0030170; GO:0033585; GO:0042802	kegg:ppu00401	Novobiocin biosynthesis	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/tyrB	PRESENT	genes/PSEPK/tyrB/tyrB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/tyrB/tyrB-deep-research-asta.md
PP_2217	PP_2217	Q88KS2	Q88KS2_PSEPK	PP_2217	PP_2217	enoyl-CoA hydratase (EC 4.2.1.17)	unreviewed	2.0	4.2.1.17	GO:0006635; GO:0018812	kegg:ppu00930	Caprolactam degradation	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/PP_2217	PRESENT	genes/PSEPK/PP_2217/PP_2217-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2217/PP_2217-deep-research-asta.md
PP_2552	PP_2552	Q88JU5	Q88JU5_PSEPK	PP_2552	PP_2552	DOPA decarboxylase (EC 4.1.1.28)	unreviewed	2.0	4.1.1.28	GO:0004058; GO:0005737; GO:0006520; GO:0019752; GO:0030170	kegg:ppu00350	Tyrosine metabolism	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/PP_2552	PRESENT	genes/PSEPK/PP_2552/PP_2552-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2552/PP_2552-deep-research-asta.md
PP_2932	PP_2932	Q88IR7	Q88IR7_PSEPK	PP_2932	PP_2932	Amidase family protein	unreviewed	1.0			kegg:ppu00643	Styrene degradation	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/PP_2932	PRESENT	genes/PSEPK/PP_2932/PP_2932-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2932/PP_2932-deep-research-asta.md
paaZ	PP_3270	Q88HT3	Q88HT3_PSEPK	paaZ	paaZ PP_3270	Oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (EC 1.2.1.91, EC 3.3.2.12)	unreviewed	1.0	1.2.1.91; 3.3.2.12	GO:0016620; GO:0016787	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaZ	PRESENT	genes/PSEPK/paaZ/paaZ-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaZ/paaZ-deep-research-asta.md
paaE	PP_3274	Q88HS9	Q88HS9_PSEPK	paaE	paaE PP_3274	Ring 1,2-phenylacetyl-CoA epoxidase, reductase subunit (EC 1.14.13.149)	unreviewed	1.0	1.14.13.149	GO:0010124; GO:0046872; GO:0050660; GO:0051537; GO:0097266	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaE	PRESENT	genes/PSEPK/paaE/paaE-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaE/paaE-deep-research-asta.md
paaD	PP_3275	Q88HS8	Q88HS8_PSEPK	paaD	paaD PP_3275	Subunit of phenylacetate degradation enzyme	unreviewed	1.0			kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaD	PRESENT	genes/PSEPK/paaD/paaD-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaD/paaD-deep-research-asta.md
paaC	PP_3276	Q88HS7	Q88HS7_PSEPK	paaC	paaC PP_3276	Ring 1,2-phenylacetyl-CoA epoxidase beta subunit (EC 1.14.13.149)	unreviewed	1.0	1.14.13.149	GO:0005829; GO:0010124; GO:0097266	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaC	PRESENT	genes/PSEPK/paaC/paaC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaC/paaC-deep-research-asta.md
paaB	PP_3277	Q88HS6	Q88HS6_PSEPK	paaB	paaB PP_3277	Ring 1,2-phenylacetyl-CoA epoxidase regulatory subunit (EC 1.14.13.149)	unreviewed	1.0	1.14.13.149	GO:0097266	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaB	PRESENT	genes/PSEPK/paaB/paaB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaB/paaB-deep-research-asta.md
paaA	PP_3278	Q88HS5	Q88HS5_PSEPK	paaA	paaA PP_3278	Ring 1,2-phenylacetyl-CoA epoxidase alpha subunit (EC 1.14.13.149)	unreviewed	1.0	1.14.13.149	GO:0005829; GO:0010124; GO:0097266	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaA	PRESENT	genes/PSEPK/paaA/paaA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaA/paaA-deep-research-asta.md
paaK	PP_3279	Q88HS4	Q88HS4_PSEPK	paaK	paaK PP_3279	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase)	unreviewed	2.0	6.2.1.30	GO:0000166; GO:0010124; GO:0047475	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaK	PRESENT	genes/PSEPK/paaK/paaK-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaK/paaK-deep-research-asta.md
paaI	PP_3281	Q88HS2	Q88HS2_PSEPK	paaI	paaI PP_3281	Hydroxyphenylacetyl-CoA thioesterase	unreviewed	1.0		GO:0016289	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaI	PRESENT	genes/PSEPK/paaI/paaI-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaI/paaI-deep-research-asta.md
paaH	PP_3282	Q88HS1	Q88HS1_PSEPK	paaH	paaH PP_3282	3-hydroxyadipyl-CoA dehydrogenase (EC 1.1.1.35)	unreviewed	2.0	1.1.1.35	GO:0003857; GO:0006635; GO:0008691; GO:0010124; GO:0070403	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaH	PRESENT	genes/PSEPK/paaH/paaH-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaH/paaH-deep-research-asta.md
paaG	PP_3283	Q88HS0	Q88HS0_PSEPK	paaG	paaG PP_3283	1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)	unreviewed	1.0	5.3.3.18	GO:0010124; GO:0016853	kegg:ppu00360	Phenylalanine metabolism	true	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaG	PRESENT	genes/PSEPK/paaG/paaG-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaG/paaG-deep-research-asta.md
paaF	PP_3284	Q88HR9	Q88HR9_PSEPK	paaF	paaF PP_3284	Enoyl-CoA hydratase-isomerase (EC 4.2.1.17)	unreviewed	1.0	4.2.1.17	GO:0004300; GO:0006635	kegg:ppu00930	Caprolactam degradation	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/paaF	PRESENT	genes/PSEPK/paaF/paaF-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaF/paaF-deep-research-asta.md
hpd	PP_3433	Q88HC7	Q88HC7_PSEPK	hpd	hpd PP_3433	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	unreviewed	2.0	1.13.11.27	GO:0003868; GO:0006572; GO:0046872	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/hpd	PRESENT	genes/PSEPK/hpd/hpd-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hpd/hpd-deep-research-asta.md
peaE	PP_3463	Q88H97	Q88H97_PSEPK	peaE	peaE PP_3463	Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)	unreviewed	1.0	1.2.1.39	GO:0008957	kegg:ppu00643	Styrene degradation	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/peaE	PRESENT	genes/PSEPK/peaE/peaE-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/peaE/peaE-deep-research-asta.md
amaC	PP_3590	Q88GX7	Q88GX7_PSEPK	amaC	amaC PP_3590	Aminotransferase (EC 2.6.1.-)	unreviewed	2.0	2.6.1.-	GO:0004838; GO:0005829; GO:0030170; GO:0033585; GO:0042802	kegg:ppu00401	Novobiocin biosynthesis	false	KEGG	ppu00360	Phenylalanine metabolism	genes/PSEPK/amaC	PRESENT	genes/PSEPK/amaC/amaC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/amaC/amaC-deep-research-asta.md
