suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
katE	PP_0115	Q88RL4	Q88RL4_PSEPK	katE	katE PP_0115	Catalase (EC 1.11.1.6)	unreviewed	3.0	1.11.1.6	GO:0004096; GO:0005829; GO:0006979; GO:0020037; GO:0042744; GO:0046872	kegg:ppu04146	Peroxisome	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/katE	PRESENT	genes/PSEPK/katE/katE-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/katE/katE-deep-research-asta.md
gcdH	PP_0158	Q88RH2	Q88RH2_PSEPK	gcdH	gcdH PP_0158	glutaryl-CoA dehydrogenase (ETF) (EC 1.3.8.6)	unreviewed	2.0	1.3.8.6	GO:0000062; GO:0004361; GO:0033539; GO:0046949; GO:0050660	kegg:ppu00380	Tryptophan metabolism	true	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/gcdH	PRESENT	genes/PSEPK/gcdH/gcdH-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/gcdH/gcdH-deep-research-asta.md
katA	PP_0481	Q88QK9	Q88QK9_PSEPK	katA	katA PP_0481	Catalase (EC 1.11.1.6)	unreviewed	3.0	1.11.1.6	GO:0004096; GO:0005737; GO:0020037; GO:0042542; GO:0042744; GO:0046872	kegg:ppu04146	Peroxisome	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/katA	PRESENT	genes/PSEPK/katA/katA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/katA/katA-deep-research-asta.md
PP_0582	PP_0582	Q88QB2	Q88QB2_PSEPK	PP_0582	PP_0582	Thiolase family protein	unreviewed	1.0		GO:0003988; GO:0005829	kegg:ppu00900	Terpenoid backbone biosynthesis	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/PP_0582	PRESENT	genes/PSEPK/PP_0582/PP_0582-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0582/PP_0582-deep-research-asta.md
fadB	PP_2136	Q88L02	FADB_PSEPK	fadB	fadB PP_2136	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	reviewed	5.0	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	GO:0004165; GO:0006635; GO:0008692; GO:0016509; GO:0018812; GO:0036125; GO:0070403	kegg:ppu00930	Caprolactam degradation	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/fadB	PRESENT	genes/PSEPK/fadB/fadB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/fadB/fadB-deep-research-asta.md
PP_2215	PP_2215	Q88KS4	Q88KS4_PSEPK	PP_2215	PP_2215	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	unreviewed	2.0	2.3.1.9	GO:0003985; GO:0033812; GO:0044281	kegg:ppu00900	Terpenoid backbone biosynthesis	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/PP_2215	PRESENT	genes/PSEPK/PP_2215/PP_2215-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2215/PP_2215-deep-research-asta.md
PP_2217	PP_2217	Q88KS2	Q88KS2_PSEPK	PP_2217	PP_2217	enoyl-CoA hydratase (EC 4.2.1.17)	unreviewed	2.0	4.2.1.17	GO:0006635; GO:0018812	kegg:ppu00930	Caprolactam degradation	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/PP_2217	PRESENT	genes/PSEPK/PP_2217/PP_2217-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2217/PP_2217-deep-research-asta.md
PP_2552	PP_2552	Q88JU5	Q88JU5_PSEPK	PP_2552	PP_2552	DOPA decarboxylase (EC 4.1.1.28)	unreviewed	2.0	4.1.1.28	GO:0004058; GO:0005737; GO:0006520; GO:0019752; GO:0030170	kegg:ppu00350	Tyrosine metabolism	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/PP_2552	PRESENT	genes/PSEPK/PP_2552/PP_2552-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2552/PP_2552-deep-research-asta.md
PP_2887	PP_2887	Q88IW2	Q88IW2_PSEPK	PP_2887	PP_2887	Catalase-related peroxidase (EC 1.11.1.-)	unreviewed	2.0	1.11.1.-	GO:0004096; GO:0005737; GO:0020037; GO:0042542; GO:0042744; GO:0046872	kegg:ppu04146	Peroxisome	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/PP_2887	PRESENT	genes/PSEPK/PP_2887/PP_2887-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2887/PP_2887-deep-research-asta.md
PP_2932	PP_2932	Q88IR7	Q88IR7_PSEPK	PP_2932	PP_2932	Amidase family protein	unreviewed	1.0			kegg:ppu00643	Styrene degradation	false	KEGG	ppu00380	Tryptophan metabolism	genes/PSEPK/PP_2932	PRESENT	genes/PSEPK/PP_2932/PP_2932-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2932/PP_2932-deep-research-asta.md
