suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
scpC	PP_0154	Q88RH5	Q88RH5_PSEPK	scpC	scpC PP_0154	Propionyl-CoA:succinate CoA transferase (EC 2.8.3.-)	unreviewed	2.0	2.8.3.-	GO:0003986; GO:0006083; GO:0006084; GO:0008775	kegg:ppu00020	Citrate cycle (TCA cycle)	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/scpC	PRESENT	genes/PSEPK/scpC/scpC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/scpC/scpC-deep-research-asta.md
davD	PP_0213	Q88RC0	DAVD_PSEPK	davD	davD PP_0213	Glutarate-semialdehyde dehydrogenase (EC 1.2.1.-)	reviewed	3.0	1.2.1.-	GO:0004777; GO:0005829; GO:0009450; GO:0019477; GO:0102810	kegg:ppu00350	Tyrosine metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/davD	PRESENT	genes/PSEPK/davD/davD-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/davD/davD-deep-research-asta.md
davT	PP_0214	Q88RB9	DAVT_PSEPK	davT	davT PP_0214	5-aminovalerate aminotransferase DavT (EC 2.6.1.48) (5-aminovalerate transaminase) (Delta-aminovalerate aminotransferase)	reviewed	4.0	2.6.1.48	GO:0009448; GO:0019477; GO:0030170; GO:0034386; GO:0042802; GO:0047589	kegg:ppu00310	Lysine degradation	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/davT	PRESENT	genes/PSEPK/davT/davT-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/davT/davT-deep-research-asta.md
bdhA	PP_0552	Q88QE2	Q88QE2_PSEPK	bdhA	bdhA PP_0552	2,3-butanediol dehydrogenase (EC 1.1.1.4)	unreviewed	1.0	1.1.1.4	GO:0000721; GO:0008270	kegg:ppu00650	Butanoate metabolism	true	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/bdhA	PRESENT	genes/PSEPK/bdhA/bdhA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/bdhA/bdhA-deep-research-asta.md
PP_0582	PP_0582	Q88QB2	Q88QB2_PSEPK	PP_0582	PP_0582	Thiolase family protein	unreviewed	1.0		GO:0003988; GO:0005829	kegg:ppu00900	Terpenoid backbone biosynthesis	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/PP_0582	PRESENT	genes/PSEPK/PP_0582/PP_0582-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0582/PP_0582-deep-research-asta.md
PP_1157	PP_1157	Q877U6	Q877U6_PSEPK	PP_1157	PP_1157 PP_3365	Acetolactate synthase	unreviewed	1.0		GO:0000287; GO:0003984; GO:0005948; GO:0009097; GO:0009099; GO:0030976; GO:0050660	kegg:ppu00660	C5-Branched dibasic acid metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/PP_1157	PRESENT	genes/PSEPK/PP_1157/PP_1157-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_1157/PP_1157-deep-research-asta.md
PP_1394	PP_1394	Q88N22	Q88N22_PSEPK	PP_1394	PP_1394	Acetolactate synthase, large subunit	unreviewed	1.0		GO:0000287; GO:0003984; GO:0005948; GO:0009097; GO:0009099; GO:0030976; GO:0050660	kegg:ppu00660	C5-Branched dibasic acid metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/PP_1394	PRESENT	genes/PSEPK/PP_1394/PP_1394-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_1394/PP_1394-deep-research-asta.md
fadB	PP_2136	Q88L02	FADB_PSEPK	fadB	fadB PP_2136	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	reviewed	5.0	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	GO:0004165; GO:0006635; GO:0008692; GO:0016509; GO:0018812; GO:0036125; GO:0070403	kegg:ppu00930	Caprolactam degradation	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/fadB	PRESENT	genes/PSEPK/fadB/fadB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/fadB/fadB-deep-research-asta.md
PP_2215	PP_2215	Q88KS4	Q88KS4_PSEPK	PP_2215	PP_2215	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	unreviewed	2.0	2.3.1.9	GO:0003985; GO:0033812; GO:0044281	kegg:ppu00900	Terpenoid backbone biosynthesis	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/PP_2215	PRESENT	genes/PSEPK/PP_2215/PP_2215-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2215/PP_2215-deep-research-asta.md
acd	PP_2216	Q88KS3	Q88KS3_PSEPK	acd	acd PP_2216	3-sulfinopropanoyl-CoA desulfinase (EC 1.3.8.11) (EC 3.13.1.4) (3-sulfinopropionyl coenzyme A desulfinase) (Cyclohexane-1-carbonyl-CoA dehydrogenase)	unreviewed	2.0	1.3.8.11; 3.13.1.4	GO:0003995; GO:0050660	kegg:ppu00410	beta-Alanine metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/acd	PRESENT	genes/PSEPK/acd/acd-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/acd/acd-deep-research-asta.md
