A0A087WUV0	ZNF892
A0A0U1RQI7	KLF18
A0A1B0GTS1	HSFX4
A0A1B0GWH4	HSFX3
A0A1W2PPF3	DUXB
A0A1W2PPK0	CPHXL2
A0A1W2PPM1	CPHXL
A0A1W2PQ73	ERFL
A0A1W2PQL4	ZNF722
A0A1W2PRP0	FOXL3
A0A2Z4LIS9	FOXO3B
A0A5F9ZHS7	NFILZ
A0AVK6	E2F8
A0PJY2	FEZF1
A1YPR0	ZBTB7C
A2RRD8	ZNF320
A2RU54	HMX2
A6NCS4	NKX2-6
A6NDR6	MEIS3P1
A6NFD8	HELT
A6NFI3	ZNF316
A6NFQ7	DPRX
A6NGD5	ZSCAN5C
A6NHJ4	ZNF860
A6NHT5	HMX3
A6NI15	MSGN1
A6NJ46	NKX6-3
A6NJG6	ARGFX
A6NJL1	ZSCAN5B
A6NJT0	UNCX
A6NK53	ZNF233
A6NK75	ZNF98
A6NKF2	ARID3C
A6NLW8	DUXA
A6NM28	ZFP92
A6NMT0	DBX1
A6NN14	ZNF729
A6NNA5	DRGX
A6NNF4	ZNF726
A6NP11	ZNF716
A8K0S8	MEIS3P2
A8K8V0	ZNF785
A8MT65	ZNF891
A8MTJ6	FOXI3
A8MTQ0	NOTO
A8MTY0	ZNF724
A8MUV8	ZNF727
A8MUZ8	ZNF705G
A8MWA4	ZNF705EP
A8MXY4	ZNF99
A8MYZ6	FOXO6
A8MZ59	LEUTX
A9YTQ3	AHRR
B1APH4	ZNF487
B2RXF5	ZBTB42
B4DU55	ZNF879
B4DX44	ZNF736
B4DXR9	ZNF732
C9JBD0	KRABD1
C9JN71	ZNF878
E7ETH6	ZNF587B
E9PGG2	ANHX
O00110	OVOL3
O00287	RFXAP
O00321	ETV2
O00327	BMAL1
O00358	FOXE1
O00409	FOXN3
O00470	MEIS1
O00482	NR5A2
O00570	SOX1
O00634	NTN3
O00712	NFIB
O00716	E2F3
O14503	BHLHE40
O14529	CUX2
O14593	RFXANK
O14627	CDX4
O14628	ZNF195
O14753	OVOL1
O14770	MEIS2
O14771	ZNF213
O14813	PHOX2A
O14867	BACH1
O14896	IRF6
O14901	KLF11
O14948	TFEC
O14978	ZNF263
O15014	ZNF609
O15015	ZNF646
O15060	ZBTB39
O15062	ZBTB5
O15090	ZNF536
O15119	TBX3
O15156	ZBTB7B
O15162	PLSCR1
O15173	PGRMC2
O15178	TBXT
O15198	SMAD9
O15209	ZBTB22
O15226	NKRF
O15266	SHOX
O15350	TP73
O15353	FOXN1
O15370	SOX12
O15391	YY2
O15409	FOXP2
O15499	GSC2
O15516	CLOCK
O15522	NKX2-8
O15525	MAFG
O15535	ZSCAN9
O43167	ZBTB24
O43186	CRX
O43248	HOXC11
O43296	ZNF264
O43298	ZBTB43
O43309	ZSCAN12
O43313	ATMIN
O43316	PAX4
O43361	ZNF749
O43364	HOXA2
O43365	HOXA3
O43435	TBX1
O43474	KLF4
O43524	FOXO3
O43623	SNAI2
O43638	FOXS1
O43680	TCF21
O43711	TLX3
O43763	TLX2
O43812	DUX1
O43829	ZBTB14
O43889	CREB3
O60248	SOX15
O60281	ZNF292
O60284	ST18
O60304	ZNF500
O60315	ZEB2
O60381	HBP1
O60384	ZNF861P
O60393	NOBOX
O60422	ONECUT3
O60479	DLX3
O60481	ZIC3
O60519	CREBL2
O60548	FOXD2
O60663	LMX1B
O60675	MAFK
O60682	MSC
O60765	ZNF354A
O60806	TBX19
O60902	SHOX2
O75030	MITF
O75123	ZNF623
O75132	ZBED4
O75290	ZNF780A
O75333	TBX10
O75346	ZNF253
O75360	PROP1
O75362	ZNF217
O75364	PITX3
O75373	ZNF737
O75398	DEAF1
O75437	ZNF254
O75444	MAF
O75461	E2F6
O75467	ZNF324
O75469	NR1I2
O75541	ZNF821
O75593	FOXH1
O75603	GCM2
O75626	PRDM1
O75820	ZNF189
O75840	KLF7
O94842	TOX4
O94850	DDN
O94916	NFAT5
O94993	SOX30
O95076	ALX3
O95096	NKX2-2
O95125	ZNF202
O95201	ZNF205
O95231	VENTX
O95238	SPDEF
O95343	SIX3
O95365	ZBTB7A
O95409	ZIC2
O95416	SOX14
O95475	SIX6
O95600	KLF8
O95625	ZBTB11
O95631	NTN1
O95644	NFATC1
O95718	ESRRB
O95780	ZNF682
O95785	WIZ
O95863	SNAI1
O95935	TBX18
O95936	EOMES
O95947	TBX6
O95948	ONECUT2
O96004	HAND1
O96006	ZBED1
P01100	FOS
P01106	MYC
P03372	ESR1
P04150	NR3C1
P04198	MYCN
P04637	TP53
P05412	JUN
P05549	TFAP2A
P06401	PGR
P06733	ENO1
P08047	SP1
P08048	ZFY
P08151	GLI1
P08235	NR3C2
P08651	NFIC
P08910	ABHD2
P09016	HOXD4
P09017	HOXC4
P09067	HOXB5
P09086	POU2F2
P09629	HOXB7
P09630	HOXC6
P0C6A0	ZGLP1
P0C7M4	RHOXF2B
P0C7X2	ZNF688
P0CB33	ZNF735
P0CG00	ZSCAN5DP
P0CG23	ZNF853
P0CG24	ZNF883
P0CG31	ZNF286B
P0CG40	SP9
P0CH99	ZNF705D
P0CI00	ZNF705B
P0CJ78	ZNF865
P0CJ79	ZNF888
P0CJ85	DUX4L2
P0CJ86	DUX4L3
P0CJ87	DUX4L4
P0CJ88	DUX4L5
P0CJ89	DUX4L6
P0CJ90	DUX4L7
P0DKX0	ZNF728
P0DPD5	ZNF723
P0DV77	TPRX2
P10070	GLI2
P10071	GLI3
P10072	ZNF875
P10073	ZSCAN22
P10074	ZBTB48
P10075	GLI4
P10242	MYB
P10243	MYBL1
P10244	MYBL2
P10275	AR
P10276	RARA
P10588	NR2F6
P10589	NR2F1
P10826	RARB
P10827	THRA
P10828	THRB
P10914	IRF1
P11161	EGR2
P11308	ERG
P11473	VDR
P11474	ESRRA
P11831	SRF
P12524	MYCL
P12525	MYCLP1
P12755	SKI
P12757	SKIL
P12980	LYL1
P13056	NR2C1
P13349	MYF5
P13378	HOXD8
P13631	RARG
P13682	ZNF35
P14316	IRF2
P14651	HOXB3
P14652	HOXB2
P14653	HOXB1
P14859	POU2F1
P14921	ETS1
P15036	ETS2
P15172	MYOD1
P15173	MYOG
P15336	ATF2
P15407	FOSL1
P15408	FOSL2
P15621	ZNF44
P15622	ZNF250
P15822	HIVEP1
P15863	PAX1
P15884	TCF4
P15923	TCF3
P15976	GATA1
P16220	CREB1
P16415	ZNF823
P17010	ZFX
P17014	ZNF12
P17017	ZNF14
P17019	ZNF708
P17020	ZNF16
P17021	ZNF17
P17022	ZNF18
P17023	ZNF19
P17024	ZNF20
P17025	ZNF182
P17026	ZNF22
P17027	ZNF23
P17028	ZNF24
P17029	ZKSCAN1
P17030	ZNF25
P17032	ZNF37A
P17035	ZNF28
P17036	ZNF3
