GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q86WA8	LONP2	involved_in	GO:0006625	protein targeting to peroxisome	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000005559|UniProtKB:Q86WA8	9606	Homo sapiens	GO_Central	Lon protease homolog 2, peroxisomal	20240205
UniProtKB	Q86WA8	LONP2	is_active_in	GO:0005782	peroxisomal matrix	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000005559|RGD:1305466	9606	Homo sapiens	GO_Central	Lon protease homolog 2, peroxisomal	20170228
UniProtKB	Q86WA8	LONP2	involved_in	GO:0016485	protein processing	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000005559|UniProtKB:Q86WA8	9606	Homo sapiens	GO_Central	Lon protease homolog 2, peroxisomal	20170228
UniProtKB	Q86WA8	LONP2	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	enables	GO:0004176	ATP-dependent peptidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004815|InterPro:IPR008268|InterPro:IPR008269|InterPro:IPR027065|UniRule:UR000106901	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	enables	GO:0004252	serine-type endopeptidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR008268|InterPro:IPR008269|InterPro:IPR027065|InterPro:IPR027501|EC:3.4.21.53|UniRule:UR000106901	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR003959|InterPro:IPR004815|InterPro:IPR027065|UniProtKB-KW:KW-0067|UniRule:UR000106901	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	located_in	GO:0005782	peroxisomal matrix	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q3MIB4|ensembl:ENSRNOP00000020770|UniProtKB-SubCell:SL-0202|UniRule:UR000106901	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	involved_in	GO:0006508	proteolysis	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004815|InterPro:IPR008268|InterPro:IPR008269|UniProtKB-KW:KW-0645	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	involved_in	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR027501|UniRule:UR000106901	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	enables	GO:0008233	peptidase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0645	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	enables	GO:0008236	serine-type peptidase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0720	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	involved_in	GO:0016485	protein processing	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106901	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	involved_in	GO:0016558	protein import into peroxisome matrix	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106901	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR003959|UniRule:UR000106901	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	involved_in	GO:0030163	protein catabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027065	9606	Homo sapiens	InterPro	Lon protease homolog 2, peroxisomal	20251006
UniProtKB	Q86WA8	LONP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27173435	UniProtKB:Q9H1X1	9606	Homo sapiens	IntAct	Lon protease homolog 2, peroxisomal	20251004
UniProtKB	Q86WA8	LONP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q9H1X1	9606	Homo sapiens	IntAct	Lon protease homolog 2, peroxisomal	20251004
UniProtKB	Q86WA8	LONP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8N0S2	9606	Homo sapiens	IntAct	Lon protease homolog 2, peroxisomal	20251004
UniProtKB	Q86WA8	LONP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q9H1X1	9606	Homo sapiens	IntAct	Lon protease homolog 2, peroxisomal	20251004
UniProtKB	Q86WA8	LONP2	located_in	GO:0005634	nucleus	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9DBN5|ensembl:ENSMUSP00000034141	9606	Homo sapiens	Ensembl	Lon protease homolog 2, peroxisomal	20250926
UniProtKB	Q86WA8	LONP2	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026971|UniProtKB:Q9DBN5|ensembl:ENSMUSP00000034141	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20250926
UniProtKB	Q86WA8	LONP2	located_in	GO:0005777	peroxisome	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q3MIB4|ensembl:ENSRNOP00000020770	9606	Homo sapiens	Ensembl	Lon protease homolog 2, peroxisomal	20250926
UniProtKB	Q86WA8	LONP2	located_in	GO:0005782	peroxisomal matrix	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9033235		9606	Homo sapiens	Reactome	Lon protease homolog 2, peroxisomal	20171219
UniProtKB	Q86WA8	LONP2	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9033235		9606	Homo sapiens	Reactome	Lon protease homolog 2, peroxisomal	20170208
UniProtKB	Q86WA8	LONP2	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9033236		9606	Homo sapiens	Reactome	Lon protease homolog 2, peroxisomal	20170208
UniProtKB	Q86WA8	LONP2	located_in	GO:0016020	membrane	cellular_component	ECO:0007005	HDA	PMID:19946888		9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20140627
UniProtKB	Q86WA8	LONP2	involved_in	GO:0006625	protein targeting to peroxisome	biological_process	ECO:0000315	IMP	PMID:18281296		9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20140521
UniProtKB	Q86WA8	LONP2	enables	GO:0008233	peptidase activity	molecular_function	ECO:0000314	IDA	PMID:18281296		9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20140521
UniProtKB	Q86WA8	LONP2	involved_in	GO:0016485	protein processing	biological_process	ECO:0000315	IMP	PMID:18281296		9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20140521
UniProtKB	Q86WA8	LONP2	enables	GO:0002020	protease binding	molecular_function	ECO:0000353	IPI	PMID:22002062	UniProtKB:Q2T9J0	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20111121
UniProtKB	Q86WA8	LONP2	involved_in	GO:0031998	regulation of fatty acid beta-oxidation	biological_process	ECO:0000315	IMP	PMID:22002062		9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20111121
UniProtKB	Q86WA8	LONP2	located_in	GO:0005777	peroxisome	cellular_component	ECO:0000314	IDA	PMID:22002062		9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20111115
UniProtKB	Q86WA8	LONP2	enables	GO:0019899	enzyme binding	molecular_function	ECO:0000353	IPI	PMID:18281296	UniProtKB:P09110	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20090216
UniProtKB	Q86WA8	LONP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:18281296	UniProtKB:Q15067	9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20090212
UniProtKB	Q86WA8	LONP2	located_in	GO:0005777	peroxisome	cellular_component	ECO:0000314	IDA	PMID:18281296		9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20090212
UniProtKB	Q86WA8	LONP2	involved_in	GO:0007031	peroxisome organization	biological_process	ECO:0000303	NAS	PMID:14561759		9606	Homo sapiens	UniProt	Lon protease homolog 2, peroxisomal	20090212
UniProtKB	Q86WA8	LONP2	located_in	GO:0005777	peroxisome	cellular_component	ECO:0000314	IDA	PMID:14561759		9606	Homo sapiens	HGNC-UCL	Lon protease homolog 2, peroxisomal	20061204
