level	code	branch	class	group	type	subtype	status	mapping_scopes	curation_files	curation_subjects	curation_statuses
branch	Autophagy-Lysosome Pathway	Autophagy-Lysosome Pathway	Pre-initiation autophagy signaling	mTORC1 pathway, upstream	Insulin signaling pathway	Upstream activator of IRS1/2/4	no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway	no_mapping
branch	Cytonuclear proteostasis	Cytonuclear proteostasis	Chaperone	HSP70 system	HSP70		no_mapping		chaperone_systems.yaml	Cytonuclear proteostasis	no_mapping
branch	ER proteostasis	ER proteostasis	Chaperone	HSP70 system	HSP70		no_mapping		er_proteostasis.yaml	ER proteostasis	no_mapping
branch	Extracellular proteostasis	Extracellular proteostasis	Chaperone	Primarily extracellular			no_mapping		extracellular_proteostasis.yaml	Extracellular proteostasis	no_mapping
branch	Mitochondrial proteostasis	Mitochondrial proteostasis	Chaperone	HSP70 system	HSP70		no_mapping		mitochondrial_proteostasis.yaml	Mitochondrial proteostasis	no_mapping
branch	Nuclear proteostasis	Nuclear proteostasis	Chaperone	Histone chaperone			no_mapping		nuclear_proteostasis.yaml	Nuclear proteostasis	no_mapping
branch	PN regulation	PN regulation	Transcription factor	Hypoxic stress response	Transcription of hypoxic stress response genes		no_mapping		pn_regulation.yaml	PN regulation	no_mapping
branch	Translation	Translation	Cytosolic translation	Ribosome	Cytoribosome	40S subunit	context_only	too_broad_to_propagate	translation.yaml	Translation	context_only
branch	Ubiquitin Proteasome System	Ubiquitin Proteasome System	Ubiquitin and UBL proteins	ubiquitin	polyubiquitin		no_mapping		ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System	no_mapping
class	Autophagy-Lysosome Pathway|Autophagic lysosome reformation	Autophagy-Lysosome Pathway	Autophagic lysosome reformation	Regulation of autolysosome membrane composition			context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagic lysosome reformation	context_only
class	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	ULK1 pathway, upstream	Nutrient sensing		context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation	context_only
class	Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion	Autophagy-Lysosome Pathway	Autophagosome closure maturation and lysosome fusion	Sealing of autophagophore membrane	ESCRT-I complex component		context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion	context_only
class	Autophagy-Lysosome Pathway|Autophagy gene expression	Autophagy-Lysosome Pathway	Autophagy gene expression	TFEB transcriptional program	Transcription factor		context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagy gene expression	context_only
class	Autophagy-Lysosome Pathway|Autophagy substrate selection	Autophagy-Lysosome Pathway	Autophagy substrate selection	Marking substrates for selective autophagy	Mitophagy	PINK/PRKN pathway	no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagy substrate selection	no_mapping
class	Autophagy-Lysosome Pathway|Chaperone-mediated autophagy	Autophagy-Lysosome Pathway	Chaperone-mediated autophagy	Effectors of chaperone-mediated autophagy	Substrate delivery		context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Chaperone-mediated autophagy	context_only
class	Autophagy-Lysosome Pathway|Lysosomal catabolism	Autophagy-Lysosome Pathway	Lysosomal catabolism	Lysosomal protein catabolism	Lysosomal protease		no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism	no_mapping
class	Autophagy-Lysosome Pathway|Microautophagy	Autophagy-Lysosome Pathway	Microautophagy	Micromitophagy	TOMM20-positive MDV-mediated micromitophagy	MDV budding	context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Microautophagy	context_only
class	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling	Autophagy-Lysosome Pathway	Pre-initiation autophagy signaling	mTORC1 pathway, upstream	Insulin signaling pathway	Upstream activator of IRS1/2/4	context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling	context_only
class	Autophagy-Lysosome Pathway|Specific function in autophagy unknown	Autophagy-Lysosome Pathway	Specific function in autophagy unknown				no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Specific function in autophagy unknown	no_mapping
class	Cytonuclear proteostasis|Chaperone	Cytonuclear proteostasis	Chaperone	HSP70 system	HSP70		no_mapping		chaperone_systems.yaml	Cytonuclear proteostasis|Chaperone	no_mapping
class	Cytonuclear proteostasis|Folding enzyme	Cytonuclear proteostasis	Folding enzyme	Peptidyl-prolyl isomerases	FKBP type		no_mapping		chaperone_systems.yaml	Cytonuclear proteostasis|Folding enzyme	no_mapping
class	ER proteostasis|Chaperone	ER proteostasis	Chaperone	HSP70 system	HSP70		no_mapping		er_proteostasis.yaml	ER proteostasis|Chaperone	no_mapping
class	ER proteostasis|Folding enzyme	ER proteostasis	Folding enzyme	Protein disulfide isomerases			no_mapping		er_proteostasis.yaml	ER proteostasis|Folding enzyme	no_mapping
class	ER proteostasis|Glycoproteostasis	ER proteostasis	Glycoproteostasis	N-glycosylation system	Oligosaccharyl transferase complex component		no_mapping		er_proteostasis.yaml	ER proteostasis|Glycoproteostasis	no_mapping
class	ER proteostasis|Maturation and folding of specific substrates	ER proteostasis	Maturation and folding of specific substrates	ER collagen processing and folding			no_mapping		er_proteostasis.yaml	ER proteostasis|Maturation and folding of specific substrates	no_mapping
class	ER proteostasis|Organelle-specific protein degradation	ER proteostasis	Organelle-specific protein degradation	ER associated degradation	Retrotranslocation channel complex		no_mapping		er_proteostasis.yaml	ER proteostasis|Organelle-specific protein degradation	no_mapping
class	ER proteostasis|Protein transport	ER proteostasis	Protein transport	SEC61 channel complex component			mapped	ok_for_propagation_to_go	er_proteostasis.yaml	ER proteostasis|Protein transport	mapped
class	Extracellular proteostasis|Chaperone	Extracellular proteostasis	Chaperone	Primarily extracellular			no_mapping		extracellular_proteostasis.yaml	Extracellular proteostasis|Chaperone	no_mapping
class	Extracellular proteostasis|Protease	Extracellular proteostasis	Protease	Extracellular and intracellular			mapped	ok_for_propagation_to_go	extracellular_proteostasis.yaml	Extracellular proteostasis|Protease	mapped
class	Mitochondrial proteostasis|Chaperone	Mitochondrial proteostasis	Chaperone	HSP70 system	HSP70		no_mapping		mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Chaperone	no_mapping
class	Mitochondrial proteostasis|Folding enzyme	Mitochondrial proteostasis	Folding enzyme	Protein disulfide isomerases			no_mapping		mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Folding enzyme	no_mapping
class	Mitochondrial proteostasis|Membrane protein folding	Mitochondrial proteostasis	Membrane protein folding	Sorting and assembly machinery outer membrane			no_mapping		mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Membrane protein folding	no_mapping
class	Mitochondrial proteostasis|Mitochondrial protein maturation	Mitochondrial proteostasis	Mitochondrial protein maturation	Processing peptidase			mapped	ok_for_propagation_to_go	mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Mitochondrial protein maturation	mapped
class	Mitochondrial proteostasis|Organelle-specific protein degradation	Mitochondrial proteostasis	Organelle-specific protein degradation	mitoTAD pathway			mapped	ok_for_propagation_to_go	mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Organelle-specific protein degradation	mapped
class	Mitochondrial proteostasis|Protein transport	Mitochondrial proteostasis	Protein transport	Outer membrane import	TOMM complex		mapped	ok_for_propagation_to_go	mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Protein transport	mapped
class	Nuclear proteostasis|Chaperone	Nuclear proteostasis	Chaperone	Histone chaperone			no_mapping		nuclear_proteostasis.yaml	Nuclear proteostasis|Chaperone	no_mapping
class	Nuclear proteostasis|Protein transport	Nuclear proteostasis	Protein transport	Nuclear pore complex			mapped	ok_for_propagation_to_go	nuclear_proteostasis.yaml	Nuclear proteostasis|Protein transport	mapped
class	PN regulation|Stress response integration	PN regulation	Stress response integration	Multi-stress response	Modulation of stress responses		mapped	ok_for_propagation_to_go	pn_regulation.yaml	PN regulation|Stress response integration	mapped
class	PN regulation|Transcription factor	PN regulation	Transcription factor	Hypoxic stress response	Transcription of hypoxic stress response genes		mapped	ok_for_propagation_to_go	pn_regulation.yaml	PN regulation|Transcription factor	mapped
class	PN regulation|Transcription factor regulator	PN regulation	Transcription factor regulator	Inflammatory response	NFkB modulator		no_mapping		pn_regulation.yaml	PN regulation|Transcription factor regulator	no_mapping
class	PN regulation|Translation regulator	PN regulation	Translation regulator	Integrated stress response	Phosphorylation of EIF2alpha/EIF2S1		mapped	ok_for_propagation_to_go	pn_regulation.yaml	PN regulation|Translation regulator	mapped
class	Translation|Cytosolic translation	Translation	Cytosolic translation	Ribosome	Cytoribosome	40S subunit	context_only	too_broad_to_propagate	translation.yaml	Translation|Cytosolic translation	context_only
class	Translation|Mitochondrial translation	Translation	Mitochondrial translation	Ribosome	Mitoribosome	28S subunit	context_only	too_broad_to_propagate	translation.yaml	Translation|Mitochondrial translation	context_only
class	Ubiquitin Proteasome System|DUBs and UBL demodifiers	Ubiquitin Proteasome System	DUBs and UBL demodifiers	USP	DUSP	internal and external UBLs	no_mapping		ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System|DUBs and UBL demodifiers	no_mapping
class	Ubiquitin Proteasome System|E1 activating enzymes	Ubiquitin Proteasome System	E1 activating enzymes	activation of ubiquitin			context_only	too_broad_to_propagate	ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System|E1 activating enzymes	context_only
class	Ubiquitin Proteasome System|E2 conjugating enzymes	Ubiquitin Proteasome System	E2 conjugating enzymes	ubiquitination	Family 1	UBC domain & UBA domain	context_only	too_broad_to_propagate	ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System|E2 conjugating enzymes	context_only
class	Ubiquitin Proteasome System|E3 ubiquitin and UBL ligases	Ubiquitin Proteasome System	E3 ubiquitin and UBL ligases	Cullin	canonical		context_only	too_broad_to_propagate	ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System|E3 ubiquitin and UBL ligases	context_only
class	Ubiquitin Proteasome System|Proteasome and associated proteins	Ubiquitin Proteasome System	Proteasome and associated proteins	proteasome core particle subunit	alpha subunit	constitutive	context_only	too_broad_to_propagate	ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System|Proteasome and associated proteins	context_only
class	Ubiquitin Proteasome System|Ubiquitin and UBL binding	Ubiquitin Proteasome System	Ubiquitin and UBL binding	proteasomal subunits	regulatory particle	idiosyncratic Ub binding / alpha solenoid	context_only	too_broad_to_propagate	ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System|Ubiquitin and UBL binding	context_only
class	Ubiquitin Proteasome System|Ubiquitin and UBL proteins	Ubiquitin Proteasome System	Ubiquitin and UBL proteins	ubiquitin	polyubiquitin		context_only	too_broad_to_propagate	ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System|Ubiquitin and UBL proteins	context_only
class	Ubiquitin Proteasome System|VCP and associated proteins	Ubiquitin Proteasome System	VCP and associated proteins	VCP			context_only	too_broad_to_propagate	ubiquitin_proteasome_system.yaml	Ubiquitin Proteasome System|VCP and associated proteins	context_only
group	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Efflux of autophagy products	Autophagy-Lysosome Pathway	Autophagic lysosome reformation	Efflux of autophagy products			mapped	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Efflux of autophagy products	mapped
group	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Lysosomal tubulation	Autophagy-Lysosome Pathway	Autophagic lysosome reformation	Lysosomal tubulation			context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Lysosomal tubulation	context_only
group	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Regulation of autolysosome membrane composition	Autophagy-Lysosome Pathway	Autophagic lysosome reformation	Regulation of autolysosome membrane composition			no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Regulation of autolysosome membrane composition	no_mapping
group	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Regulation of autolysosome morphology	Autophagy-Lysosome Pathway	Autophagic lysosome reformation	Regulation of autolysosome morphology			no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Regulation of autolysosome morphology	no_mapping
group	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Specific function in autophagic lysosome reformation unknown	Autophagy-Lysosome Pathway	Autophagic lysosome reformation	Specific function in autophagic lysosome reformation unknown			no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagic lysosome reformation|Specific function in autophagic lysosome reformation unknown	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|ATG8 homolog processing, direct	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	ATG8 homolog processing, direct	Preparation of ATG8 homologs for lipidation	ATG8 homolog	no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|ATG8 homolog processing, direct	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|ATG8 homolog processing, upstream	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	ATG8 homolog processing, upstream	Preparation of ATG8 homologs for lipidation	Localization of ATG3	no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|ATG8 homolog processing, upstream	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Autophagy component recruitment to autophagophore	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	Autophagy component recruitment to autophagophore	TRAPP complex component		no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Autophagy component recruitment to autophagophore	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Class 3 PI3K complex 1, direct	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	Class 3 PI3K complex 1, direct	Class 3 PI3K complex 1 component		context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Class 3 PI3K complex 1, direct	context_only
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Class 3 PI3K complex 1, upstream	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	Class 3 PI3K complex 1, upstream	ER stress signaling pathway	Modulator of BECN1 availability	context_only	too_broad_to_propagate	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Class 3 PI3K complex 1, upstream	context_only
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|LRRK2 pathway, direct	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	LRRK2 pathway, direct	LRRK2 itself		no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|LRRK2 pathway, direct	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Regulation of autophagophore membrane composition	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	Regulation of autophagophore membrane composition	ATG2-WIPI complex component		no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Regulation of autophagophore membrane composition	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Regulation of autophagophore morphology	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	Regulation of autophagophore morphology			no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Regulation of autophagophore morphology	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Specific function in autophagophore initiation and elongation unknown	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	Specific function in autophagophore initiation and elongation unknown			no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Specific function in autophagophore initiation and elongation unknown	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|ULK1 pathway, direct	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	ULK1 pathway, direct	ULK1 complex component		no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|ULK1 pathway, direct	no_mapping
group	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|ULK1 pathway, upstream	Autophagy-Lysosome Pathway	Autophagophore initiation and elongation	ULK1 pathway, upstream	Nutrient sensing		no_mapping		autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|ULK1 pathway, upstream	no_mapping
