GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8T9L5	Lkb1	enables	GO:0004674	protein serine/threonine kinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000201729|FB:FBgn0038167|FB:FBgn0260934|PANTHER:PTN002519176|RGD:619882|RGD:62023|RGD:708483|SGD:S000000015|SGD:S000005405|TAIR:locus:2096930|UniProtKB:P27448|UniProtKB:Q7KZI7|UniProtKB:Q96L34|UniProtKB:Q96RG2|UniProtKB:Q9IA88|UniProtKB:Q9P0L2|UniProtKB:Q9Y2K2|WB:WBGene00003916	7227	Drosophila melanogaster	GO_Central	Serine/threonine-protein kinase STK11	20250903
UniProtKB	Q8T9L5	Lkb1	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0038167|FB:FBgn0260934|MGI:MGI:2446296|MGI:MGI:99638|PANTHER:PTN002519176|RGD:619882|SGD:S000000015|UniProtKB:P27448|UniProtKB:Q7KZI7|UniProtKB:Q91821|UniProtKB:Q96L34|UniProtKB:Q96RG2|UniProtKB:Q9IA88|UniProtKB:Q9P0L2|WB:WBGene00003916	7227	Drosophila melanogaster	GO_Central	Serine/threonine-protein kinase STK11	20250903
UniProtKB	Q8T9L5	Lkb1	involved_in	GO:0035556	intracellular signal transduction	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002519176|RGD:619882|UniProtKB:Q7KZI7|UniProtKB:Q9IA88|UniProtKB:Q9P0L2|ZFIN:ZDB-GENE-040426-896	7227	Drosophila melanogaster	GO_Central	Serine/threonine-protein kinase STK11	20240919
UniProtKB	Q8T9L5	Lkb1	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0547|UniRule:UR001503341	7227	Drosophila melanogaster	UniProt	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	involved_in	GO:0001558	regulation of cell growth	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039154	7227	Drosophila melanogaster	InterPro	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000719|InterPro:IPR008271	7227	Drosophila melanogaster	InterPro	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	enables	GO:0004674	protein serine/threonine kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR039154|EC:2.7.11.1|UniProtKB-KW:KW-0723	7227	Drosophila melanogaster	UniProt	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR000719|InterPro:IPR017441|UniProtKB-KW:KW-0067|UniRule:UR001503341	7227	Drosophila melanogaster	UniProt	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	7227	Drosophila melanogaster	UniProt	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	7227	Drosophila melanogaster	UniProt	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	involved_in	GO:0006915	apoptotic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0053	7227	Drosophila melanogaster	UniProt	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	involved_in	GO:0006974	DNA damage response	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	7227	Drosophila melanogaster	UniProt	Serine/threonine-protein kinase STK11	20260105
UniProtKB	Q8T9L5	Lkb1	enables	GO:0016301	kinase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0418	7227	Drosophila melanogaster	UniProt	Serine/threonine-protein kinase STK11	20260105
