Citation,Evidence type,Stance,Claim tested,Key finding,Context,Confidence/limitations
PMID:10970875,mutant phenotype,qualifies,iplA required for agonist-evoked Ca2+,iplA-null abolishes chemoattractant Ca2+ entry & cytosolic rise; resting Ca2+ normal; chemotaxis intact,D. discoideum amoebae,Strong genetic link but measures influx/cytosolic rise not direct IP3 gating
PMID:15760480,mutant phenotype/assay,qualifies-competing,Is iplA the obligatory store-release channel?,Capacitative entry fully operative in iplA-; store liberation & influx only reduced (~100x sensitivity shift); vesicle Ca2+ uptake/release normal,D. discoideum intact & permeabilized cells + storage vesicles,Shows iplA modulates/sensitizes an agonist pathway not the sole release channel
PMID:17854889,assay/mutant,refutes-broad,Does iplA mediate intracellular Ca2+ release generally?,CICR virtually unchanged in iplA-; acidic stores/contractile vacuole drive CICR; calls iplA 'putative' IP3/ryanodine receptor,D. discoideum vesicular fraction (CV+ER),Dissociates a major Ca2+-release mechanism from iplA
PMID:18077554,mutant phenotype,supports-role,iplA=only IP3R gene; needed for autophagic cell death Ca2+ signaling,iplA inactivation prevents DIF-induced ACD; asserts IP3R gates ER Ca2+ efflux,D. discoideum starvation/DIF model,IP3-gating statement is inference from mammalian IP3R not direct assay in IplA
PMID:18196962,review/commentary,supports-orientation,iplA encodes the IP3 receptor,Restates iplA=IP3R single copy ACD marker,Commentary,Review-level; no new direct binding data
PMID:18359017,mutant/pharmacology,qualifies,Ca2+ transients via stretch-activated channels,SAC/Gd3+-sensitive transients from intra- & extracellular Ca2+ regulate motility,D. discoideum moving cells,Implicates plasma-membrane SACs not clearly IplA/IP3
PMID:22375061,mutant phenotype,qualifies-competing,Is IplA the IP3-gated channel or a Ca2+ sensor?,iplA- retains cAMP chemotaxis but loses Ca2+-gradient chemotaxis; 'putative IplA Ca2+ channel'; IplA is either the Ca2+ chemotaxis receptor or an essential component,D. discoideum aggregation,Alternative Ca2+-sensing interpretation; still 'putative'; no IP3 assay
PMID:18486207,mutant phenotype,refutes-broad,Does IplA mediate purinergic Ca2+ influx?,ATP/ADP P2X-evoked Ca2+ influx unaffected by iplA (or Gbeta) deletion,D. discoideum apoaequorin strain,Another Ca2+ pathway independent of IplA
PMID:40295210,mutant/imaging,qualifies,Role of IplA in external-Ca2+ responses,Fewer iplA- cells respond to external Ca2+; IplA modulates timing/amplitude; acidic stores partially contribute,D. discoideum GCaMP3 live imaging,Modulatory/amplifying role not obligatory channel; not IP3-specific
PMID:35859163,imaging/mutant,qualifies,iplA contributes to mechanically-evoked Ca2+ bursts in slugs,IplA partially responsible for intracellular Ca2+ bursts to mechanical stimuli in multicellular stage,D. discoideum slugs,Partial contribution; mechanically- not IP3-triggered
UniProt:Q9NA13,structural/evolutionary+database,supports-family/qualifies-MF,Is IplA an IP3R-family channel?,InsP3_rcpt+RIH+RIH_assoc Pfam + 'IP3R type1 binding core dom2' SUPFAM + 6-TM pore; GO:0005220 & GO:0070679 are IEA:InterPro only; FUNCTION hedged 'May be',Sequence/domain databases,Family membership strong; direct IP3-gating MF is electronic inference only
This-work(computational),structural/evolutionary computed,qualifies,Are IP3-binding determinants conserved in IplA?,RIH domain + armadillo binding-core domain2 present but MIR domain absent; naive Smith-Waterman vs human ITPR1 maps only suppressor region (28.7% id) and 0/9 canonical IP3-contact residues,Q9NA13 vs P29994 sequence analysis,Naive pairwise SW weak for remote homology; not-mapped is not absent; needs profile-HMM/structure/binding assay
