GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P0A120	dnaN	enables	GO:0003677	DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001001|InterPro:IPR022634|InterPro:IPR022635	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	enables	GO:0003887	DNA-directed DNA polymerase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR022634|InterPro:IPR022635|InterPro:IPR022637	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	involved_in	GO:0006260	DNA replication	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001001|InterPro:IPR022634|InterPro:IPR022635|InterPro:IPR022637	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	involved_in	GO:0006271	DNA strand elongation involved in DNA replication	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002412008	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	enables	GO:0008408	3'-5' exonuclease activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR022634|InterPro:IPR022635|InterPro:IPR022637	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	part_of	GO:0009360	DNA polymerase III complex	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001001|InterPro:IPR022634|InterPro:IPR022635|InterPro:IPR022637	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027930	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	involved_in	GO:0071897	DNA biosynthetic process	biological_process	ECO:0000366	IEA	GO_REF:0000108	GO:0003887	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	GOC	Beta sliding clamp	20260706
UniProtKB	P0A120	dnaN	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P0A988	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Beta sliding clamp	20170628
