GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q6PBW5	rpe65a	involved_in	GO:0042574	retinal metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0002937|MGI:MGI:1926923|MGI:MGI:2177469|MGI:MGI:98001|PANTHER:PTN000057192|RGD:621396|UniProtKB:Q9HAY6|UniProtKB:Q9I993	7955	Danio rerio	GO_Central	Retinoid isomerohydrolase	20250902
UniProtKB	Q6PBW5	rpe65a	enables	GO:0003834	beta-carotene 15,15'-dioxygenase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1926923|PANTHER:PTN000830314|RGD:70981|UniProtKB:Q9HAY6|UniProtKB:Q9I993|ZFIN:ZDB-GENE-010508-1	7955	Danio rerio	GO_Central	Retinoid isomerohydrolase	20230109
UniProtKB	Q6PBW5	rpe65a	enables	GO:0052885	all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002576077|RGD:621396|UniProtKB:Q28175|UniProtKB:Q9TVB8	7955	Danio rerio	GO_Central	Retinoid isomerohydrolase	20221006
UniProtKB	Q6PBW5	rpe65a	involved_in	GO:1901827	zeaxanthin biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002576077|UniProtKB:Q16518	7955	Danio rerio	GO_Central	Retinoid isomerohydrolase	20200807
UniProtKB	Q6PBW5	rpe65a	enables	GO:0050251	retinol isomerase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002576077|ZFIN:ZDB-GENE-081104-505	7955	Danio rerio	GO_Central	Retinoid isomerohydrolase	20180322
UniProtKB	Q6PBW5	rpe65a	involved_in	GO:0001523	retinoid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028293	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20260428
UniProtKB	Q6PBW5	rpe65a	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20260428
UniProtKB	Q6PBW5	rpe65a	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20260428
UniProtKB	Q6PBW5	rpe65a	enables	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004294	7955	Danio rerio	InterPro	Retinoid isomerohydrolase	20260428
UniProtKB	Q6PBW5	rpe65a	involved_in	GO:0042572	retinol metabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	GO:0052884|GO:0052885	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20260428
UniProtKB	Q6PBW5	rpe65a	enables	GO:0052884	all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:31775	7955	Danio rerio	RHEA	Retinoid isomerohydrolase	20260428
UniProtKB	Q6PBW5	rpe65a	enables	GO:0052885	all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:31771	7955	Danio rerio	RHEA	Retinoid isomerohydrolase	20260428
UniProtKB	Q6PBW5	rpe65a	involved_in	GO:0120254	olefinic compound metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00033535	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20260428
UniProtKB	Q6PBW5	rpe65a	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A9C3R9	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20240916
UniProtKB	Q6PBW5	rpe65a	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A9C3R9	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20240916
UniProtKB	Q6PBW5	rpe65a	enables	GO:0052884	all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q16518	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20240916
UniProtKB	Q6PBW5	rpe65a	enables	GO:0052885	all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q28175	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20240916
UniProtKB	Q6PBW5	rpe65a	involved_in	GO:0001523	retinoid metabolic process	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q16518	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20190325
UniProtKB	Q6PBW5	rpe65a	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q16518	7955	Danio rerio	UniProt	Retinoid isomerohydrolase	20181015
