GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q88F79	pvdD	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001242	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN005148629	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	located_in	GO:0005829	cytosol	cellular_component	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN005148629	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	involved_in	GO:0009239	enterobactin biosynthetic process	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN005148629	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	part_of	GO:0009366	enterobactin synthetase complex	cellular_component	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN005148629	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	enables	GO:0031177	phosphopantetheine binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR020806|PANTHER:PTN005148629	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	involved_in	GO:0043041	amino acid activation for nonribosomal peptide biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00084820|PANTHER:PTN005148629	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	involved_in	GO:0044550	secondary metabolite biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00029064|PANTHER:PTN005148629	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	enables	GO:0047527	2,3-dihydroxybenzoate-serine ligase activity	molecular_function	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN005148629	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Carrier domain-containing protein	20260302
UniProtKB	Q88F79	pvdD	involved_in	GO:0072330	monocarboxylic acid biosynthetic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027175	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Carrier domain-containing protein	20260302
