gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_1538	PP_1538	Q88MN3	Phage-related protein						Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_1546	PP_1546	Q88MM5	Phage protein						Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_1557	PP_1557	Q88ML4	Prophage PssSM-03						Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_1571	PP_1571	Q88MK0	HK97 gp10 family phage protein			IPR010064;	PF04883;		Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_2285	PP_2285	Q88KK5	Phage protein		GO:0039678	IPR038996;	PF24072;		Reference proteome;Signal	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_3049	PP_3049	Q88IF0	Phage-like protein						Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_3860	PP_3860	Q88G65	Phage FluMu protein gp47			IPR006949;IPR058530;IPR058531;IPR052399;	PF04865;PF26079;PF26078;	PTHR37829;PTHR37829:SF3;	Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_3861	PP_3861	Q88G64	Phage FluMu protein gp46			IPR010877;	PF07409;		Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_3870	PP_3870	Q88G56	Phage FluMu protein gp38			IPR024400;	PF10948;		Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_3871	PP_3871	Q88G55	Phage protein			IPR056912;	PF23840;		Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_3873	PP_3873	Q88G53	HK97 gp10 family phage protein						Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_3888	PP_3888	Q88G38	Prophage PssSM-03			IPR036410;			Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_3906	PP_3906	Q88G20	Phage protein						Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
PP_5637	PP_5637	A0A140FWJ0	Prophage PSSB64-02						Reference proteome	low_information_prophage_proteins	Low-information prophage and phage proteins	mobile_genetic_elements_low_information_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Generic prophage/phage proteins with limited or absent GO/domain signal. Do not promote core functions from names alone.	PRESENT	CURATED	PRESENT
