GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q93XQ5	PMT1	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001045	49451	Nicotiana attenuata	InterPro	Putrescine N-methyltransferase 1	20260302
UniProtKB	Q93XQ5	PMT1	enables	GO:0004766	spermidine synthase activity	molecular_function	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN004269893	49451	Nicotiana attenuata	TreeGrafter	Putrescine N-methyltransferase 1	20260302
UniProtKB	Q93XQ5	PMT1	located_in	GO:0005829	cytosol	cellular_component	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN004269893	49451	Nicotiana attenuata	TreeGrafter	Putrescine N-methyltransferase 1	20260302
UniProtKB	Q93XQ5	PMT1	involved_in	GO:0008295	spermidine biosynthetic process	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN004269893	49451	Nicotiana attenuata	TreeGrafter	Putrescine N-methyltransferase 1	20260302
UniProtKB	Q93XQ5	PMT1	involved_in	GO:0009753	response to jasmonic acid	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028898	49451	Nicotiana attenuata	UniProt	Putrescine N-methyltransferase 1	20260302
UniProtKB	Q93XQ5	PMT1	enables	GO:0030750	putrescine N-methyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR025803|RHEA:15037|EC:2.1.1.53	49451	Nicotiana attenuata	UniProt	Putrescine N-methyltransferase 1	20260302
UniProtKB	Q93XQ5	PMT1	involved_in	GO:0042179	nicotine biosynthetic process	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00107	49451	Nicotiana attenuata	UniProt	Putrescine N-methyltransferase 1	20260227
UniProtKB	Q93XQ5	PMT1	involved_in	GO:0009611	response to wounding	biological_process	ECO:0000270	IEP	PMID:11299398		49451	Nicotiana attenuata	UniProt	Putrescine N-methyltransferase 1	20220119
UniProtKB	Q93XQ5	PMT1	involved_in	GO:0009625	response to insect	biological_process	ECO:0000270	IEP	PMID:11299398		49451	Nicotiana attenuata	UniProt	Putrescine N-methyltransferase 1	20220119
UniProtKB	Q93XQ5	PMT1	involved_in	GO:0009753	response to jasmonic acid	biological_process	ECO:0000270	IEP	PMID:11299398		49451	Nicotiana attenuata	UniProt	Putrescine N-methyltransferase 1	20220119
