GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P53609	PGGT1B	contributes_to	GO:0004662	CAAX-protein geranylgeranyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1917514|PANTHER:PTN000206684|PomBase:SPAC2E1P5.04c|RGD:621754	9606	Homo sapiens	GO_Central	Geranylgeranyl transferase type-1 subunit beta	20251218
UniProtKB	P53609	PGGT1B	part_of	GO:0005953	CAAX-protein geranylgeranyltransferase complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000180354|MGI:MGI:1917514|PANTHER:PTN000206684|PomBase:SPAC2E1P5.04c|RGD:621754|SGD:S000003123|UniProtKB:P53609|UniProtKB:Q5EAD5	9606	Homo sapiens	GO_Central	Geranylgeranyl transferase type-1 subunit beta	20241120
UniProtKB	P53609	PGGT1B	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001330	9606	Homo sapiens	InterPro	Geranylgeranyl transferase type-1 subunit beta	20260706
UniProtKB	P53609	PGGT1B	enables	GO:0004661	protein geranylgeranyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR041960|RHEA:21240	9606	Homo sapiens	UniProt	Geranylgeranyl transferase type-1 subunit beta	20260706
UniProtKB	P53609	PGGT1B	enables	GO:0004662	CAAX-protein geranylgeranyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:2.5.1.59	9606	Homo sapiens	UniProt	Geranylgeranyl transferase type-1 subunit beta	20260706
UniProtKB	P53609	PGGT1B	part_of	GO:0005953	CAAX-protein geranylgeranyltransferase complex	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00088357|InterPro:IPR041960	9606	Homo sapiens	UniProt	Geranylgeranyl transferase type-1 subunit beta	20260706
UniProtKB	P53609	PGGT1B	enables	GO:0008318	protein prenyltransferase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045089	9606	Homo sapiens	InterPro	Geranylgeranyl transferase type-1 subunit beta	20260706
UniProtKB	P53609	PGGT1B	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:24981860	UniProtKB:P49354	9606	Homo sapiens	IntAct	Geranylgeranyl transferase type-1 subunit beta	20260704
UniProtKB	P53609	PGGT1B	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:31209342	UniProtKB:P49354	9606	Homo sapiens	IntAct	Geranylgeranyl transferase type-1 subunit beta	20260704
UniProtKB	P53609	PGGT1B	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P49354	9606	Homo sapiens	IntAct	Geranylgeranyl transferase type-1 subunit beta	20260704
