GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q06490	THI22	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000466159|SGD:S000005416|UniProtKB:P76422	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Thiamine biosynthesis protein THI22	20250903
UniProtKB	Q06490	THI22	enables	GO:0008902	hydroxymethylpyrimidine kinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000466159|SGD:S000005416|SGD:S000006179|UniProtKB:P76422	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Thiamine biosynthesis protein THI22	20250903
UniProtKB	Q06490	THI22	enables	GO:0008972	phosphomethylpyrimidine kinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000466159|SGD:S000005416|SGD:S000006179|UniProtKB:P76422	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Thiamine biosynthesis protein THI22	20250903
UniProtKB	Q06490	THI22	involved_in	GO:0009228	thiamine biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G22940|PANTHER:PTN000466159|SGD:S000005416|SGD:S000006179|SGD:S000006325|UniProtKB:C8V3I9|UniProtKB:P76422	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Thiamine biosynthesis protein THI22	20250903
UniProtKB	Q06490	THI22	located_in	GO:0005576	extracellular region	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0243	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Thiamine biosynthesis protein THI22	20260616
UniProtKB	Q06490	THI22	involved_in	GO:0006772	thiamine metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027574	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	InterPro	Thiamine biosynthesis protein THI22	20260616
UniProtKB	Q06490	THI22	enables	GO:0008972	phosphomethylpyrimidine kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004399	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	InterPro	Thiamine biosynthesis protein THI22	20260616
UniProtKB	Q06490	THI22	involved_in	GO:0009228	thiamine biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026808|InterPro:IPR004399	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Thiamine biosynthesis protein THI22	20260616
UniProtKB	Q06490	THI22	enables	GO:0050334	thiaminase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027574	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	InterPro	Thiamine biosynthesis protein THI22	20260616
UniProtKB	Q06490	THI22	enables	GO:0003674	molecular_function	molecular_function	ECO:0000307	ND	GO_REF:0000015		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Thiamine biosynthesis protein THI22	20141202
UniProtKB	Q06490	THI22	is_active_in	GO:0005575	cellular_component	cellular_component	ECO:0000307	ND	GO_REF:0000015		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Thiamine biosynthesis protein THI22	20130807
UniProtKB	Q06490	THI22	involved_in	GO:0009228	thiamine biosynthetic process	biological_process	ECO:0000270	IEP	PMID:10383756		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Thiamine biosynthesis protein THI22	20130807
