domain	accession_1	coordinates_1	accession_2	coordinates_2	identical_residues	aligned_residue_pairs	percent_identity	alignment_score
C3HC4_RING_type	Q17RB8	123-158	Q496Y0	158-195	20	36	55.56	18.90
Lon_N_terminal	Q17RB8	558-768	D3YY23	547-757	204	211	96.68	204.00
Lon_N_terminal	Q17RB8	558-768	Q1L5Z9	528-737	126	210	60.00	125.00
Lon_N_terminal	Q17RB8	558-768	Q496Y0	546-756	129	210	61.43	127.00
Lon_N_terminal	Q17RB8	558-768	P36776	123-370	58	207	28.02	38.20
Lon_N_terminal	D3YY23	547-757	Q1L5Z9	528-737	126	210	60.00	125.00
Lon_N_terminal	D3YY23	547-757	Q496Y0	546-756	126	210	60.00	124.00
Lon_N_terminal	D3YY23	547-757	P36776	123-370	58	207	28.02	38.20
Lon_N_terminal	Q1L5Z9	528-737	Q496Y0	546-756	132	210	62.86	131.00
Lon_N_terminal	Q1L5Z9	528-737	P36776	123-370	54	203	26.60	37.10
Lon_N_terminal	Q496Y0	546-756	P36776	123-370	57	198	28.79	31.80
RING_conserved_site	Q17RB8	138-147	Q17RB8	494-503	7	10	70.00	7.00
RING_conserved_site	Q17RB8	138-147	D3YY23	133-142	10	10	100.00	10.00
RING_conserved_site	Q17RB8	138-147	D3YY23	483-492	7	10	70.00	7.00
RING_conserved_site	Q17RB8	138-147	Q1L5Z9	464-473	6	10	60.00	6.00
RING_conserved_site	Q17RB8	138-147	Q496Y0	173-182	6	10	60.00	6.00
RING_conserved_site	Q17RB8	138-147	Q496Y0	482-491	6	10	60.00	6.00
RING_conserved_site	Q17RB8	138-147	P78317	154-163	6	10	60.00	6.00
RING_conserved_site	Q17RB8	494-503	D3YY23	133-142	7	10	70.00	7.00
RING_conserved_site	Q17RB8	494-503	D3YY23	483-492	10	10	100.00	10.00
RING_conserved_site	Q17RB8	494-503	Q1L5Z9	464-473	7	10	70.00	7.00
RING_conserved_site	Q17RB8	494-503	Q496Y0	173-182	8	10	80.00	8.00
RING_conserved_site	Q17RB8	494-503	Q496Y0	482-491	7	10	70.00	7.00
RING_conserved_site	Q17RB8	494-503	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	D3YY23	133-142	D3YY23	483-492	7	10	70.00	7.00
RING_conserved_site	D3YY23	133-142	Q1L5Z9	464-473	6	10	60.00	6.00
RING_conserved_site	D3YY23	133-142	Q496Y0	173-182	6	10	60.00	6.00
RING_conserved_site	D3YY23	133-142	Q496Y0	482-491	6	10	60.00	6.00
RING_conserved_site	D3YY23	133-142	P78317	154-163	6	10	60.00	6.00
RING_conserved_site	D3YY23	483-492	Q1L5Z9	464-473	7	10	70.00	7.00
RING_conserved_site	D3YY23	483-492	Q496Y0	173-182	8	10	80.00	8.00
RING_conserved_site	D3YY23	483-492	Q496Y0	482-491	7	10	70.00	7.00
RING_conserved_site	D3YY23	483-492	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	Q1L5Z9	464-473	Q496Y0	173-182	8	10	80.00	8.00
RING_conserved_site	Q1L5Z9	464-473	Q496Y0	482-491	10	10	100.00	10.00
RING_conserved_site	Q1L5Z9	464-473	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	Q496Y0	173-182	Q496Y0	482-491	8	10	80.00	8.00
RING_conserved_site	Q496Y0	173-182	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	Q496Y0	482-491	P78317	154-163	7	10	70.00	7.00
RING_type_zinc_finger	Q17RB8	123-159	Q17RB8	478-517	20	37	54.05	17.00
RING_type_zinc_finger	Q17RB8	123-159	D3YY23	118-154	36	37	97.30	36.00
RING_type_zinc_finger	Q17RB8	123-159	D3YY23	467-506	20	37	54.05	17.00
RING_type_zinc_finger	Q17RB8	123-159	Q1L5Z9	143-193	17	37	45.95	12.90
RING_type_zinc_finger	Q17RB8	123-159	Q1L5Z9	448-487	20	37	54.05	17.00
RING_type_zinc_finger	Q17RB8	123-159	Q496Y0	158-195	20	36	55.56	17.90
RING_type_zinc_finger	Q17RB8	123-159	Q496Y0	466-505	19	37	51.35	16.90
