id,name,entry_type,source_tax_id,source_tax_name,full_tax_name,gene,length,subfamily,subfamily_name,in_alphafold
A0A0H2ZNH9,Sensor histidine protein kinase/phosphatase WalK,protein,373153,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),walK,449,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
A0QR01,Sensor-like histidine kinase SenX3,protein,246196,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),senX3,384,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
A5A2P0,Sensor protein kinase WalK,protein,1296,Mammaliicoccus sciuri,Mammaliicoccus sciuri,walK,419,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
A5IQL3,Sensor protein kinase GraS,protein,359786,Staphylococcus aureus (strain JH9),Staphylococcus aureus (strain JH9),graS,346,PTHR45453:SF2,HISTIDINE KINASE,True
A6QEW9,Sensor protein kinase GraS,protein,426430,Staphylococcus aureus (strain Newman),Staphylococcus aureus (strain Newman),graS,346,PTHR45453:SF2,HISTIDINE KINASE,True
A6TZD7,Sensor protein kinase GraS,protein,359787,Staphylococcus aureus (strain JH1),Staphylococcus aureus (strain JH1),graS,346,PTHR45453:SF2,HISTIDINE KINASE,True
A7WZC5,Sensor protein kinase GraS,protein,418127,Staphylococcus aureus (strain Mu3 / ATCC 700698),Staphylococcus aureus (strain Mu3 / ATCC 700698),graS,346,PTHR45453:SF2,HISTIDINE KINASE,True
A8Z182,Sensor protein kinase GraS,protein,451516,Staphylococcus aureus (strain USA300 / TCH1516),Staphylococcus aureus (strain USA300 / TCH1516),graS,346,PTHR45453:SF2,HISTIDINE KINASE,True
O06979,Sensor histidine kinase YvcQ,protein,224308,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),yvcQ,356,PTHR45453:SF2,HISTIDINE KINASE,True
O34989,Sensor histidine kinase YvrG,protein,224308,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),yvrG,580,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
O35044,Sensor protein BceS,protein,224308,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),bceS,334,PTHR45453:SF2,HISTIDINE KINASE,True
P08400,Phosphate regulon sensor protein PhoR,protein,83333,Escherichia coli (strain K12),Escherichia coli (strain K12),phoR,431,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P0A4I5,Sensor protein CiaH,protein,170187,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),ciaH,444,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P0A4I6,Sensor protein CiaH,protein,171101,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),Streptococcus pneumoniae (strain ATCC BAA-255 / R6),ciaH,444,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P0A601,Sensor-like histidine kinase SenX3,protein,233413,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),senX3,410,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P23545,Alkaline phosphatase synthesis sensor protein PhoR,protein,224308,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),phoR,579,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P23621,Phosphate regulon sensor protein PhoR,protein,208964,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),phoR,443,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P30847,Signal transduction histidine-protein kinase BaeS,protein,83333,Escherichia coli (strain K12),Escherichia coli (strain K12),baeS,467,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P39664,Sensor protein SphS,protein,1140,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),sphS,413,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P42245,Sensor histidine kinase YcbM,protein,224308,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),ycbM,311,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P42422,Sensor histidine kinase YxdK,protein,224308,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),yxdK,325,PTHR45453:SF2,HISTIDINE KINASE,True
P42707,Nisin biosynthesis sensor protein NisK,protein,1360,Lactococcus lactis subsp. lactis,Lactococcus lactis subsp. lactis,nisK,447,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
P45608,Phosphate regulon sensor protein PhoR,protein,573,Klebsiella pneumoniae,Klebsiella pneumoniae,phoR,431,PTHR45453:SF1,PHOSPHATE REGULON SENSOR PROTEIN PHOR,True
