organism	gene_symbol	gene_id	reference_id	title	relevance	correctness	is_invalid	review_notes	source_file
9BACI	AB1I70_28485	A0ABV4S5I6	PMID:32384698	Conserved and Diverse Traits of Adhesion Devices from Siphoviridae Recognizing Proteinaceous or Saccharidic Receptors.	HIGH	VERIFIED		PMC7291167, full text in cache. Review establishing the conserved TMP-Dit-Tal tail-tip architecture, the Tal peptidoglycan-cleaving role, and the tail-spike/baseplate host-recognition function, all used as family-level inference for this protein.	genes/9BACI/AB1I70_28485/AB1I70_28485-ai-review.yaml
9BACI	AB1I70_28485	A0ABV4S5I6	PMID:36787848	Enterococcal bacteriophage: A survey of the tail associated lysin landscape.	HIGH	VERIFIED		PMC10194240, full text in cache. Directly defines the PF06605 TAEP family that AB1I70_28485 belongs to and frames the catalytic-class uncertainty (M23B vs C104) that justifies staying at the generic peptidoglycan endopeptidase level. Enterococcus-focused, so all use here is family-level inference, not direct evidence for this Bacillus protein.	genes/9BACI/AB1I70_28485/AB1I70_28485-ai-review.yaml
9BACI	AB1I70_28485	A0ABV4S5I6	PMID:39132999	The tal gene of lactococcal bacteriophage TP901-1 is involved in DNA release following host adsorption.	HIGH	VERIFIED		PMC11409707, full text in cache. Experimental support for Tal as a distal-tail / baseplate structural component coupled to DNA release. Lactococcal phage, so used as homolog inference for localization and the entry/injection process.	genes/9BACI/AB1I70_28485/AB1I70_28485-ai-review.yaml
9BACI	AB1I70_28485	A0ABV4S5I6	PMID:39274911	Agents Targeting the Bacterial Cell Wall as Tools to Combat Gram-Positive Pathogens.	MEDIUM	VERIFIED		PMC11396672, full text in cache (full_text_available true). Background review of cell-wall-targeting antibacterials; the falcon deep research drew on it for the virion-associated-lysin / peptidoglycan-hydrolase framing. Used only for the family-level classification of peptidoglycan endopeptidases, not for any organism-specific claim about this protein.	genes/9BACI/AB1I70_28485/AB1I70_28485-ai-review.yaml
AEDAE	A0A6I8TLE4	A0A6I8TLE4	file:AEDAE/A0A6I8TLE4/A0A6I8TLE4-deep-research-falcon.md	Deep research report for A0A6I8TLE4 (falcon)	MEDIUM	VERIFIED		Correctly identifies the protein as uncharacterized with no direct experimental literature. Domain-based functional inference is appropriate and conservative. Note the report does not identify the PANTHER raskol classification or the specific SynGAP-like CDD matches.	genes/AEDAE/A0A6I8TLE4/A0A6I8TLE4-ai-review.yaml
AILME	A0A7N5KEZ3_AILME	A0A7N5KEZ3_AILME	PMID:12895003	Characterization of human keratin-associated protein 1 family members.	HIGH	VERIFIED		PubMed-verified review of the human high-sulfur KAP1 family; directly relevant because this panda protein shares the diagnostic double-cysteine pentapeptide repeat architecture.	genes/AILME/A0A7N5KEZ3_AILME/A0A7N5KEZ3_AILME-ai-review.yaml
AILME	A0A7N5KEZ3_AILME	A0A7N5KEZ3_AILME	PMID:29797269	Trichocyte Keratin-Associated Proteins (KAPs).	HIGH	VERIFIED		PubMed-verified review (Fraser & Parry 2018) establishing the filament-matrix structural role of KAPs at the family level. No panda-specific data; used for family-level functional inference.	genes/AILME/A0A7N5KEZ3_AILME/A0A7N5KEZ3_AILME-ai-review.yaml
AILME	A0A7N5KEZ3_AILME	A0A7N5KEZ3_AILME	file:AILME/A0A7N5KEZ3_AILME/A0A7N5KEZ3_AILME-uniprot.txt	UniProt record for A0A7N5KEZ3 (giant panda uncharacterized protein)	HIGH	VERIFIED		Primary identity/domain evidence for this gene; the cysteine-repeat sequence and Pfam/InterPro KAP signatures are unambiguous.	genes/AILME/A0A7N5KEZ3_AILME/A0A7N5KEZ3_AILME-ai-review.yaml
ANOGA	PGRPLC	A7UTA1	file:ANOGA/PGRPLC/PGRPLC-hypotheses/function-hypothesis-go-0008745/openscientist.md	OpenScientist hypothesis investigation - PGRPLC amidase activity	HIGH	VERIFIED		OpenScientist autonomous-compute report directly tests the contested PGRPLC amidase assignment using PGRP catalytic-residue analysis and AlphaFold structural provenance. This review uses the report's verified zinc-ligand-loss and removal-recommendation snippets and anchors propagation metadata to the local GOA source line for PANTHER:PTN002475783.	genes/ANOGA/PGRPLC/PGRPLC-ai-review.yaml
AQUCT	A0A2G9RZF1	A0A2G9RZF1	PMID:19801683	Strong cooperativity and loose geometry between CUB domains are the basis for procollagen C-proteinase enhancer activity	HIGH	VERIFIED		Key experimental paper demonstrating that individual CUB domains lose >1,000-fold binding affinity compared to the CUB1+CUB2 pair. Refutes functional transfer from PCPE-1 to single-CUB-domain proteins.	genes/AQUCT/A0A2G9RZF1/A0A2G9RZF1-ai-review.yaml
