GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q88MX5	lon-I	enables	GO:0004176	ATP-dependent peptidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004815|InterPro:IPR008268|InterPro:IPR008269|InterPro:IPR027065|InterPro:IPR027543|PANTHER:PTN002464049|UniRule:UR000161584|UniRule:UR000414636	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	enables	GO:0004252	serine-type endopeptidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR008268|InterPro:IPR008269|InterPro:IPR027065|InterPro:IPR027543|EC:3.4.21.53|UniRule:UR000161584|UniRule:UR000414636	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR003959|InterPro:IPR004815|InterPro:IPR027065|InterPro:IPR027543|UniRule:UR000161584	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-SubCell:SL-0086|UniRule:UR000161584	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	involved_in	GO:0006508	proteolysis	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004815|InterPro:IPR008268|InterPro:IPR008269|InterPro:IPR027543	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	involved_in	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	biological_process	ECO:0000501	IEA	GO_REF:0000120	PANTHER:PTN002464049|UniRule:UR000161584	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR003959|UniRule:UR000161584	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	involved_in	GO:0030163	protein catabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027065	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	involved_in	GO:0034605	cellular response to heat	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000161584	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Lon protease	20260706
UniProtKB	Q88MX5	lon-I	enables	GO:0043565	sequence-specific DNA binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR027543|UniRule:UR000161584	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Lon protease	20260706
