GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q88DT9	fur	enables	GO:0000976	transcription cis-regulatory region binding	molecular_function	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002431809	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	enables	GO:0003677	DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000481764	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR002481|PANTHER:PTN002431809|UniRule:UR000481764	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	located_in	GO:0005829	cytosol	cellular_component	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002431809	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028138|InterPro:IPR002481	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002431809	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	involved_in	GO:0045892	negative regulation of DNA-templated transcription	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002431809	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	involved_in	GO:1900376	regulation of secondary metabolite biosynthetic process	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002431809	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Ferric uptake regulation protein	20260601
UniProtKB	Q88DT9	fur	involved_in	GO:1900705	negative regulation of siderophore biosynthetic process	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002431809	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	Ferric uptake regulation protein	20260601
