GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9UKU7	ACAD8	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1914198|PANTHER:PTN000097535|UniProtKB:Q9UKU7	9606	Homo sapiens	GO_Central	Isobutyryl-CoA dehydrogenase, mitochondrial	20260530
UniProtKB	Q9UKU7	ACAD8	enables	GO:0003853	short-chain 2-methyl fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:44180|RHEA:48256|EC:1.3.8.5	9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20260706
UniProtKB	Q9UKU7	ACAD8	enables	GO:0003995	acyl-CoA dehydrogenase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026877|InterPro:IPR006089|InterPro:IPR034178	9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20260706
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026962|UniProtKB-SubCell:SL-0173	9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20260706
UniProtKB	Q9UKU7	ACAD8	involved_in	GO:0006629	lipid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR034178	9606	Homo sapiens	InterPro	Isobutyryl-CoA dehydrogenase, mitochondrial	20260706
UniProtKB	Q9UKU7	ACAD8	enables	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006091|InterPro:IPR009075|InterPro:IPR009100|InterPro:IPR013786|InterPro:IPR036250|InterPro:IPR037069|InterPro:IPR046373	9606	Homo sapiens	InterPro	Isobutyryl-CoA dehydrogenase, mitochondrial	20260706
UniProtKB	Q9UKU7	ACAD8	enables	GO:0016937	short-chain fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:31287	9606	Homo sapiens	RHEA	Isobutyryl-CoA dehydrogenase, mitochondrial	20260706
UniProtKB	Q9UKU7	ACAD8	enables	GO:0050660	flavin adenine dinucleotide binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR013786|InterPro:IPR037069	9606	Homo sapiens	InterPro	Isobutyryl-CoA dehydrogenase, mitochondrial	20260706
UniProtKB	Q9UKU7	ACAD8	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q8TAG5	9606	Homo sapiens	IntAct	Isobutyryl-CoA dehydrogenase, mitochondrial	20260704
UniProtKB	Q9UKU7	ACAD8	involved_in	GO:0006574	L-valine catabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00362	9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20260227
UniProtKB	Q9UKU7	ACAD8	enables	GO:0003853	short-chain 2-methyl fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000269	EXP	PMID:11013134		9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20250130
UniProtKB	Q9UKU7	ACAD8	enables	GO:0003853	short-chain 2-methyl fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000269	EXP	PMID:12359132		9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20250130
UniProtKB	Q9UKU7	ACAD8	enables	GO:0003853	short-chain 2-methyl fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000269	EXP	PMID:16857760		9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20250130
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000269	EXP	PMID:11013134		9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20250130
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000269	EXP	PMID:12359132		9606	Homo sapiens	UniProt	Isobutyryl-CoA dehydrogenase, mitochondrial	20250130
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0006056	HTP	PMID:34800366		9606	Homo sapiens	FlyBase	Isobutyryl-CoA dehydrogenase, mitochondrial	20240711
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005759	mitochondrial matrix	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-70859		9606	Homo sapiens	Reactome	Isobutyryl-CoA dehydrogenase, mitochondrial	20130620
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005759	mitochondrial matrix	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9838035		9606	Homo sapiens	Reactome	Isobutyryl-CoA dehydrogenase, mitochondrial	20130620
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005759	mitochondrial matrix	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9838081		9606	Homo sapiens	Reactome	Isobutyryl-CoA dehydrogenase, mitochondrial	20130620
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005759	mitochondrial matrix	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9838093		9606	Homo sapiens	Reactome	Isobutyryl-CoA dehydrogenase, mitochondrial	20130620
UniProtKB	Q9UKU7	ACAD8	located_in	GO:0005759	mitochondrial matrix	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9838289		9606	Homo sapiens	Reactome	Isobutyryl-CoA dehydrogenase, mitochondrial	20130620
UniProtKB	Q9UKU7	ACAD8	enables	GO:0003995	acyl-CoA dehydrogenase activity	molecular_function	ECO:0000304	TAS	PMID:10524212		9606	Homo sapiens	PINC	Isobutyryl-CoA dehydrogenase, mitochondrial	20030904
UniProtKB	Q9UKU7	ACAD8	involved_in	GO:0006629	lipid metabolic process	biological_process	ECO:0000304	TAS	PMID:10524212		9606	Homo sapiens	PINC	Isobutyryl-CoA dehydrogenase, mitochondrial	20030904
