GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P42225	Stat1	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103034|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103038|MGI:MGI:103039|MGI:MGI:103062|MGI:MGI:103063|PANTHER:PTN000210448|RGD:3772|UniProtKB:P40763|UniProtKB:P42224|UniProtKB:P42226|UniProtKB:P42229|UniProtKB:P51692|UniProtKB:P52630|WB:WBGene00010251|WB:WBGene00013111|dictyBase:DDB_G0281381|dictyBase:DDB_G0293532	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250902
UniProtKB	P42225	Stat1	involved_in	GO:0006952	defense response	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103038|MGI:MGI:103039|MGI:MGI:103063|PANTHER:PTN000927860|RGD:3772|RGD:3774|UniProtKB:P42224|UniProtKB:P52630|WB:WBGene00010251|ZFIN:ZDB-GENE-030131-9359	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250902
UniProtKB	P42225	Stat1	involved_in	GO:0042127	regulation of cell population proliferation	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103034|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103038|PANTHER:PTN000927860|RGD:3771|RGD:3772|RGD:3774|UniProtKB:P42224|UniProtKB:P42229|ZFIN:ZDB-GENE-980526-68|dictyBase:DDB_G0268638	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250902
UniProtKB	P42225	Stat1	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103034|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103038|MGI:MGI:103039|MGI:MGI:103062|MGI:MGI:103063|PANTHER:PTN000210448|RGD:3772|UniProtKB:P40763|UniProtKB:P42224|UniProtKB:P42226|UniProtKB:P42229|UniProtKB:P51692|UniProtKB:P52630|UniProtKB:Q14765|WB:WBGene00010251|WB:WBGene00013111|dictyBase:DDB_G0268638|dictyBase:DDB_G0281381|dictyBase:DDB_G0293532	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250411
UniProtKB	P42225	Stat1	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103034|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103062|PANTHER:PTN000210448|UniProtKB:P40763|UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20241120
UniProtKB	P42225	Stat1	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:103034|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103038|MGI:MGI:103062|PANTHER:PTN000210448|RGD:1309063|RGD:3772|UniProtKB:P40763|UniProtKB:P42224|UniProtKB:P42226|UniProtKB:P52630|WB:WBGene00013111|ZFIN:ZDB-GENE-030820-2	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20241120
UniProtKB	P42225	Stat1	involved_in	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103063|PANTHER:PTN000927860|RGD:3771|RGD:3773|RGD:3774|UniProtKB:P40763|UniProtKB:P42224|UniProtKB:P42226|UniProtKB:P52630|ZFIN:ZDB-GENE-030820-2|ZFIN:ZDB-GENE-980526-68	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20241120
UniProtKB	P42225	Stat1	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0016917|MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103038|MGI:MGI:103062|MGI:MGI:103063|PANTHER:PTN000210448|UniProtKB:P40763|UniProtKB:P42224|UniProtKB:P42226|UniProtKB:P51692|UniProtKB:P52630	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20240729
UniProtKB	P42225	Stat1	part_of	GO:0070721	ISGF3 complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002623830|UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20231129
UniProtKB	P42225	Stat1	involved_in	GO:0043434	response to peptide hormone	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:103035|MGI:MGI:103036|MGI:MGI:103038|PANTHER:PTN000210451|RGD:3771|RGD:3772|RGD:3774|UniProtKB:P40763|UniProtKB:P51692	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20190221
UniProtKB	P42225	Stat1	involved_in	GO:0060337	type I interferon-mediated signaling pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:103063|PANTHER:PTN002623830|UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20190221
UniProtKB	P42225	Stat1	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029016	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	enables	GO:0003677	DNA binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR013801|UniProtKB-KW:KW-0238	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001217|InterPro:IPR008967|InterPro:IPR022752	10090	Mus musculus	InterPro	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	located_in	GO:0005654	nucleoplasm	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026290	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	located_in	GO:0005829	cytosol	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029243	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0006351	DNA-templated transcription	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0804	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001217|InterPro:IPR008967|InterPro:IPR013799|InterPro:IPR013800|InterPro:IPR015988	10090	Mus musculus	InterPro	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0007165	signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001217|InterPro:IPR013799|InterPro:IPR013800|InterPro:IPR015988	10090	Mus musculus	InterPro	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00034574	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0008283	cell population proliferation	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035743	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0042981	regulation of apoptotic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027086	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0051093	negative regulation of developmental process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027583	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0051607	defense response to virus	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026923	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0060333	type II interferon-mediated signaling pathway	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00090813	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	involved_in	GO:0060337	type I interferon-mediated signaling pathway	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00033815	10090	Mus musculus	UniProt	Signal transducer and activator of transcription 1	20251201
UniProtKB	P42225	Stat1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22306691	UniProtKB:P42228	10090	Mus musculus	IntAct	Signal transducer and activator of transcription 1	20251129
UniProtKB	P42225	Stat1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:23749757	UniProtKB:Q61069	10090	Mus musculus	IntAct	Signal transducer and activator of transcription 1	20251129
UniProtKB	P42225	Stat1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:23749757	UniProtKB:Q64705	10090	Mus musculus	IntAct	Signal transducer and activator of transcription 1	20251129
UniProtKB	P42225	Stat1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:24360797	UniProtKB:P29351	10090	Mus musculus	IntAct	Signal transducer and activator of transcription 1	20251129
UniProtKB	P42225	Stat1	located_in	GO:0000785	chromatin	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0001222	transcription corepressor binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0001223	transcription coactivator binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	involved_in	GO:0001937	negative regulation of endothelial cell proliferation	biological_process	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	involved_in	GO:0002230	positive regulation of defense response to virus by host	biological_process	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0003677	DNA binding	molecular_function	ECO:0000266	ISO	GO_REF:0000096	RGD:3771	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0003690	double-stranded DNA binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0005164	tumor necrosis factor receptor binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	colocalizes_with	GO:0005634	nucleus	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	located_in	GO:0005634	nucleus	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	located_in	GO:0005654	nucleoplasm	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	located_in	GO:0005730	nucleolus	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	located_in	GO:0005829	cytosol	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	biological_process	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	involved_in	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	biological_process	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	involved_in	GO:0016525	negative regulation of angiogenesis	biological_process	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0019899	enzyme binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	located_in	GO:0030424	axon	cellular_component	ECO:0000266	ISO	GO_REF:0000096	RGD:3771	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	located_in	GO:0030425	dendrite	cellular_component	ECO:0000266	ISO	GO_REF:0000096	RGD:3771	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0031730	CCR5 chemokine receptor binding	molecular_function	ECO:0000266	ISO	GO_REF:0000096	RGD:3771	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	involved_in	GO:0032727	positive regulation of interferon-alpha production	biological_process	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	part_of	GO:0032991	protein-containing complex	cellular_component	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	involved_in	GO:0033209	tumor necrosis factor-mediated signaling pathway	biological_process	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	involved_in	GO:0034341	response to type II interferon	biological_process	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
UniProtKB	P42225	Stat1	enables	GO:0035035	histone acetyltransferase binding	molecular_function	ECO:0000266	ISO	GO_REF:0000119	UniProtKB:P42224	10090	Mus musculus	GO_Central	Signal transducer and activator of transcription 1	20250828
