GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P04982	rbsD	enables	GO:0016866	intramolecular transferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002208836|UniProtKB:P04982	83333	Escherichia coli (strain K12)	GO_Central	D-ribose pyranase	20211112
UniProtKB	P04982	rbsD	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002208836|UniProtKB:P04982	83333	Escherichia coli (strain K12)	GO_Central	D-ribose pyranase	20170901
UniProtKB	P04982	rbsD	involved_in	GO:0019303	D-ribose catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002208836|UniProtKB:P04982	83333	Escherichia coli (strain K12)	GO_Central	D-ribose pyranase	20170901
UniProtKB	P04982	rbsD	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-SubCell:SL-0086|UniRule:UR000083261	83333	Escherichia coli (strain K12)	UniProt	D-ribose pyranase	20260105
UniProtKB	P04982	rbsD	involved_in	GO:0005996	monosaccharide metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007721|InterPro:IPR023750	83333	Escherichia coli (strain K12)	InterPro	D-ribose pyranase	20260105
UniProtKB	P04982	rbsD	enables	GO:0016853	isomerase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR007721|InterPro:IPR023750|UniProtKB-KW:KW-0413|UniRule:UR000083261	83333	Escherichia coli (strain K12)	UniProt	D-ribose pyranase	20260105
UniProtKB	P04982	rbsD	enables	GO:0016872	intramolecular lyase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023064|UniRule:UR000083261	83333	Escherichia coli (strain K12)	UniProt	D-ribose pyranase	20260105
UniProtKB	P04982	rbsD	involved_in	GO:0019303	D-ribose catabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	UniRule:UR000083261|UniPathway:UPA00916	83333	Escherichia coli (strain K12)	UniProt	D-ribose pyranase	20260105
UniProtKB	P04982	rbsD	enables	GO:0048029	monosaccharide binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007721|InterPro:IPR023750	83333	Escherichia coli (strain K12)	InterPro	D-ribose pyranase	20260105
UniProtKB	P04982	rbsD	enables	GO:0062193	D-ribose pyranase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:25432|RHEA:25609|EC:5.4.99.62	83333	Escherichia coli (strain K12)	UniProt	D-ribose pyranase	20260105
UniProtKB	P04982	rbsD	enables	GO:0062193	D-ribose pyranase activity	molecular_function	ECO:0000314	IDA	PMID:15060078		83333	Escherichia coli (strain K12)	EcoCyc	D-ribose pyranase	20191216
UniProtKB	P04982	rbsD	located_in	GO:0005829	cytosol	cellular_component	ECO:0000314	IDA	PMID:18304323		83333	Escherichia coli (strain K12)	EcoCyc	D-ribose pyranase	20140602
UniProtKB	P04982	rbsD	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000314	IDA	PMID:16731978		83333	Escherichia coli (strain K12)	EcoCyc	D-ribose pyranase	20140128
UniProtKB	P04982	rbsD	acts_upstream_of_or_within	GO:0019303	D-ribose catabolic process	biological_process	ECO:0000315	IMP	PMID:15060078		83333	Escherichia coli (strain K12)	EcoCyc	D-ribose pyranase	20071105
