GO_ID,Aspect,Term,EvidenceCode,SeedSubClaim,EvidenceStrength
GO:0017136,MF,"histone deacetylase activity, NAD-dependent",IDA:SGD,NAD-dependent deacetylase (general),DIRECT experimental
GO:0032041,MF,"histone H3K14 deacetylase activity, NAD-dependent",IBA:GO_Central,H3K14 site-specificity,Phylogenetic inference only
GO:0046969,MF,"histone H3K9 deacetylase activity, NAD-dependent",IBA:GO_Central,H3K9 site-specificity,Phylogenetic inference only
GO:0046970,MF,"histone H4K16 deacetylase activity, NAD-dependent",IBA:GO_Central,H4K16 site-specificity,Phylogenetic inference only
GO:0000781,CC,"chromosome, telomeric region",IEA:GOC,Telomere localization,Electronic only
GO:0031509,BP,subtelomeric heterochromatin formation,IBA:GO_Central,Subtelomeric heterochromatin,Phylogenetic inference only
GO:0030466,BP,silent mating-type cassette heterochromatin formation,IMP:SGD,HM-locus silencing,Mutant phenotype (SUM1-1 engineered context)
GO:0006974,BP,DNA damage response,IBA:GO_Central,DNA damage response,Phylogenetic inference only
GO:0045950,BP,negative regulation of mitotic recombination,IMP:SGD,Negative reg. recombination,Mutant phenotype (direct vs secondary unclear)
GO:0045835,BP,negative regulation of meiotic nuclear division,IDA:ComplexPortal,Meiotic repression,Direct (complex)
GO:0000118,CC,histone deacetylase complex,IPI:ComplexPortal,Sum1-Rfm1-Hst1 complex,Interaction
GO:0034967,CC,Set3 complex,IDA:SGD,complex membership,Direct
GO:0003714,MF,transcription corepressor activity,IBA:GO_Central,corepressor,Phylogenetic inference
