GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P36026	UBP11	enables	GO:0004843	cysteine-type deubiquitinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G04860|AGI_LocusCode:AT1G17110|AGI_LocusCode:AT2G22310|AGI_LocusCode:AT3G11910|AGI_LocusCode:AT4G24560|AGI_LocusCode:AT4G39370|AGI_LocusCode:AT4G39910|AGI_LocusCode:AT5G06600|FB:FBgn0005632|FB:FBgn0030366|FB:FBgn0033738|FB:FBgn0260936|MGI:MGI:107697|MGI:MGI:107698|MGI:MGI:107699|MGI:MGI:1888998|MGI:MGI:1924050|MGI:MGI:2140991|MGI:MGI:3051372|PANTHER:PTN002541993|PomBase:SPBP8B7.21|PomBase:SPCC188.08c|RGD:1564808|RGD:735213|SGD:S000000163|SGD:S000000953|SGD:S000001418|SGD:S000001806|SGD:S000002280|SGD:S000004920|UniProtKB:O00507|UniProtKB:O75317|UniProtKB:O94782|UniProtKB:P45974|UniProtKB:P62068|UniProtKB:Q0E2F9|UniProtKB:Q0WX57|UniProtKB:Q14694|UniProtKB:Q6QN14|UniProtKB:Q6R6M4|UniProtKB:Q70CQ2|UniProtKB:Q70CQ3|UniProtKB:Q86T82|UniProtKB:Q86UV5|UniProtKB:Q8NB14|UniProtKB:Q93008|UniProtKB:Q93009|UniProtKB:Q96RU2|UniProtKB:Q9BXU7|UniProtKB:Q9NVE5|UniProtKB:Q9P275|UniProtKB:Q9P2H5|UniProtKB:Q9UHP3|UniProtKB:Q9UMW8|WB:WBGene00011216|ZFIN:ZDB-GENE-060526-335|dictyBase:DDB_G0291239	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Ubiquitin carboxyl-terminal hydrolase 11	20260529
UniProtKB	P36026	UBP11	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G17110|AGI_LocusCode:AT2G22310|AGI_LocusCode:AT3G11910|AGI_LocusCode:AT3G14400|AGI_LocusCode:AT4G39910|AGI_LocusCode:AT5G06600|AGI_LocusCode:AT5G57990|FB:FBgn0016756|FB:FBgn0030366|FB:FBgn0039214|FB:FBgn0260936|MGI:MGI:2182061|PANTHER:PTN002541993|PomBase:SPAC13A11.04c|PomBase:SPBC713.02c|PomBase:SPCC1682.12c|SGD:S000005130|UniProtKB:O75317|UniProtKB:O94782|UniProtKB:P45974|UniProtKB:Q0E2F9|UniProtKB:Q0WX57|UniProtKB:Q14694|UniProtKB:Q385P1|UniProtKB:Q38F03|UniProtKB:Q582C5|UniProtKB:Q6QN14|UniProtKB:Q6R6M4|UniProtKB:Q86T82|UniProtKB:Q86UV5|UniProtKB:Q8NB14|UniProtKB:Q93009|UniProtKB:Q96K76|UniProtKB:Q96RU2|UniProtKB:Q9BXU7|UniProtKB:Q9P275|UniProtKB:Q9UMW8|UniProtKB:Q9UPU5|WB:WBGene00009267|WB:WBGene00010406	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Ubiquitin carboxyl-terminal hydrolase 11	20260529
UniProtKB	P36026	UBP11	involved_in	GO:0031647	regulation of protein stability	biological_process	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT3G11910|AGI_LocusCode:AT5G06600|FB:FBgn0016756|FB:FBgn0039214|MGI:MGI:1888998|MGI:MGI:1919594|MGI:MGI:2182061|PANTHER:PTN002541993|RGD:1306915|UniProtKB:Q92995|UniProtKB:Q93008|UniProtKB:Q93009|UniProtKB:Q96RU2|UniProtKB:Q9P275	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Ubiquitin carboxyl-terminal hydrolase 11	20260529
UniProtKB	P36026	UBP11	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT4G17895|FB:FBgn0016756|FB:FBgn0030366|PANTHER:PTN002541993|SGD:S000000953|SGD:S000004920|UniProtKB:Q14694|UniProtKB:Q86UV5|UniProtKB:Q93008|UniProtKB:Q93009|UniProtKB:Q9UHP3|UniProtKB:Q9UMW8|UniProtKB:Q9UPU5	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GO_Central	Ubiquitin carboxyl-terminal hydrolase 11	20251220
UniProtKB	P36026	UBP11	enables	GO:0004843	cysteine-type deubiquitinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026880|InterPro:IPR001394|InterPro:IPR018200|EC:3.4.19.12	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Ubiquitin carboxyl-terminal hydrolase 11	20260616
UniProtKB	P36026	UBP11	involved_in	GO:0016579	protein deubiquitination	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001394	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	InterPro	Ubiquitin carboxyl-terminal hydrolase 11	20260616
UniProtKB	P36026	UBP11	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0000245	RCA	PMID:30358795		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Ubiquitin carboxyl-terminal hydrolase 11	20220420
UniProtKB	P36026	UBP11	enables	GO:0004843	cysteine-type deubiquitinase activity	molecular_function	ECO:0000314	IDA	PMID:10527495		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Ubiquitin carboxyl-terminal hydrolase 11	20130807
UniProtKB	P36026	UBP11	is_active_in	GO:0005575	cellular_component	cellular_component	ECO:0000307	ND	GO_REF:0000015		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Ubiquitin carboxyl-terminal hydrolase 11	20130807
UniProtKB	P36026	UBP11	involved_in	GO:0008150	biological_process	biological_process	ECO:0000307	ND	GO_REF:0000015		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Ubiquitin carboxyl-terminal hydrolase 11	20130807
