GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0008897	holo-[acyl-carrier-protein] synthase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000182911|PANTHER:PTN000259224|PomBase:SPAC17C9.02c|SGD:S000003122|UniProtKB:G5EB87|UniProtKB:P37623|UniProtKB:P39135|UniProtKB:Q4X1W0|UniProtKB:Q9NRN7|dictyBase:DDB_G0285927	9606	Homo sapiens	GO_Central	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260528
UniProtKB	Q9NRN7	AASDHPPT	involved_in	GO:0051604	protein maturation	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000259224|UniProtKB:Q9NRN7	9606	Homo sapiens	GO_Central	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260107
UniProtKB	Q9NRN7	AASDHPPT	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000259224|UniProtKB:Q9NRN7	9606	Homo sapiens	GO_Central	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20210101
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0000287	magnesium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008278|InterPro:IPR037143	9606	Homo sapiens	InterPro	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260727
UniProtKB	Q9NRN7	AASDHPPT	located_in	GO:0005829	cytosol	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0091	9606	Homo sapiens	UniProt	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260727
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0008897	holo-[acyl-carrier-protein] synthase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00098018|InterPro:IPR008278|InterPro:IPR037143|RHEA:12068|EC:2.7.8.7	9606	Homo sapiens	UniProt	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260727
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q12933	9606	Homo sapiens	IntAct	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260725
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19615732	UniProtKB:Q9UPT9	9606	Homo sapiens	IntAct	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260725
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q12933	9606	Homo sapiens	IntAct	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260725
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q8IUQ4	9606	Homo sapiens	IntAct	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260725
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9UPT9	9606	Homo sapiens	IntAct	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260725
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q9UPT9-2	9606	Homo sapiens	IntAct	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260725
UniProtKB	Q9NRN7	AASDHPPT	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O43186	9606	Homo sapiens	IntAct	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	20260725
