gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
prlC	PP_0096	Q88RN3	oligopeptidase A (EC 3.4.24.70)	3.4.24.70	GO:0004222; GO:0005829; GO:0006508; GO:0006518; GO:0046872	IPR034005;IPR024079;IPR024077;IPR045666;IPR045090;IPR001567;	PF01432;PF19310;	PTHR11804;PTHR11804:SF84;	Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
PP_0203	PP_0203	Q88RC9	Dipeptidase		GO:0006508; GO:0006526; GO:0008237; GO:0008270; GO:0008777; GO:0016805	IPR036264;IPR010964;IPR002933;IPR011650;IPR050072;	PF07687;PF01546;	PTHR43808;PTHR43808:SF31;	Cobalt;Dipeptidase;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Zinc	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
mtfA	PP_0539	Q88QF5	Glucose-regulated peptidase		GO:0004177; GO:0005829; GO:0008237	IPR024079;IPR010384;IPR042252;	PF06167;	PTHR30164;PTHR30164:SF2;	Reference proteome	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
map	PP_1590	Q88MI1	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	3.4.11.18	GO:0004239; GO:0005506; GO:0005829; GO:0006508; GO:0070006	IPR036005;IPR000994;IPR001714;IPR002467;	PF00557;	PTHR43330;PTHR43330:SF27;	Aminopeptidase;Hydrolase;Metal-binding;Protease;Reference proteome	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
apeB	PP_1730	Q88M44	Probable M18 family aminopeptidase 2 (EC 3.4.11.-)	3.4.11.-	GO:0004177; GO:0005737; GO:0006508; GO:0008237; GO:0008270	IPR022984;IPR001948;IPR023358;	PF02127;	PTHR28570;PTHR28570:SF3;	Aminopeptidase;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
PP_1748	PP_1748	Q88M27	Osmoprotectant NAGGN system M42 family peptidase		GO:0004177; GO:0006508; GO:0046872	IPR008007;IPR051464;IPR023367;IPR017537;	PF05343;	PTHR32481;PTHR32481:SF7;	Aminopeptidase;Hydrolase;Metal-binding;Protease;Reference proteome	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
yegQ	PP_2206	Q88KT3	Peptidase		GO:0005829; GO:0006508; GO:0008233	IPR001539;IPR032525;IPR060007;	PF01136;PF16325;	PTHR30217;PTHR30217:SF6;	Hydrolase;Protease;Reference proteome	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
PP_2704	PP_2704	Q88JE5	Peptidase, M20/M25/M40 family		GO:0019877; GO:0046872; GO:0050118	IPR017439;IPR036264;IPR002933;IPR011650;	PF07687;PF01546;	PTHR11014:SF63;PTHR11014;	Hydrolase;Manganese;Metal-binding;Reference proteome	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
ydcP	PP_3497	Q88H64	Peptidase (EC 3.4.-.-)	3.4.-.-	GO:0016787	IPR020988;IPR001539;IPR060007;	PF12392;PF01136;	PTHR30217:SF10;PTHR30217;	Hydrolase;Reference proteome	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
PP_4752	PP_4752	Q88DS1	Xaa-Pro aminopeptidase		GO:0004177	IPR029149;IPR036005;IPR000587;IPR000994;IPR050659;	PF01321;PF00557;	PTHR46112;PTHR46112:SF2;	Aminopeptidase;Hydrolase;Protease;Reference proteome	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
