GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P11021	HSPA5	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001834223|PomBase:SPAC22A12.15c|TAIR:locus:2035994|TAIR:locus:2165715|TAIR:locus:2182783|UniProtKB:P11021	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20250903
UniProtKB	P11021	HSPA5	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000184706|FB:FBgn0001218|MGI:MGI:105384|MGI:MGI:95835|MGI:MGI:96244|MGI:MGI:96245|MGI:MGI:99517|PANTHER:PTN002321897|PomBase:SPAC22A12.15c|PomBase:SPAC664.11|PomBase:SPBC1709.05|PomBase:SPCC1739.13|RGD:1311806|RGD:1595925|RGD:2843|RGD:621725|SGD:S000000004|SGD:S000000171|SGD:S000000756|SGD:S000000905|SGD:S000001106|SGD:S000002388|SGD:S000003571|SGD:S000003806|SGD:S000003947|SGD:S000004361|TAIR:locus:2074984|TAIR:locus:2101222|TAIR:locus:2144801|TAIR:locus:2181818|TAIR:locus:2181833|UniProtKB:O73885|UniProtKB:P08106|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11021|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:P38646|UniProtKB:P54652|UniProtKB:Q0VDF9|UniProtKB:Q27975|UniProtKB:Q384Q5|UniProtKB:Q585X3|UniProtKB:Q6Z7B0|UniProtKB:Q8I2X4|UniProtKB:Q8IB24|UniProtKB:Q8II24|WB:WBGene00002005|WB:WBGene00002008|WB:WBGene00002010|WB:WBGene00002026|dictyBase:DDB_G0269144	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20250903
UniProtKB	P11021	HSPA5	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0001218|MGI:MGI:105384|PANTHER:PTN000452648|PomBase:SPAC664.11|RGD:621725|SGD:S000000004|SGD:S000000171|SGD:S000002388|SGD:S000003571|SGD:S000003806|SGD:S000004361|SGD:S000005153|UniProtKB:P0A6Z1|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11021|UniProtKB:P17066|UniProtKB:P38646|UniProtKB:P77319|UniProtKB:Q57VR7|WB:WBGene00002005	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20250903
UniProtKB	P11021	HSPA5	enables	GO:0031072	heat shock protein binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000452648|RGD:1311806|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:Q8IB24	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20250903
UniProtKB	P11021	HSPA5	enables	GO:0044183	protein folding chaperone	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0266599|MGI:MGI:95835|MGI:MGI:96244|MGI:MGI:99517|PANTHER:PTN000452648|UniProtKB:P0A6Y8|UniProtKB:P0DMV8|UniProtKB:P0DMV9	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20250903
UniProtKB	P11021	HSPA5	involved_in	GO:0036503	ERAD pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001834223|SGD:S000003571|TAIR:locus:2182783	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20240206
UniProtKB	P11021	HSPA5	is_active_in	GO:0016020	membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:95835|PANTHER:PTN001834223|PomBase:SPAC22A12.15c|RGD:2843|UniProtKB:P11021|UniProtKB:Q6Z7B0	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20230111
UniProtKB	P11021	HSPA5	involved_in	GO:0042026	protein refolding	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000452648|SGD:S000000004|SGD:S000003806|UniProtKB:P0DMV8|UniProtKB:P0DMV9|UniProtKB:P11142|UniProtKB:P17066|UniProtKB:P34931|UniProtKB:P54652	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20221122
UniProtKB	P11021	HSPA5	part_of	GO:0034663	endoplasmic reticulum chaperone complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0001218|MGI:MGI:95835|PANTHER:PTN001834223|UniProtKB:P11021	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20210530
UniProtKB	P11021	HSPA5	is_active_in	GO:0005788	endoplasmic reticulum lumen	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:95835|PANTHER:PTN001834223|PomBase:SPAC22A12.15c|SGD:S000003571|UniProtKB:P11021|UniProtKB:Q6Z7B0	9606	Homo sapiens	GO_Central	Endoplasmic reticulum chaperone BiP	20170831
