GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9NY59	SMPD3	enables	GO:0004767	sphingomyelin phosphodiesterase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1927578|PANTHER:PTN000419014|RGD:619754|UniProtKB:Q9NY59	9606	Homo sapiens	GO_Central	Sphingomyelin phosphodiesterase 3	20260529
UniProtKB	Q9NY59	SMPD3	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1927578|MGI:MGI:3709877|PANTHER:PTN001046337|RGD:619754|UniProtKB:Q9NY59|ZFIN:ZDB-GENE-061110-22	9606	Homo sapiens	GO_Central	Sphingomyelin phosphodiesterase 3	20260529
UniProtKB	Q9NY59	SMPD3	involved_in	GO:0006684	sphingomyelin metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1927578|MGI:MGI:3709877|PANTHER:PTN001443788|UniProtKB:Q9NY59	9606	Homo sapiens	GO_Central	Sphingomyelin phosphodiesterase 3	20220415
UniProtKB	Q9NY59	SMPD3	located_in	GO:0000139	Golgi membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0134	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20260706
UniProtKB	Q9NY59	SMPD3	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005135	9606	Homo sapiens	InterPro	Sphingomyelin phosphodiesterase 3	20260706
UniProtKB	Q9NY59	SMPD3	enables	GO:0004767	sphingomyelin phosphodiesterase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q9JJY3|ensembl:ENSMUSP00000069255|InterPro:IPR038772|RHEA:19253|RHEA:45324|EC:3.1.4.12	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20260706
UniProtKB	Q9NY59	SMPD3	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017766	9606	Homo sapiens	InterPro	Sphingomyelin phosphodiesterase 3	20260706
UniProtKB	Q9NY59	SMPD3	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q9JJY3|ensembl:ENSMUSP00000069255|UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20260706
UniProtKB	Q9NY59	SMPD3	enables	GO:0008081	phosphoric diester hydrolase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017766	9606	Homo sapiens	InterPro	Sphingomyelin phosphodiesterase 3	20260706
UniProtKB	Q9NY59	SMPD3	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20080539	UniProtKB:O75530	9606	Homo sapiens	IntAct	Sphingomyelin phosphodiesterase 3	20260704
UniProtKB	Q9NY59	SMPD3	enables	GO:0001786	phosphatidylserine binding	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JJY3|ensembl:ENSMUSP00000069255	9606	Homo sapiens	Ensembl	Sphingomyelin phosphodiesterase 3	20260629
UniProtKB	Q9NY59	SMPD3	involved_in	GO:0006684	sphingomyelin metabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JJY3|ensembl:ENSMUSP00000069255	9606	Homo sapiens	Ensembl	Sphingomyelin phosphodiesterase 3	20260629
UniProtKB	Q9NY59	SMPD3	enables	GO:0070300	phosphatidic acid binding	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JJY3|ensembl:ENSMUSP00000069255	9606	Homo sapiens	Ensembl	Sphingomyelin phosphodiesterase 3	20260629
UniProtKB	Q9NY59	SMPD3	involved_in	GO:0006665	sphingolipid metabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00222	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20260227
UniProtKB	Q9NY59	SMPD3	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	Sphingomyelin phosphodiesterase 3	20251115
UniProtKB	Q9NY59	SMPD3	located_in	GO:0000139	Golgi membrane	cellular_component	ECO:0000269	EXP	PMID:10823942		9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20240916
UniProtKB	Q9NY59	SMPD3	enables	GO:0004767	sphingomyelin phosphodiesterase activity	molecular_function	ECO:0000269	EXP	PMID:15051724		9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20240916
UniProtKB	Q9NY59	SMPD3	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000269	EXP	PMID:15051724		9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20240916
UniProtKB	Q9NY59	SMPD3	enables	GO:0004767	sphingomyelin phosphodiesterase activity	molecular_function	ECO:0000314	IDA	PMID:14741383		9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20220107
UniProtKB	Q9NY59	SMPD3	involved_in	GO:0006685	sphingomyelin catabolic process	biological_process	ECO:0000314	IDA	PMID:14741383		9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20220107
UniProtKB	Q9NY59	SMPD3	enables	GO:0008081	phosphoric diester hydrolase activity	molecular_function	ECO:0000314	IDA	PMID:14741383		9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20220107
UniProtKB	Q9NY59	SMPD3	enables	GO:0001786	phosphatidylserine binding	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9JJY3	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20200805
UniProtKB	Q9NY59	SMPD3	enables	GO:0004767	sphingomyelin phosphodiesterase activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9JJY3	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20200805
UniProtKB	Q9NY59	SMPD3	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9JJY3	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20200805
UniProtKB	Q9NY59	SMPD3	involved_in	GO:0006684	sphingomyelin metabolic process	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9JJY3	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20200805
UniProtKB	Q9NY59	SMPD3	enables	GO:0070300	phosphatidic acid binding	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9JJY3	9606	Homo sapiens	UniProt	Sphingomyelin phosphodiesterase 3	20200805
UniProtKB	Q9NY59	SMPD3	involved_in	GO:1903543	positive regulation of exosomal secretion	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O35049	9606	Homo sapiens	BHF-UCL	Sphingomyelin phosphodiesterase 3	20150717
