accession	label	subfamily	organism	notes
A0A3B6GK97	QUERY_wheat_A0A3B6GK97	QUERY	Triticum aestivum	query protein under review (TraesCS3D02G033600)
F4HX15	At_pPLAI_PLA1	pPLAI	Arabidopsis thaliana	pPLA-I; iPLA2-like; large multidomain (1309 aa)
O48723	At_pPLAIIa_PLP2	pPLAII	Arabidopsis thaliana	pPLAIIalpha; defense/wounding (PLP2)
O23181	At_pPLAIIb_PLP3	pPLAII	Arabidopsis thaliana	pPLAIIbeta (PLP3)
O23179	At_pPLAIIg_PLP1	pPLAII	Arabidopsis thaliana	pPLAIIgamma (PLP1)
O23180	At_pPLAIId_PLP5	pPLAII	Arabidopsis thaliana	pPLAIIdelta (PLP5)
Q9FIY1	At_pPLAIIe_PLP4	pPLAII	Arabidopsis thaliana	pPLAIIepsilon (PLP4)
O80959	At_pPLAIIIa_PLP6	pPLAIII	Arabidopsis thaliana	pPLAIIIalpha (PLP6)
Q9SV43	At_pPLAIIIb_PLP7	pPLAIII	Arabidopsis thaliana	pPLAIIIbeta; cell elongation/cellulose (PLP7)
Q8H133	At_pPLAIIIg_PLP8	pPLAIII	Arabidopsis thaliana	pPLAIIIgamma (PLP8)
Q93ZQ3	At_pPLAIIId_PLP9	pPLAIII	Arabidopsis thaliana	pPLAIIIdelta; annotated PROBABLE INACTIVE pseudoenzyme (PLP9)
Q84QY3	Os_PLP1	pPLA_rice	Oryza sativa	rice patatin-like protein 1
Q6ZJD3	Os_PLP2	pPLA_rice	Oryza sativa	rice patatin-like protein 2 (Os08g0477500; near PANTHER SF ref)
P15478	St_patatin_T5	patatin_storage	Solanum tuberosum	potato patatin (structural ref; Ser-Asp dyad, PMID:12779324 family)
