GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O60884	DNAJA2	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001531327|PomBase:SPBC1734.11|SGD:S000005008|UniProtKB:O60884|UniProtKB:P31689|UniProtKB:Q585V4|UniProtKB:Q8WW22	9606	Homo sapiens	GO_Central	DnaJ homolog subfamily A member 2	20250904
UniProtKB	O60884	DNAJA2	enables	GO:0001671	ATPase activator activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002376157|RGD:620942|SGD:S000004080|SGD:S000005008|SGD:S000005021|UniProtKB:O60884|UniProtKB:P31689|WB:WBGene00001030	9606	Homo sapiens	GO_Central	DnaJ homolog subfamily A member 2	20250728
UniProtKB	O60884	DNAJA2	involved_in	GO:0034605	cellular response to heat	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001531327|PomBase:SPBC1734.11|SGD:S000005008|UniProtKB:Q585V4	9606	Homo sapiens	GO_Central	DnaJ homolog subfamily A member 2	20250728
UniProtKB	O60884	DNAJA2	involved_in	GO:0042026	protein refolding	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001531327|PomBase:SPBC1734.11|SGD:S000005008|UniProtKB:O60884|UniProtKB:Q8WW22	9606	Homo sapiens	GO_Central	DnaJ homolog subfamily A member 2	20250728
UniProtKB	O60884	DNAJA2	enables	GO:0051082	unfolded protein binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001531327|SGD:S000005008|SGD:S000005021|UniProtKB:O60884|UniProtKB:Q8WW22	9606	Homo sapiens	GO_Central	DnaJ homolog subfamily A member 2	20250728
UniProtKB	O60884	DNAJA2	enables	GO:0051087	protein-folding chaperone binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002536871|UniProtKB:O60884|UniProtKB:P31689|UniProtKB:Q8WW22	9606	Homo sapiens	GO_Central	DnaJ homolog subfamily A member 2	20250728
UniProtKB	O60884	DNAJA2	enables	GO:0001671	ATPase activator activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00089918	9606	Homo sapiens	UniProt	DnaJ homolog subfamily A member 2	20260105
UniProtKB	O60884	DNAJA2	enables	GO:0005524	ATP binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012724	9606	Homo sapiens	InterPro	DnaJ homolog subfamily A member 2	20260105
UniProtKB	O60884	DNAJA2	involved_in	GO:0006457	protein folding	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027200|InterPro:IPR008971|InterPro:IPR012724|InterPro:IPR044713	9606	Homo sapiens	UniProt	DnaJ homolog subfamily A member 2	20260105
UniProtKB	O60884	DNAJA2	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0863	9606	Homo sapiens	UniProt	DnaJ homolog subfamily A member 2	20260105
UniProtKB	O60884	DNAJA2	involved_in	GO:0009408	response to heat	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012724	9606	Homo sapiens	InterPro	DnaJ homolog subfamily A member 2	20260105
UniProtKB	O60884	DNAJA2	located_in	GO:0016020	membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	9606	Homo sapiens	UniProt	DnaJ homolog subfamily A member 2	20260105
