GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q88HH7	ptxS	enables	GO:0000976	transcription cis-regulatory region binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028970|PANTHER:PTN002409864	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	HTH-type transcriptional regulator PtxS	20260601
UniProtKB	Q88HH7	ptxS	enables	GO:0001217	DNA-binding transcription repressor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027659	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	HTH-type transcriptional regulator PtxS	20260601
UniProtKB	Q88HH7	ptxS	enables	GO:0003677	DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000843|InterPro:IPR010982	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	HTH-type transcriptional regulator PtxS	20260601
UniProtKB	Q88HH7	ptxS	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002409864	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	HTH-type transcriptional regulator PtxS	20260601
UniProtKB	Q88HH7	ptxS	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR000843|PANTHER:PTN002409864	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	HTH-type transcriptional regulator PtxS	20260601
UniProtKB	Q88HH7	ptxS	part_of	GO:0032993	protein-DNA complex	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028896	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	HTH-type transcriptional regulator PtxS	20260601
UniProtKB	Q88HH7	ptxS	involved_in	GO:0045892	negative regulation of DNA-templated transcription	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0001217	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	GOC	HTH-type transcriptional regulator PtxS	20260601
UniProtKB	Q88HH7	ptxS	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:20581202	UniProtKB:Q88HH7	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	IntAct	HTH-type transcriptional regulator PtxS	20260530
UniProtKB	Q88HH7	ptxS	enables	GO:0000976	transcription cis-regulatory region binding	molecular_function	ECO:0005631	IPI	PMID:20581202	RefSeq:NC_002947.3	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	CollecTF	HTH-type transcriptional regulator PtxS	20170328
UniProtKB	Q88HH7	ptxS	enables	GO:0001217	DNA-binding transcription repressor activity	molecular_function	ECO:0005631	IPI	PMID:20581202	RefSeq:NC_002947.3	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	CollecTF	HTH-type transcriptional regulator PtxS	20170328
UniProtKB	Q88HH7	ptxS	part_of	GO:0032993	protein-DNA complex	cellular_component	ECO:0005631	IPI	PMID:20581202	RefSeq:NC_002947.3	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	CollecTF	HTH-type transcriptional regulator PtxS	20170328
