GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q21626	bbs-5	part_of	GO:0034464	BBSome	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1919819|PANTHER:PTN000482504|UniProtKB:Q4GYG4|UniProtKB:Q8N3I7	6239	Caenorhabditis elegans	GO_Central	BBSome complex member bbs-5	20250903
UniProtKB	Q21626	bbs-5	involved_in	GO:0060271	cilium assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0037280|PANTHER:PTN000482504|UniProtKB:A8HWI3|UniProtKB:Q8N3I7	6239	Caenorhabditis elegans	GO_Central	BBSome complex member bbs-5	20190322
UniProtKB	Q21626	bbs-5	enables	GO:0032266	phosphatidylinositol-3-phosphate binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000482504|UniProtKB:Q8N3I7	6239	Caenorhabditis elegans	GO_Central	BBSome complex member bbs-5	20170228
UniProtKB	Q21626	bbs-5	is_active_in	GO:0036064	ciliary basal body	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1919819|PANTHER:PTN000482504|WB:WBGene00010974	6239	Caenorhabditis elegans	GO_Central	BBSome complex member bbs-5	20170228
UniProtKB	Q21626	bbs-5	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	6239	Caenorhabditis elegans	UniProt	BBSome complex member bbs-5	20251201
UniProtKB	Q21626	bbs-5	involved_in	GO:0015031	protein transport	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0653	6239	Caenorhabditis elegans	UniProt	BBSome complex member bbs-5	20251201
UniProtKB	Q21626	bbs-5	involved_in	GO:0030030	cell projection organization	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0970	6239	Caenorhabditis elegans	UniProt	BBSome complex member bbs-5	20251201
UniProtKB	Q21626	bbs-5	located_in	GO:0034451	centriolar satellite	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0485	6239	Caenorhabditis elegans	UniProt	BBSome complex member bbs-5	20251201
UniProtKB	Q21626	bbs-5	part_of	GO:0034464	BBSome	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006606	6239	Caenorhabditis elegans	InterPro	BBSome complex member bbs-5	20251201
UniProtKB	Q21626	bbs-5	located_in	GO:0060170	ciliary membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0305	6239	Caenorhabditis elegans	UniProt	BBSome complex member bbs-5	20251201
UniProtKB	Q21626	bbs-5	located_in	GO:0005929	cilium	cellular_component	ECO:0005547	NAS	PMID:22922713		6239	Caenorhabditis elegans	ComplexPortal	BBSome complex member bbs-5	20240827
UniProtKB	Q21626	bbs-5	involved_in	GO:0060271	cilium assembly	biological_process	ECO:0005547	NAS	PMID:22922713		6239	Caenorhabditis elegans	ComplexPortal	BBSome complex member bbs-5	20240827
UniProtKB	Q21626	bbs-5	located_in	GO:0005930	axoneme	cellular_component	ECO:0000314	IDA	PMID:27930654		6239	Caenorhabditis elegans	UniProt	BBSome complex member bbs-5	20170131
UniProtKB	Q21626	bbs-5	located_in	GO:0097546	ciliary base	cellular_component	ECO:0000314	IDA	PMID:27930654		6239	Caenorhabditis elegans	UniProt	BBSome complex member bbs-5	20170131
UniProtKB	Q21626	bbs-5	located_in	GO:0036064	ciliary basal body	cellular_component	ECO:0000314	IDA	PMID:15137946		6239	Caenorhabditis elegans	WB	BBSome complex member bbs-5	20140116
UniProtKB	Q21626	bbs-5	located_in	GO:0036064	ciliary basal body	cellular_component	ECO:0000314	IDA	PMID:22922713		6239	Caenorhabditis elegans	MGI	BBSome complex member bbs-5	20130711
UniProtKB	Q21626	bbs-5	located_in	GO:0097730	non-motile cilium	cellular_component	ECO:0000314	IDA	PMID:15137946		6239	Caenorhabditis elegans	WB	BBSome complex member bbs-5	20090312
UniProtKB	Q21626	bbs-5	located_in	GO:0036064	ciliary basal body	cellular_component	ECO:0000314	IDA	PMID:15137946		6239	Caenorhabditis elegans	BHF-UCL	BBSome complex member bbs-5	20080521
