GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P14713	PHYB	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001232866|TAIR:locus:2005515|TAIR:locus:2005535|TAIR:locus:2012300	3702	Arabidopsis thaliana	GO_Central	Phytochrome B	20240920
UniProtKB	P14713	PHYB	enables	GO:0000155	phosphorelay sensor kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003661	3702	Arabidopsis thaliana	InterPro	Phytochrome B	20250915
UniProtKB	P14713	PHYB	involved_in	GO:0000160	phosphorelay signal transduction system	biological_process	ECO:0000366	IEA	GO_REF:0000108	GO:0000155	3702	Arabidopsis thaliana	GOC	Phytochrome B	20250915
UniProtKB	P14713	PHYB	enables	GO:0003677	DNA binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0238	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	located_in	GO:0005654	nucleoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0190	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001294|InterPro:IPR012129|InterPro:IPR013515|InterPro:IPR013654|InterPro:IPR013767	3702	Arabidopsis thaliana	InterPro	Phytochrome B	20250915
UniProtKB	P14713	PHYB	involved_in	GO:0007165	signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003661	3702	Arabidopsis thaliana	InterPro	Phytochrome B	20250915
UniProtKB	P14713	PHYB	involved_in	GO:0009584	detection of visible light	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001294|InterPro:IPR013515	3702	Arabidopsis thaliana	InterPro	Phytochrome B	20250915
UniProtKB	P14713	PHYB	involved_in	GO:0009585	red, far-red light phototransduction	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR012129|UniProtKB-KW:KW-0607	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	enables	GO:0009881	photoreceptor activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR012129|UniProtKB-KW:KW-0600	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	involved_in	GO:0010017	red or far-red light signaling pathway	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0607	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	involved_in	GO:0010018	far-red light signaling pathway	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0031516	3702	Arabidopsis thaliana	GOC	Phytochrome B	20250915
UniProtKB	P14713	PHYB	located_in	GO:0016607	nuclear speck	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0186	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	involved_in	GO:0017006	protein-tetrapyrrole linkage	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012129	3702	Arabidopsis thaliana	InterPro	Phytochrome B	20250915
UniProtKB	P14713	PHYB	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027930	3702	Arabidopsis thaliana	UniProt	Phytochrome B	20250915
UniProtKB	P14713	PHYB	enables	GO:0042803	protein homodimerization activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012129	3702	Arabidopsis thaliana	InterPro	Phytochrome B	20250915
UniProtKB	P14713	PHYB	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:10348744	UniProtKB:Q9SWI1	3702	Arabidopsis thaliana	IntAct	Phytochrome B	20250913
