GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q7L5N7	LPCAT2	is_active_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2384812|MGI:MGI:3606214|PANTHER:PTN001128751|UniProtKB:Q643R3|UniProtKB:Q7L5N7|UniProtKB:Q8NF37	9606	Homo sapiens	GO_Central	Lysophosphatidylcholine acyltransferase 2	20230406
UniProtKB	Q7L5N7	LPCAT2	enables	GO:0042171	lysophosphatidic acid acyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001128751|RGD:1311599|UniProtKB:Q7L5N7	9606	Homo sapiens	GO_Central	Lysophosphatidylcholine acyltransferase 2	20221008
UniProtKB	Q7L5N7	LPCAT2	located_in	GO:0000139	Golgi membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0134	9606	Homo sapiens	UniProt	Lysophosphatidylcholine acyltransferase 2	20251201
UniProtKB	Q7L5N7	LPCAT2	enables	GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:19709|EC:2.3.1.51	9606	Homo sapiens	UniProt	Lysophosphatidylcholine acyltransferase 2	20251201
UniProtKB	Q7L5N7	LPCAT2	enables	GO:0005509	calcium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002048	9606	Homo sapiens	InterPro	Lysophosphatidylcholine acyltransferase 2	20251201
UniProtKB	Q7L5N7	LPCAT2	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	9606	Homo sapiens	UniProt	Lysophosphatidylcholine acyltransferase 2	20251201
UniProtKB	Q7L5N7	LPCAT2	located_in	GO:0005811	lipid droplet	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0154	9606	Homo sapiens	UniProt	Lysophosphatidylcholine acyltransferase 2	20251201
UniProtKB	Q7L5N7	LPCAT2	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Lysophosphatidylcholine acyltransferase 2	20251201
UniProtKB	Q7L5N7	LPCAT2	involved_in	GO:0006629	lipid metabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	9606	Homo sapiens	UniProt	Lysophosphatidylcholine acyltransferase 2	20251201
UniProtKB	Q7L5N7	LPCAT2	involved_in	GO:0006650	glycerophospholipid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028631	9606	Homo sapiens	UniProt	Lysophosphatidylcholine acyltransferase 2	20251201
