GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P53184	PNC1	located_in	GO:0000781	chromosome, telomeric region	cellular_component	ECO:0000364	IEA	GO_REF:0000108	GO:0031509	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GOC	Nicotinamidase	20251201
UniProtKB	P53184	PNC1	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Nicotinamidase	20251201
UniProtKB	P53184	PNC1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Nicotinamidase	20251201
UniProtKB	P53184	PNC1	located_in	GO:0005777	peroxisome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0204	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Nicotinamidase	20251201
UniProtKB	P53184	PNC1	enables	GO:0008936	nicotinamidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:14545|EC:3.5.1.19	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Nicotinamidase	20251201
UniProtKB	P53184	PNC1	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Nicotinamidase	20251201
UniProtKB	P53184	PNC1	involved_in	GO:0019363	pyridine nucleotide biosynthetic process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0662	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Nicotinamidase	20251201
UniProtKB	P53184	PNC1	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	UniProt	Nicotinamidase	20251201
UniProtKB	P53184	PNC1	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0000245	RCA	PMID:30358795		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20220420
UniProtKB	P53184	PNC1	involved_in	GO:0031509	subtelomeric heterochromatin formation	biological_process	ECO:0000315	IMP	PMID:11901108		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20210830
UniProtKB	P53184	PNC1	involved_in	GO:0019358	nicotinate nucleotide salvage	biological_process	ECO:0000315	IMP	PMID:11901108		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20190913
UniProtKB	P53184	PNC1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007005	HDA	PMID:22842922		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20181120
UniProtKB	P53184	PNC1	involved_in	GO:1904524	negative regulation of DNA amplification	biological_process	ECO:0000315	IMP	PMID:26195783		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20150824
UniProtKB	P53184	PNC1	involved_in	GO:0000183	rDNA heterochromatin formation	biological_process	ECO:0000315	IMP	PMID:11901108		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20130807
UniProtKB	P53184	PNC1	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:12736687		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20130807
UniProtKB	P53184	PNC1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000314	IDA	PMID:12736687		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20130807
UniProtKB	P53184	PNC1	located_in	GO:0005777	peroxisome	cellular_component	ECO:0000314	IDA	PMID:12736687		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20130807
UniProtKB	P53184	PNC1	enables	GO:0008936	nicotinamidase activity	molecular_function	ECO:0000315	IMP	PMID:19381334		559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SGD	Nicotinamidase	20130807
